metric,value
stage1_count_after_core_filters,1858.0
collected_universe_size,5000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8051668460710442
share_passes_trend_gate,0.6092572658772875
share_passes_quality_gate,0.7190527448869752
share_passes_forensic_gate,0.9617868675995694
share_passes_factor_gate,0.9860064585575888
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9311087190527448
share_sue_has_coverage,0.9510226049515608
share_revision_impulse_has_coverage,0.9305705059203444
share_revenue_growth_has_coverage,0.976318622174381
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.02045209903121636
share_news_has_coverage,0.01776103336921421
share_beneish_is_missing,0.10172228202368137
share_beneish_is_pathological_clipped,0.13939720129171151
median_revenue_per_employee,453268.40855106886
median_gross_profit_per_employee,178268.3243052929
median_piotroski_score,5.0
median_beneish_m_score,-2.644107038694325
median_accrual_volatility,0.019621140752352356
median_pead_signal,0.0
median_pead_revision_component,-0.002016056580702036
median_sue_signal,0.27967070680868256
median_sue_surprise_pct,4.0
median_revision_impulse_signal,0.0894115411932212
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09514674851333206
median_revenue_growth_yoy,0.06255694053337746
median_revenue_acceleration,0.0022243892222392203
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.015433071419978198
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.4893112858222229
median_news_event_effective_signal,0.5290119826267252
median_news_event_breadth,1.0
median_news_article_count_recent,6.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.7238095238095238
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.004099560292190709
median_contrib_gross_profitability,-0.03229504484197582
median_contrib_adjusted_book_to_market,-0.05571755372804851
median_contrib_earnings,0.0021840794357464014
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.014220642037189812
median_contrib_momentum,-0.010534489105955615
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0
life_cycle_share::unknown,0.8293864370290636
life_cycle_share::mature,0.07857911733046287
life_cycle_share::growth,0.05435952637244349
life_cycle_share::recovery,0.03767491926803014
final_ranked_count,317.0
median_market_cap,6350063104.0
median_shareholder_yield,0.012921014218521876
median_gross_profitability,0.23267945677947835
median_adjusted_book_to_market,0.336775967057487
median_pead_signal,0.0
median_sue_signal,0.7690077139437492
median_revision_impulse_signal,0.12125340599455042
median_revenue_growth_yoy,0.09689945616537765
median_revenue_acceleration,0.009224842266864375
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.08796266895279402
median_piotroski_score,6.0
median_revenue_per_employee,484350.2142857143
median_gross_profit_per_employee,180060.0485100485
median_forensic_penalty,-0.005256715466535264
median_beneish_m_score,-2.6170610971729764
median_accrual_volatility,0.017837340279800863
median_sentiment_article_count_recent,6.5
median_news_event_signal,0.5290119826267252
median_news_event_effective_signal,0.5290119826267252
median_news_event_breadth,2.0
median_news_article_count_recent,6.5
median_news_novelty_score,0.7925
median_news_saturation_score,0.8166666666666667
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
