symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,listing_exchanges,currency_code,currency_name,company_name,asset_type,country,country_iso,isin,primary_ticker,home_category,international_domestic,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,listing_symbol,analysis_symbol,listing_exchange,listing_currency_code,listing_currency_name,listing_country,listing_country_iso,analysis_exchange,analysis_currency_code,analysis_currency_name,analysis_country,analysis_country_iso,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_news_event_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
PVH.US,,,US,4366389248.0,0.0017,0.0017,0.15520282186948853,0.15690282186948853,0.44076705761493024,4792300000.0,,2519920000.0,7312220000.0,1.674660591322526,Consumer Cyclical,Apparel Manufacturing,NYSE,"F,US",USD,US Dollar,PVH Corp,Common Stock,USA,US,US6936561009,PVH.US,Domestic,Domestic,,47900000.0,91.15635173277661,91.56,74.4252,0.9955914343903082,-0.004408565609691828,1.2248049280724354,1.0,5.0,8950200000.0,15000.0,596680.0,343240.0,5.8172,2026-04-06,,,0.22857747064866493,0.9117224885582168,,,,1.0,0.0,0.6331018843045885,1.0,0.20999999999999996,5.8172,0.3317001658124396,2026-04-06,0.20885441502623725,1.0,13.0,0.004781937812973073,0.012278735297542883,0.38461538461538464,0.5364,1.0,0.21887009432863627,0.10943504716431814,0.05629111148591659,0.017382821160924156,0.038908290324992434,1.0,,,,0.0,0.14458020528369084,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.06419302057812676,0.025120101044071943,8.0,1.0,PVH.US,PVH.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9038048599415274,0.012240177685812759,-0.00896618502219182,17.0,8.0,43.0,1.0,1.0,0.5244955374258389,0.5244955374258389,1.0,9.0,1.0,0.0,0.7666666666666667,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,0.211664567508573,0.8,1.0,1.0,0.865,0.8666666666666667,0.5927200717297246,0.11553747184802601,0.2867334319241506,-0.007686331826594568,0.055356371491618046,-0.011964781831331334,0.12039451036260393,-0.00688408490315511,0.0,-0.021907282737137303,True,True,True,True,3,3,True,2.3862092542912188,0.5402803673534193,2.0814172959882637,,-0.31113713676305726,0.9560685922559249,-0.2759002480128368,-0.0038586712724203247,1.4423254408650026,-0.13238624813759828,,0.211664567508573,-0.30833891847376155,1.6072850545336343,0.352738880303576,1.2545461742300583,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,1.1222993760579048,True,1,neutral,sector,neutral
WHD.US,,,US,3772034560.0,0.0103,0.0103,0.13639491960207717,0.14669491960207717,0.3148614273112501,1226390000.0,,82809000.0,1309199000.0,0.3470803300381214,Energy,Oil & Gas Equipment & Services,NYSE,"F,US",USD,US Dollar,Cactus Inc,Common Stock,USA,US,US1272031071,WHD.US,Domestic,Domestic,,69015000.0,54.6552859523292,59.0964,45.5056,0.9248496685471399,-0.0751503314528601,1.2010672522135561,1.0,7.0,1079051000.0,1500.0,719367.3333333334,392866.6666666667,12.069,2026-02-25,0.0,0.0,0.4484512775358549,0.0,1.0,0.06648857006786518,8.0,1.0,1.0,1.2976044403935214,1.0,0.07000000000000006,12.069,0.053945561390627894,2026-02-25,0.024659842101288416,1.0,6.0,-0.0022112655012700056,-0.05874794561482149,-0.3333333333333333,0.5044,1.0,0.20830718661287909,0.10415359330643954,-0.04012185755601372,-0.09968927045067721,0.059567412894663496,1.0,,,,0.0,0.10439109793031046,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.016074861504129786,0.009031823460947667,8.0,1.0,WHD.US,WHD.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9911350093457942,0.001861708374920501,0.0014616332104984142,7.0,6.0,10.0,1.0,1.0,0.6470859686484375,0.6470859686484375,1.0,4.0,1.0,0.0,0.7666666666666667,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.7547458003110311,1.0,1.0,1.0,0.865,0.8666666666666667,0.460119038218023,0.5000151388828306,-0.1060186660215121,0.025356374762740917,-0.0263057076337493,0.013564642108478032,-0.02735462084116567,0.06844712671970103,0.0,0.07811619033219172,True,True,True,True,3,3,True,1.8523757831708338,2.3381882829600986,-0.769596637803826,0.18001881699582686,0.5510979002426883,-0.45433001094558384,-0.2550478447491573,0.4689708724196733,-0.3277081774376671,1.316290898455789,,-0.7547458003110311,-0.45305250001852315,1.4220768664104801,-0.46252815002733827,1.8751293664290034,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,0.9859395165275382,True,2,neutral,sector,neutral
NRG.US,,,US,34844561408.0,0.0116,0.0116,0.061320754716981174,0.07292075471698117,0.23026767330130404,1681000000.0,,1384900000.0,3065900000.0,0.08798790617855494,Utilities,Utilities - Independent Power Producers,NYSE,US,USD,US Dollar,NRG Energy Inc.,Common Stock,USA,US,US6293775085,NRG.US,Domestic,Domestic,,199000000.0,175.0982985326633,189.96,159.4399,0.9217640478661997,-0.0782359521338003,1.0982087829499598,1.0,6.0,30710000000.0,16702.0,1838701.9518620525,401748.29361753084,1.9608,2026-03-04,8.746494836016209e-05,8.746494836016209e-05,0.07827156788121041,0.548412489847313,1.0,0.0020376175548589186,11.0,1.0,1.0,0.022892998019477577,1.0,0.020000000000000018,1.9608,0.8736295693112728,2026-03-04,0.1731433748342575,1.0,11.0,-0.0016932774226721776,0.023750210551511906,-0.09090909090909091,0.9556,1.0,0.4379471449214975,0.21897357246074875,0.13653028303270265,0.05704001107573031,0.07949027195697234,1.0,,,,0.0,0.03645312567064379,1.0,1.0,-3.006425624177786,ok,0.0,0.0,1.0,-0.0021464480051213495,0.01194989925681071,8.0,1.0,NRG.US,NRG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9405478991107165,0.024794511689277265,0.007636817304066179,18.0,7.0,33.0,2.0,1.0,0.4507363365167029,0.4507363365167029,3.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.69907599742031,1.0,1.0,1.0,0.865,1.0,0.45163985663022693,0.42006386028958914,-0.27473087057839274,0.01878016879672372,0.10253028436125676,0.09533005833124684,-0.04280312389770595,-0.018831391694082458,0.0,0.07235436573300208,True,True,True,True,3,3,True,1.8182397676406548,1.9643173173087929,-1.9942898947167262,0.31192243478041537,0.14028243580618133,1.770816655634832,0.6481323737083292,1.2990225809020475,-0.512781142264889,-0.31385652823470767,-0.818692746407807,-0.579459248432813,-0.07246703152042455,0.6854475483562059,-1.0278350424807825,0.7579145798766305,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.8243332079718644,True,3,neutral,sector,neutral
CMPR.US,,,US,1892325760.0,0.0,0.0,0.05065128138681996,0.05065128138681996,0.821811818647416,-583490000.0,940713600.0,127631300.0,484854900.0,0.25622168774999926,Industrials,Specialty Business Services,NASDAQ,US,USD,US Dollar,Cimpress NV,Common Stock,USA,US,IE00BKYC3F77,CMPR.US,Domestic,Domestic,,25636865.0,73.81268185482118,82.43,65.7547,0.8954589573555887,-0.10454104264441133,1.122546097158396,1.0,5.0,3403079000.0,15000.0,226871.93333333332,107829.6,18.9024,2026-01-28,0.0,0.0,0.638771667923436,0.0,0.6666666666666666,0.25,2.0,1.0,1.0,0.202562736885995,1.0,0.31000000000000005,18.9024,1.5303900646567201,2026-01-28,0.1245791245791246,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.006734006734006591,0.0033670033670032953,0.10971837569570231,0.07243508756237826,0.037283288133324044,1.0,,,,0.0,0.043065598227413474,1.0,1.0,-3.1004440002333653,ok,0.0,0.0,1.0,-0.056793702295151724,0.026506291795467665,8.0,1.0,CMPR.US,CMPR.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.999,,,1.0,1.0,1.0,1.0,1.0,0.34964999999999996,0.34964999999999996,0.0,1.0,1.0,0.0,0.65,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.3762053099445828,1.0,0.85,1.0,0.865,0.5666666666666667,0.3622518757814532,0.48745616985490975,-0.050563874938387675,-0.011574231513263004,-0.008048027517560126,0.024021770482662644,-0.04140415248747708,-0.0038013971039078482,0.0,0.03893724957926432,True,True,True,True,3,3,True,1.4583760861201605,2.279459592679334,-0.3670465740346172,-0.0028795107307054753,-0.37049393057696645,-0.1635279389933989,0.13291499418418515,0.35221122414266154,-0.4960214739881647,-0.11180579717376025,-1.047342591692756,0.2949319718035903,0.010256641080634385,1.3713739290634575,-1.1146596900541574,1.361117287982823,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5666666666666667,False,0.7972753821376942,False,4,neutral,sector,neutral
DTE.US,,,US,31137646592.0,0.0301,0.0301,0.0,0.0301,0.24843709540191616,12303000000.0,,900000.0000000001,12303900000.0,0.3951454700870413,Utilities,Utilities - Regulated Electric,NYSE,US,USD,US Dollar,DTE Energy Company,Common Stock,USA,US,US2333311072,DTE.US,Domestic Primary,Domestic,,207000000.0,150.42341348792272,153.4256,138.0131,0.9804322973996694,-0.019567702600330583,1.0899212718787037,1.0,7.0,15814000000.0,9650.0,1638756.4766839377,1391917.098445596,3.7736,2026-02-05,0.0,0.0,0.1498079782165767,0.0,1.0,0.06794466166521594,15.0,1.0,1.0,0.3909840238034425,1.0,0.05999999999999983,3.7736,0.1534589557300258,2026-02-05,0.07631272779474417,1.0,16.0,0.0003247846797864616,0.0032117596112207028,0.0,0.3104,1.0,0.05533368618582484,0.02766684309291242,0.2339930151338765,0.21369580178940129,0.020297213344475207,1.0,,,,0.0,0.0516001308110417,1.0,1.0,,missing,1.0,0.0,1.0,-0.01298848191226648,0.004083234309516329,8.0,1.0,DTE.US,DTE.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9844833931150975,0.005781325520557656,-0.011470023493787562,18.0,11.0,33.0,3.0,1.0,0.49222562783177665,0.49222562783177665,2.0,16.0,1.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.40100185801982113,1.0,1.0,1.0,0.865,0.9333333333333333,0.22662932876131306,0.4733383540516652,-0.08108236654381497,0.03277191086214722,0.0021202089835318694,0.09776861849029495,-0.01888134273406269,0.019750116628890743,0.0,0.041503692305051486,True,True,True,True,3,3,True,0.9123784183752861,2.213441368579382,-0.5885823602481075,0.3030309419917508,0.6067201304756906,0.03661846258258842,1.7167890646007682,0.47146125686504564,-0.2261983615449722,0.3526806540873347,0.25,-1.0520037160396423,-0.06459619059197294,0.4552447207867302,-0.2366108969064359,0.5198409113787031,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.7939185208050168,True,5,neutral,sector,neutral
DLX.US,,,US,1284453248.0,0.0427,0.0427,-0.01728262570706729,0.025417374292932712,0.3949224748568236,683800000.0,,539352600.0,1223152600.0,0.9522749091137025,Industrials,Conglomerates,NYSE,"F,US",USD,US Dollar,Deluxe Corporation,Common Stock,USA,US,US2480191012,DLX.US,Domestic,Domestic,,45500000.0,28.229741714285716,28.99,21.5406,0.9737751539939882,-0.026224846006011826,1.3105364620431053,1.0,6.0,2133199999.0,4571.0,466681.2511485452,247407.56924086635,15.3153,2026-02-03,0.0,0.0,0.545963139116695,0.0,1.0,0.16666666666666666,3.0,1.0,1.0,1.4821573939836952,1.0,0.12749999999999995,15.3153,0.08602325267042626,2026-02-03,0.10067549863849,1.0,3.0,0.0,0.0,0.3333333333333333,0.2264,0.75,0.081457863011148,0.040728931505574,0.028343316440814004,0.022335384638675126,0.006007931802138877,1.0,,,,0.0,0.19267000422591427,1.0,1.0,-2.658231081508424,ok,0.0,0.0,1.0,-0.03191305518732533,0.007750520428376659,8.0,1.0,DLX.US,DLX.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9962922969876232,-0.0014924142830599063,-0.001755373746096467,13.0,5.0,19.0,1.0,1.0,0.382804313998188,0.382804313998188,3.0,5.0,0.8,0.0,1.0,0.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.40180341833747724,1.0,0.925,1.0,0.865,1.0,0.08632520451088062,0.27253885750217577,0.34082898690084407,0.016552705530598844,-0.02455677428090878,-0.031152376362482966,0.07904796440522502,0.000536090416974027,0.0,0.04158665379792889,True,True,True,True,3,3,True,0.3475333664360452,1.2744557388536322,2.4741005733061265,-0.0028795107307054753,0.5403524762838445,-0.45851233311690764,-0.632855414053708,-0.08000006995956795,0.9469940927278447,0.008934840282900449,0.02810584393743314,-0.8317126806123876,-0.13532310573266254,0.8069931266671638,0.6631281059910464,0.1438650206761174,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.7817073124212355,True,6,neutral,sector,neutral
STRA.US,,,US,1845480576.0,0.0291,0.0291,0.05472245236122619,0.0838224523612262,0.30468325370117827,1646406000.0,,195612300.0,1842018300.0,0.998123916314793,Consumer Defensive,Education & Training Services,NASDAQ,"BE,F,US",USD,US Dollar,Strategic Education Inc,Common Stock,USA,US,US86272C1036,STRA.US,Domestic,Domestic,,22819000.0,80.87473491388755,91.3911,80.793,0.8849300961897554,-0.11506990381024462,1.0010116583600999,1.0,8.0,1268220000.0,3683.0,344344.28455063805,168642.1395601412,21.6783,2026-02-26,0.11846307753092196,0.11846307753092196,0.6999140407362852,0.5077612562521375,1.0,0.3333333333333333,3.0,1.0,1.0,1.5867471435178107,1.0,0.31000000000000005,21.6783,0.19536824204563027,2026-02-26,0.18721358118544784,1.0,3.0,0.0,0.07664011333838715,0.3333333333333333,0.596,0.75,0.014912945679595266,0.007456472839797633,0.03773887804376863,0.04572849868282569,-0.00798962063905706,1.0,,,,0.0,-0.0396168883995207,1.0,1.0,-2.573513332696991,ok,0.0,0.0,1.0,-0.0006201657967721021,0.009870566040797111,8.0,1.0,STRA.US,STRA.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.9968426665300982,2.9384012686706207e-05,-0.00043244681560272724,16.0,6.0,33.0,1.0,1.0,0.7317942928448251,0.7317942928448251,2.0,6.0,1.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.23511316912018476,1.0,0.925,1.0,0.865,0.9333333333333333,0.43893831743723405,-0.038082393100503015,0.18832311215644076,0.11771115054441429,0.05265197541877737,-0.002522128380460039,-0.09149809578992152,0.04675605632267152,0.0,0.02433421300393912,True,True,True,True,3,3,True,1.7671051227861059,-0.17808221873766594,1.3670501561200699,2.0,0.8118895901688563,0.9830924785282616,-0.14706100450504042,0.07192487789155426,-1.0961465846826381,0.8349295771905628,0.2341368452299062,-0.7043631834702757,-0.5912942179471026,1.647175143214175,0.026334040611567022,1.620841102602608,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.7366122076125925,True,7,neutral,sector,neutral
KYIV.US,,,US,2659548928.0,0.0,0.0,0.06387265865296532,0.06387265865296532,0.39066918001885015,1299000000.0,,47700000.0,1346700000.0,0.5063640626505519,Communication Services,Telecom Services,NASDAQ,US,USD,US Dollar,Kyivstar Group Ltd. Common Shares,Common Stock,USA,US,BMG5331N1011,,,,,216117656.0,12.306023382004476,16.48,12.0582,0.746724719781825,-0.253275280218175,1.020552269990917,1.0,7.0,1157000000.0,18027.0,64181.50551949853,45986.575692017526,15.625,2026-03-13,0.06719218549032138,0.06719218549032138,0.5545997223493823,0.6299605249474366,1.0,0.1923205902079142,4.0,1.0,1.0,,0.0,0.04999999999999999,15.625,,2026-03-13,0.2217952780025431,1.0,4.0,0.0,0.0,0.25,0.8624,1.0,0.4049242862096867,0.20246214310484334,0.28400000000000003,0.19758064516129026,0.08641935483870977,1.0,,,,0.0,-0.07528737258226514,1.0,1.0,-3.536441129171705,ok,0.0,0.0,1.0,,,0.0,,KYIV.US,KYIV.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.6573333333333333,-0.22266666666666668,,2.0,3.0,3.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.0,-2.0,0.8,1.0,1.0,0.865,0.0,0.2615490687401812,0.23883602011664373,-0.06040521201154152,0.07411200000000001,0.09358207937317997,-0.000753409218546374,-0.10382646671906509,0.0,0.0,0.207,True,True,True,True,3,3,True,1.05296047501435,1.1168533517470556,-0.43848550273663034,2.0,,1.6162708009184799,0.10662920255010891,-0.1016994356877264,-1.2438403871821868,,-2.0,,0.13303581720172558,1.2205233407881324,-1.1096133165974056,1.0874875235864068,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7100940802808519,False,8,neutral,sector,neutral
TCMD.US,,,US,533042112.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.5443384180497919,Healthcare,Medical Devices,NASDAQ,US,USD,US Dollar,Tactile Systems Technology Inc,Common Stock,USA,US,US87357P1003,TCMD.US,Domestic,Domestic,,23295328.0,22.88193203375372,37.77,20.7171,0.6058229291435986,-0.3941770708564014,1.1044949357658032,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.0,0.0,0.13402083119301605,0.0,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,-0.07004026655196843,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,TCMD.US,TCMD.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.996,-0.0030000000000000027,,2.0,2.0,2.0,1.0,1.0,0.34754999999999997,0.34754999999999997,0.0,1.0,1.0,0.0,0.65,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.6513775993353141,1.0,0.85,1.0,0.865,0.5666666666666667,0.22948822981824984,0.44430630263101767,0.04235981471226723,-0.01942948642000587,0.07745534586041115,-0.008728444529616039,-0.10587077471323304,-0.029525338510432823,0.0,0.06741758153120501,True,True,True,True,3,3,True,0.9238879596993333,2.0776806741857667,0.30749274824811595,-0.20257944529810498,-0.32532404513593405,1.573815825671262,-0.1816243373493546,-0.01889060870008024,-1.268331183482381,-0.8683923091303772,-0.6522735257387361,-0.6504816729318923,0.2385803425976767,1.447282362713742,-1.0670873200440616,1.2087020201160654,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5666666666666667,False,0.6974732303798632,False,9,neutral,sector,neutral
ITRN.US,,,US,1065102272.0,0.1121,0.1121,0.0010053282396702556,0.11310532823967026,0.4623783705406847,217564000.0,55028600.0,16911100.000000004,289503700.0,0.27180835832448585,Technology,Scientific & Technical Instruments,NASDAQ,US,USD,US Dollar,Ituran Location and Control Ltd,Common Stock,USA,US,IL0010818685,ITRN.US,ADR,International/Domestic,,19874000.0,53.59274791184462,54.0,41.5788,0.9924582946637892,-0.007541705336210791,1.288944075149947,1.0,7.0,359023000.0,2800.0,128222.5,63777.5,6.6482,2026-03-04,0.02464999605708861,0.02464999605708861,0.2598317807423732,0.548412489847313,0.3333333333333333,0.5189655172413793,1.0,1.0,1.0,1.2498135454159105,1.0,0.04800000000000004,6.6482,0.03840572873934303,2026-03-04,0.10920490956072351,1.0,1.0,0.09043927648578813,0.09043927648578813,1.0,0.5664,0.25,0.0,0.0,0.1280600364369051,0.10540375423759274,0.022656282199312372,1.0,,,,0.0,0.18517405197979178,1.0,1.0,,missing,1.0,0.0,1.0,-0.043918978839518806,0.015020732862853927,8.0,1.0,ITRN.US,ITRN.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.97,0.027000000000000024,,2.0,2.0,2.0,1.0,1.0,0.34895000000000004,0.34895000000000004,0.0,1.0,1.0,0.0,0.65,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.07249832663356373,1.0,0.7749999999999999,1.0,0.865,0.5666666666666667,0.43149987022208985,0.2942046294289235,-0.040249012567117694,0.07334214558845958,-0.03365261120764415,-0.016991258853984458,0.0067286209270997765,-0.0372725932780737,0.0,0.0075035768065738456,True,True,True,True,3,3,True,1.7371589602906548,1.3757699794056135,-0.29217029329809263,1.733353948400485,-0.22496144110916066,-0.749960693245176,-0.24799191554134123,-0.12314710587844606,0.08060883437179642,-1.096252743472756,0.25,-0.39499665326712746,-0.02919588693040552,1.7087749929236329,-0.6707530542641948,1.7379708798540383,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5666666666666667,False,0.6851133670663266,False,10,neutral,sector,neutral
