metric,value
stage1_count_after_core_filters,1866.0
collected_universe_size,5000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8038585209003215
share_passes_trend_gate,0.5541264737406216
share_passes_quality_gate,0.7218649517684887
share_passes_forensic_gate,0.9608788853161844
share_passes_factor_gate,0.9876741693461951
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9314040728831725
share_sue_has_coverage,0.9512325830653805
share_revision_impulse_has_coverage,0.9303322615219721
share_revenue_growth_has_coverage,0.9764201500535906
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.01982851018220793
share_news_has_coverage,0.017684887459807074
share_beneish_is_missing,0.10021436227224008
share_beneish_is_pathological_clipped,0.13879957127545553
median_revenue_per_employee,450419.8136645963
median_gross_profit_per_employee,178247.07332101048
median_piotroski_score,5.0
median_beneish_m_score,-2.643778061988469
median_accrual_volatility,0.019626453051065453
median_pead_signal,-0.0
median_pead_revision_component,-0.0015584374631085764
median_sue_signal,0.29914100659439186
median_sue_surprise_pct,4.5455
median_revision_impulse_signal,0.09070968417157198
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.0954349618331321
median_revenue_growth_yoy,0.06360895962773516
median_revenue_acceleration,0.0019066728168490865
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.046058582232282506
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.4651601175307294
median_news_event_effective_signal,0.5501704661044162
median_news_event_breadth,1.0
median_news_article_count_recent,5.5
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.6904761904761905
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.006309647663798499
median_contrib_gross_profitability,-0.02345556132779086
median_contrib_adjusted_book_to_market,-0.04384914049158923
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.014376870716704335
median_contrib_momentum,-0.018052490112537678
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0
life_cycle_share::unknown,0.8456591639871383
life_cycle_share::mature,0.0707395498392283
life_cycle_share::growth,0.04823151125401929
life_cycle_share::recovery,0.03536977491961415
final_ranked_count,288.0
median_market_cap,5885767424.0
median_shareholder_yield,0.011372811016453155
median_gross_profitability,0.22962583977641338
median_adjusted_book_to_market,0.35992506846379735
median_pead_signal,0.0
median_sue_signal,0.7394582711417897
median_revision_impulse_signal,0.12620192307692307
median_revenue_growth_yoy,0.09792118370252045
median_revenue_acceleration,0.009525405249305674
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.06193548243984905
median_piotroski_score,6.0
