metric,value
stage1_count_after_core_filters,1856.0
collected_universe_size,5000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8060344827586207
share_passes_trend_gate,0.5452586206896551
share_passes_quality_gate,0.7252155172413793
share_passes_forensic_gate,0.9612068965517241
share_passes_factor_gate,0.9886853448275862
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9304956896551724
share_sue_has_coverage,0.9520474137931034
share_revision_impulse_has_coverage,0.9310344827586207
share_revenue_growth_has_coverage,0.978448275862069
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.020474137931034482
share_news_has_coverage,0.017780172413793104
share_beneish_is_missing,0.09644396551724138
share_beneish_is_pathological_clipped,0.13900862068965517
median_revenue_per_employee,450419.8136645963
median_gross_profit_per_employee,177893.30220588236
median_piotroski_score,5.0
median_beneish_m_score,-2.644975638544099
median_accrual_volatility,0.019550870396724686
median_pead_signal,0.0
median_pead_revision_component,-0.0014863772800738826
median_sue_signal,0.29603598350161525
median_sue_surprise_pct,4.38975
median_revision_impulse_signal,0.09118514850230455
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09334894431532156
median_revenue_growth_yoy,0.06373940441828863
median_revenue_acceleration,0.002161792391736972
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.04995807869604875
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.47485482528126066
median_news_event_effective_signal,0.5172187693461365
median_news_event_breadth,1.0
median_news_article_count_recent,4.5
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.6833333333333333
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.0029013259979046723
median_contrib_gross_profitability,-0.02101832147047685
median_contrib_adjusted_book_to_market,-0.04693921666795535
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.011474670599411058
median_contrib_momentum,-0.015022384695684487
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.00027647159485717776
life_cycle_share::unknown,0.8448275862068966
life_cycle_share::mature,0.07112068965517242
life_cycle_share::growth,0.0490301724137931
life_cycle_share::recovery,0.03502155172413793
final_ranked_count,288.0
median_market_cap,6390426880.0
median_shareholder_yield,0.011372811016453155
median_gross_profitability,0.22739219089551663
median_adjusted_book_to_market,0.3590648679789292
median_pead_signal,0.0
median_sue_signal,0.7985571567457087
median_revision_impulse_signal,0.1264085426669047
median_revenue_growth_yoy,0.1035924084952553
median_revenue_acceleration,0.013344364061993463
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.06222445256810303
median_piotroski_score,6.0
median_revenue_per_employee,484350.2142857143
median_gross_profit_per_employee,192904.71066907776
median_forensic_penalty,0.019106476266533723
median_beneish_m_score,-2.6426835441064886
median_accrual_volatility,0.017381704702007283
