symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,listing_exchanges,currency_code,currency_name,company_name,asset_type,country,country_iso,isin,primary_ticker,home_category,international_domestic,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,listing_symbol,analysis_symbol,listing_exchange,listing_currency_code,listing_currency_name,listing_country,listing_country_iso,analysis_exchange,analysis_currency_code,analysis_currency_name,analysis_country,analysis_country_iso,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_news_event_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
PVH.US,,,US,4210481152.0,0.0017,0.0017,0.15520282186948853,0.15690282186948853,0.44076705761493024,4792300000.0,,2519920000.0,7312220000.0,1.7366708782265081,Consumer Cyclical,Apparel Manufacturing,NYSE,"F,US",USD,US Dollar,PVH Corp,Common Stock,USA,US,US6936561009,PVH.US,Domestic,Domestic,,47900000.0,87.90148542797495,89.6972,73.9492,0.979980260565268,-0.02001973943473201,1.1886739197716127,1.0,5.0,8950200000.0,15000.0,596680.0,343240.0,5.8172,2026-04-06,,,0.22857747064866493,0.9548416039104165,,,,1.0,0.0,0.6331018843045885,1.0,0.20999999999999996,5.8172,0.3317001658124396,2026-04-06,0.2105235113008034,1.0,13.0,0.012278735297542883,0.012278735297542883,0.38461538461538464,0.5364,1.0,0.21887009432863627,0.10943504716431814,0.05629111148591659,0.017382821160924156,0.038908290324992434,1.0,,,,0.0,0.11563113904939208,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.06419302057812676,0.025120101044071943,8.0,1.0,PVH.US,PVH.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.8918394549334611,0.021348935459645557,-0.007413138160337951,17.0,8.0,43.0,2.0,1.0,0.5823971735375122,0.5823971735375122,3.0,31.0,0.8709677419354839,0.0,0.9580645161290322,0.8709677419354839,0.0,0.0,1.0,0.9354838709677419,1.0,1.0,0.0,0.0,-1.4,0.0,0.20283419062236233,0.8,1.0,1.0,0.865,1.0,0.5586671089092516,0.10745854530838168,0.30502861708235446,-0.008303545607478561,0.05433288916733913,-0.010628977215553824,0.07985049500065515,0.02021150586560266,0.0,-0.0209933387294145,True,True,True,True,3,3,True,2.2491167229363835,0.5025014084680999,2.214223277369837,,-0.3361215028934002,0.9383918681751147,-0.2728709574409138,0.019295912349880297,0.9566084039732264,0.33685843109337765,,0.20283419062236233,-0.3414117827464934,1.5758483688759166,0.30412939002523043,1.2717189788506862,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,1.085623299781138,True,1,neutral,sector,neutral
SAM.US,,,US,2670880512.0,0.0,0.0,0.0999660268387973,0.0999660268387973,0.7980763994487242,846280000.0,,112673300.0,958953300.0,0.35904013515075583,Consumer Defensive,Beverages - Brewers,NYSE,US,USD,US Dollar,Boston Beer Company Inc,Common Stock,USA,US,US1005571070,SAM.US,Domestic,Domestic,,10597000.0,252.04119203548174,260.0,214.0169,0.9693892001364682,-0.030610799863531768,1.1776695767272667,1.0,7.0,2087251000.0,2736.0,762884.1374269006,348165.2046783626,-7.0707,2026-02-18,-0.0,-0.0,-0.27552043365183665,0.0,1.0,0.036093814670741416,14.0,1.0,1.0,-0.14819510628552657,1.0,-0.14000000000000012,-7.0707,0.9447005606937048,2026-02-18,0.09906462690939534,1.0,12.0,-0.015458623383691628,-0.015458623383691628,-0.08333333333333333,0.568,1.0,0.2534037939903615,0.12670189699518075,0.2625957310358713,-0.1122800700934965,0.3748758011293678,1.0,,,,0.0,0.10477144492048723,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.05118523266163866,0.02950471290023823,8.0,1.0,SAM.US,SAM.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9938005235839191,0.0008119921978746447,-0.0006012385564556633,17.0,6.0,28.0,1.0,1.0,0.5343396279344443,0.5343396279344443,3.0,8.0,1.0,0.0,0.8375,1.0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.0,-1.4,0.0,0.46252666850693575,1.0,1.0,1.0,0.865,1.0,0.5104259500301728,0.4038406869672683,-0.06887636593072347,-0.04137794617899063,-0.0077316229533804055,0.18547975167958564,0.028505028777547833,0.03699038630856364,0.0,-0.04787151019046785,True,True,True,True,3,3,True,2.054904471242161,1.8884539467327865,-0.49997817963183194,-0.4434155422090377,-0.6748360836744817,-0.1335340751879172,1.9057109746018317,2.0,0.3414900569354917,0.6165064384760607,,0.46252666850693575,0.5862739224736939,1.9053114740686954,-0.47060514602002756,1.3190375515950015,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.9993843585095759,True,2,neutral,sector,neutral
WHD.US,,,US,3658193408.0,0.0107,0.0107,0.13639491960207717,0.14709491960207716,0.3148614273112501,1226390000.0,,82809000.0,1309199000.0,0.35788129658124407,Energy,Oil & Gas Equipment & Services,NYSE,"F,US",USD,US Dollar,Cactus Inc,Common Stock,USA,US,US1272031071,WHD.US,Domestic,Domestic,,69015000.0,53.00577277403463,59.0964,45.333,0.8969374238368941,-0.10306257616310588,1.1692535851153605,1.0,7.0,1079051000.0,1500.0,719367.3333333334,392866.6666666667,12.069,2026-02-25,0.015374867217073446,0.015374867217073446,0.4484512775358549,0.5156429867014977,1.0,0.06648857006786518,8.0,1.0,1.0,1.2976044403935214,1.0,0.07000000000000006,12.069,0.053945561390627894,2026-02-25,0.007825362640878733,1.0,6.0,-0.030054563344166493,-0.10528041980977369,-0.3333333333333333,0.5036,1.0,0.20784758042875454,0.10392379021437727,-0.04012185755601372,-0.09968927045067721,0.059567412894663496,1.0,,,,0.0,0.07394292866789726,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.016074861504129786,0.009031823460947667,8.0,1.0,WHD.US,WHD.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9901130467289716,0.0021036153836181404,0.0010077324253612296,8.0,6.0,11.0,1.0,1.0,0.6470859686484374,0.6470859686484374,1.0,4.0,1.0,0.0,0.7666666666666667,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.7500448343660534,1.0,1.0,1.0,0.865,0.8666666666666667,0.4430480069334559,0.5070116442580848,-0.09594611701030499,0.04786845029702578,-0.03729527716289474,0.013147313641008879,-0.06706347694381079,0.04867986973017913,0.0,0.07762964035688652,True,True,True,True,3,3,True,1.7836501658441715,2.3709055861334334,-0.6964793260696232,0.6506785797361588,0.5741262462320887,-0.6441325934869558,-0.2648356716027288,0.4689708724196733,-0.8034200119058467,0.9361513409649834,,-0.7500448343660534,-0.5132639057103664,1.4252122376953535,-0.4718531383987281,1.8970653760940817,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,0.9370800540996305,True,3,neutral,sector,neutral
DLX.US,,,US,1296790400.0,0.0436,0.0436,-0.01728262570706729,0.02631737429293271,0.3949224748568236,683800000.0,,539352600.0,1223152600.0,0.9432153415077718,Industrials,Conglomerates,NYSE,"F,US",USD,US Dollar,Deluxe Corporation,Common Stock,USA,US,US2480191012,DLX.US,Domestic,Domestic,,45500000.0,28.50088791208791,28.99,21.2806,0.9831282480885792,-0.016871751911420763,1.3392896775508167,1.0,6.0,2133199999.0,4571.0,466681.2511485452,247407.56924086635,15.3153,2026-02-03,0.0,0.0,0.545963139116695,0.0,1.0,0.16666666666666666,3.0,1.0,1.0,1.4821573939836952,1.0,0.12749999999999995,15.3153,0.08602325267042626,2026-02-03,0.10067549863849,1.0,3.0,0.0,0.0,0.3333333333333333,0.2264,0.75,0.081457863011148,0.040728931505574,0.028343316440814004,0.022335384638675126,0.006007931802138877,1.0,,,,0.0,0.2146331772390336,1.0,1.0,-2.658231081508424,ok,0.0,0.0,1.0,-0.03191305518732533,0.007750520428376659,8.0,1.0,DLX.US,DLX.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9974647024044109,-8.648385478171594e-05,-0.00015929145837734193,13.0,9.0,22.0,1.0,1.0,0.6465968987194741,0.6465968987194741,2.0,12.0,1.0,0.0,0.8291666666666666,1.0,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,0.0,0.0,-1.4,0.0,-0.3805372980251048,1.0,0.925,1.0,0.865,0.9333333333333333,0.09754308971071661,0.2781051467097597,0.32470668205078085,0.01125261457809435,-0.025824717619044077,-0.032678668378057336,0.09347362046508322,0.04910935749551102,0.0,0.03938561034559834,True,True,True,True,3,3,True,0.3926950249560746,1.3004850151547842,2.35706767644116,-0.11236075092113398,0.5329392668640309,-0.48218676411415917,-0.6709364667432135,-0.07813125022391125,1.1198133572743503,0.8769528124198397,0.06485945505037163,-0.8259340511005812,-0.1267635258447056,0.7744930348973258,0.7098216276486832,0.06467140724864262,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.8350727353584428,True,4,neutral,sector,neutral
RNG.US,,,US,3209237504.0,0.0079,0.0079,0.04506568233633701,0.052965682336337014,1.2090384115616066,-588119000.0,988812200.0,162267100.0,562960300.0,0.17541870905419907,Technology,Software - Application,NYSE,"F,US",USD,US Dollar,Ringcentral Inc,Common Stock,USA,US,US76680R2067,RNG.US,Domestic,Domestic,,87959000.0,36.48560697597745,42.3443,29.9222,0.8616415190705112,-0.13835848092948877,1.219349077807696,1.0,8.0,2515142000.0,7378.0,340897.53320683114,242767.14556790458,3.5088,2026-02-19,0.0,0.0,0.13943762092275472,0.0,1.0,0.43741894770969386,16.0,1.0,1.0,2.043057867843106,1.0,0.040000000000000036,3.5088,0.019578495856423673,2026-02-19,0.1765610986324637,1.0,14.0,0.0,0.0,0.35714285714285715,0.45,1.0,0.2500138896605368,0.1250069448302684,0.04803974535891897,0.04909940617479647,-0.0010596608158774945,1.0,,,,0.0,0.0941514322496814,1.0,1.0,-4.437832301300082,ok,0.0,0.0,1.0,-0.08812683557438655,0.009716118276838041,8.0,1.0,RNG.US,RNG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9870604169093904,0.0037267181417122153,-0.002010929408200912,11.0,10.0,17.0,2.0,1.0,0.7176635686448086,0.7176635686448086,2.0,6.0,1.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-1.3547576569064446,1.0,1.0,1.0,0.865,0.9333333333333333,0.3194996788091495,0.5262383573749962,-0.09904476253262647,-0.005249992194088934,-0.0076516308385703785,-0.051571781381097484,-0.03873678348355614,0.04884981530018028,0.0,0.140217417489817,True,True,True,True,3,3,True,1.2862616379644207,2.460814214560646,-0.7189726026332106,-0.31231480557902264,0.2984595077827524,-0.13215251880087012,-0.7645055886949816,-0.3641194405011313,-0.4640664108964766,0.8723181303603621,-2.0,-0.7095153138128891,0.2064505196080092,1.6258835317427998,-1.4564269703042911,1.4194330121347907,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.8325503185442036,True,5,neutral,sector,neutral
CMPR.US,,,US,1924399104.0,0.0,0.0,0.05065128138681996,0.05065128138681996,0.821811818647416,-583490000.0,940713600.0,127631300.0,484854900.0,0.2519513228790196,Industrials,Specialty Business Services,NASDAQ,US,USD,US Dollar,Cimpress NV,Common Stock,USA,US,IE00BKYC3F77,CMPR.US,Domestic,Domestic,,25636865.0,75.06374527462698,82.43,65.1111,0.9106362401386264,-0.08936375986137357,1.1528563528281197,1.0,5.0,3403079000.0,15000.0,226871.93333333332,107829.6,18.9024,2026-01-28,0.0,0.0,0.638771667923436,0.0,0.6666666666666666,0.25,2.0,1.0,1.0,0.202562736885995,1.0,0.31000000000000005,18.9024,1.5303900646567201,2026-01-28,0.1245791245791246,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.006734006734006591,0.0033670033670032953,0.10971837569570231,0.07243508756237826,0.037283288133324044,1.0,,,,0.0,0.06807931338679707,1.0,1.0,-3.1004440002333653,ok,0.0,0.0,1.0,-0.056793702295151724,0.026506291795467665,8.0,1.0,CMPR.US,CMPR.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.3590989803887902,1.0,0.85,1.0,0.865,0.0,0.36442460018563516,0.49869309989042515,-0.053254735491039346,-0.01685731325811983,-0.009543856223679318,0.022816487876898935,-0.02041638330530872,0.0,0.0,0.03716674447023978,True,True,True,True,3,3,True,1.4671231748852724,2.3320061179789238,-0.38657971203599023,-0.11236075092113398,-0.37735632368694627,-0.19392169508644355,0.10453926047144162,0.3522992594588216,-0.24458813747412284,,-1.003133674376115,0.28493571359853465,0.021208844297917848,1.3534012136401496,-1.0619801392912016,1.3321923693422317,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.823028644145052,False,6,neutral,sector,neutral
DTE.US,,,US,30950422528.0,0.0303,0.0303,0.0,0.0303,0.24843709540191616,12303000000.0,,900000.0000000001,12303900000.0,0.39753576833624804,Utilities,Utilities - Regulated Electric,NYSE,US,USD,US Dollar,DTE Energy Company,Common Stock,USA,US,US2333311072,DTE.US,Domestic Primary,Domestic,,207000000.0,149.518949410628,153.4256,137.6815,0.9745371659659666,-0.025462834034033377,1.0859770514602762,1.0,7.0,15814000000.0,9650.0,1638756.4766839377,1391917.098445596,3.7736,2026-02-05,0.0,0.0,0.1498079782165767,0.0,1.0,0.06794466166521594,15.0,1.0,1.0,0.3909840238034425,1.0,0.05999999999999983,3.7736,0.1534589557300258,2026-02-05,0.07607721092204196,1.0,16.0,0.00024060150375947886,0.0031278195488721565,0.0,0.3096,1.0,0.05533834586466154,0.02766917293233077,0.2339930151338765,0.21369580178940129,0.020297213344475207,1.0,,,,0.0,0.04697309153726787,1.0,1.0,,missing,1.0,0.0,1.0,-0.01298848191226648,0.004083234309516329,8.0,1.0,DTE.US,DTE.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9854126759316229,0.003254486485642416,-0.010984314325816924,20.0,10.0,36.0,2.0,1.0,0.530112482036258,0.530112482036258,2.0,16.0,1.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.3965703239219789,1.0,1.0,1.0,0.865,0.9333333333333333,0.22261683059665044,0.5018599709610018,-0.11064577241020111,0.028944859581356144,0.0061786296100159455,0.09985085207404118,-0.030757234783100686,0.05602344710851663,0.0,0.041045028525924815,True,True,True,True,3,3,True,0.8962246542123772,2.34681515125622,-0.8031851147496981,0.23657719187348739,0.582467747855447,0.10671208307454139,1.767928822469813,0.46957614595316916,-0.3684714700422377,1.0004186983663683,0.25,-1.0431406478439578,-0.08870438593478942,0.4435510401064401,-0.2367284467514593,0.5322554260412296,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.8151166112642051,True,7,neutral,sector,neutral
BCRX.US,,,US,2452829952.0,0.0,0.0,-0.05749990323954024,-0.05749990323954024,1.66439499142287,-119153000.0,578856400.0,175008300.0,634711700.0,0.25876710266134256,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,US,USD,US Dollar,BioCryst Pharmaceuticals Inc,Common Stock,USA,US,US09058V1035,BCRX.US,Domestic,Domestic,,218581000.0,11.221606415928191,11.31,7.8741,0.9921844753252158,-0.007815524674784191,1.4251287659450846,1.0,7.0,874837000.0,435.0,2011119.5402298851,1967268.9655172413,100.0,2026-02-25,0.09639912573084107,0.09639912573084107,0.999329299739067,0.5156429867014977,0.6666666666666666,0.28061224489795916,2.0,1.0,1.0,8.0,1.0,1.0868,100.0,0.08684838711081513,2026-02-25,0.20461346633416458,1.0,5.0,0.0,0.0,0.2,1.0,1.0,0.6359102244389028,0.3179551122194514,2.0908738425045996,0.36136140410812656,1.729512438396473,1.0,,,,0.0,0.27359826422813055,1.0,1.0,-2.4512029124692734,ok,0.0,0.0,1.0,-0.06285980790812237,0.04591816881454058,8.0,1.0,BCRX.US,BCRX.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.9031167666259754,0.02107953366564974,-0.009701723966996534,9.0,6.0,11.0,1.0,1.0,0.475384388833282,0.475384388833282,1.0,5.0,1.0,0.0,0.6366666666666667,1.0,0.0,0.0,1.0,0.8,1.0,1.0,0.0,0.0,-1.4,0.0,0.9997603987548803,1.0,1.0,1.0,0.865,0.8666666666666667,-0.19797751597839355,0.49786409143233823,-0.0762315577137507,0.188,0.07613272810027802,0.23500000000000001,0.1587278611851657,-0.024075060731290777,0.0,-0.09997603987548803,True,True,True,True,3,2,True,-0.9302838148811629,2.0712999228118245,-0.5192079481919525,2.0,2.0,1.0798968524862131,2.0,2.0,1.6873601614262517,-0.46298193714020724,0.5648553908748655,1.4346654066348952,2.434320504028622,-0.3923286220941545,0.2524649596487682,2.1818555443798537,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.8666666666666667,True,0.757464506418859,True,8,neutral,sector,neutral
TCMD.US,,,US,549194880.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.5283284869662296,Healthcare,Medical Devices,NASDAQ,US,USD,US Dollar,Tactile Systems Technology Inc,Common Stock,USA,US,US87357P1003,TCMD.US,Domestic,Domestic,,23295328.0,23.575322914534624,37.77,20.4416,0.6241811732733551,-0.3758188267266449,1.1533012540375813,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.0,0.0,0.13402083119301605,0.0,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,-0.03189077422989785,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,TCMD.US,TCMD.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.999,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.6290219568350428,1.0,0.85,1.0,0.865,0.0,0.22243386147823474,0.44294179648424176,0.044361619435486076,-0.01847008947177038,0.07622162260153156,-0.008784730208659884,-0.08140382834083192,0.0,0.0,0.06510377253242693,True,True,True,True,3,3,True,0.8954880457787553,2.0712999228118245,0.3220239835705491,-0.13042705421465675,-0.4024840777379364,1.548747792370854,-0.20841579916441585,0.001949598046781444,-0.9752173271536364,,-0.610803336529103,-0.6472405771409827,0.24445147689972924,1.4262925795831538,-1.045817928364661,1.1818411026834246,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7424040245106589,False,9,neutral,sector,neutral
MSM.US,,,US,5336643584.0,0.0384,0.0384,0.009691536294537673,0.04809153629453767,0.6239216364806114,1388210000.0,,308361200.00000006,1696571200.0,0.31790978229960054,Industrials,Industrial Distribution,NYSE,"F,US",USD,US Dollar,MSC Industrial Direct Company Inc,Common Stock,USA,US,US5535301064,MSM.US,Domestic,Domestic,,55894000.0,95.47793294450209,96.0597,88.2576,0.9939436927712878,-0.006056307228712199,1.0818097585307338,1.0,5.0,3769521000.0,7000.0,538503.0,219447.85714285713,-2.381,2026-04-01,-0.00602610315121461,-0.00602610315121461,-0.09495307784084307,0.8840636953004919,1.0,0.07178669486178144,7.0,1.0,1.0,-0.3886289340458084,1.0,-0.020000000000000018,-2.381,0.05146297212559727,2026-04-01,0.2257720810371162,1.0,10.0,0.01249821599690096,0.009582645217852204,0.4,0.5204,1.0,0.08359328807062616,0.04179664403531308,0.029221154245124836,0.04006531076464426,-0.010844156519519421,1.0,,,,0.0,0.05105663551492771,1.0,1.0,-2.432963640770807,ok,0.0,0.0,1.0,-0.02129090543457591,0.011228994284591218,8.0,1.0,MSM.US,MSM.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.739240046551005,0.0476307695926762,0.024697233578365063,11.0,22.0,33.0,2.0,1.0,0.16312115969188332,0.16312115969188332,3.0,22.0,0.6363636363636364,0.13636363636363635,0.9113636363636364,0.2727272727272727,0.0,0.0,1.0,0.8636363636363636,1.0,1.0,0.0,0.0,-1.4,0.0,-0.005502603215836732,1.0,1.0,1.0,0.865,1.0,0.3363506606401576,0.49869309989042515,-0.011753507576141355,-0.04578422875636216,0.05942924125583573,-0.04440836973487957,-0.03364505429390908,-0.06340076167780095,0.0,0.0005695194328391018,True,True,True,True,3,3,True,1.3541013665427035,2.3320061179789238,-0.08531950318224889,-0.45648235673470433,-0.7979263598578579,1.0264117660766103,-0.6625709808571486,-0.31005995756455557,-0.40306752875388996,-1.0566793612966825,0.6089052501957354,-0.6199104566274088,-0.15343115524972706,1.2779408330852866,-1.1298872859592872,1.4313719883350138,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.6960505991801644,True,10,neutral,sector,neutral
