metric,value
stage1_count_after_core_filters,728.0
collected_universe_size,2000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.5934065934065934
share_passes_trend_gate,0.5302197802197802
share_passes_quality_gate,0.7293956043956044
share_passes_forensic_gate,0.967032967032967
share_passes_factor_gate,0.9917582417582418
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9271978021978022
share_sue_has_coverage,0.9601648351648352
share_revision_impulse_has_coverage,0.9271978021978022
share_revenue_growth_has_coverage,0.9848901098901099
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.08653846153846154
share_news_has_coverage,0.0
share_beneish_is_missing,0.08516483516483517
share_beneish_is_pathological_clipped,0.1346153846153846
median_revenue_per_employee,456151.92307692306
median_gross_profit_per_employee,176852.97458222206
median_piotroski_score,5.0
median_beneish_m_score,-2.6403910549250744
median_accrual_volatility,0.019296243893791615
median_pead_signal,-0.0
median_pead_revision_component,-0.00018398039630159103
median_sue_signal,0.32735728294582755
median_sue_surprise_pct,4.6154
median_revision_impulse_signal,0.08672722712746435
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.0875331564986737
median_revenue_growth_yoy,0.06261388106675492
median_revenue_acceleration,0.00022023163185758143
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.056599602969695254
median_sentiment_article_count_recent,8.0
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.060954786405680396
median_contrib_gross_profitability,-0.02329221990211666
median_contrib_adjusted_book_to_market,-0.05361840314548828
median_contrib_earnings,-0.0016015485439196365
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0010577462443042088
median_contrib_momentum,-0.01427402494184394
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0023486355903755587
life_cycle_share::unknown,0.8914835164835165
life_cycle_share::mature,0.04532967032967033
life_cycle_share::growth,0.03571428571428571
life_cycle_share::recovery,0.027472527472527472
final_ranked_count,79.0
median_market_cap,11426134016.0
median_shareholder_yield,0.0162672900837717
median_gross_profitability,0.22555488902219556
median_adjusted_book_to_market,0.31880324567903007
median_pead_signal,0.0
median_sue_signal,0.9379311511215371
median_revision_impulse_signal,0.12136161606339838
median_revenue_growth_yoy,0.09601347557551931
median_revenue_acceleration,0.003294624360584253
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.060902879425119974
median_piotroski_score,6.0
median_revenue_per_employee,556018.821969697
median_gross_profit_per_employee,223707.3108189106
median_forensic_penalty,0.019988388003196245
median_beneish_m_score,-2.5847103559667017
median_accrual_volatility,0.017082906241731602
median_sentiment_article_count_recent,7.0
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.060954786405680396
median_contrib_gross_profitability,-0.02329221990211666
median_contrib_adjusted_book_to_market,-0.05361840314548828
median_contrib_earnings,-0.0016015485439196365
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0010577462443042088
median_contrib_momentum,-0.01427402494184394
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
