metric,value
stage1_count_after_core_filters,727.0
collected_universe_size,2000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8060522696011004
share_passes_trend_gate,0.5020632737276479
share_passes_quality_gate,0.7207702888583218
share_passes_forensic_gate,0.9642365887207703
share_passes_factor_gate,0.9903713892709766
median_factor_non_null_count,3.0
median_factor_positive_count,2.0
share_pead_has_setup_coverage,0.922971114167813
share_sue_has_coverage,0.9559834938101788
share_revision_impulse_has_coverage,0.922971114167813
share_revenue_growth_has_coverage,0.9779917469050894
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_beneish_is_missing,0.1155433287482806
share_beneish_is_pathological_clipped,0.13204951856946354
median_revenue_per_employee,449105.2514535273
median_gross_profit_per_employee,172425.01922583953
median_piotroski_score,5.0
median_beneish_m_score,-2.6384516633030333
median_accrual_volatility,0.018995844171267953
median_pead_signal,0.0
median_pead_revision_component,-0.0003284072249589737
median_sue_signal,0.3399054984042837
median_sue_surprise_pct,4.6256
median_revision_impulse_signal,0.09476136667108752
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.08452295368183216
median_revenue_growth_yoy,0.06781841573240222
median_revenue_acceleration,0.0007057756862395292
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.06803573534066495
median_sentiment_article_count_recent,8.0
median_earnings_signal_confidence,
median_revision_signal_confidence,
median_growth_signal_confidence,
median_momentum_signal_confidence,
median_contrib_shareholder_yield,
median_contrib_gross_profitability,
median_contrib_adjusted_book_to_market,
median_contrib_earnings,
median_contrib_revision_impulse,
median_contrib_growth,
median_contrib_momentum,
median_contrib_employee_efficiency,
median_contrib_forensic,
final_ranked_count,101.0
median_market_cap,6040253952.0
median_shareholder_yield,0.005269217144881377
median_gross_profitability,0.2229675272339651
median_adjusted_book_to_market,0.3396178124019721
median_pead_signal,0.0002601654985378863
median_sue_signal,0.6234401084924097
median_revision_impulse_signal,0.1222860361627841
median_revenue_growth_yoy,0.0901013365619786
median_revenue_acceleration,0.0027351291362355257
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.03573339228399791
median_piotroski_score,6.0
median_revenue_per_employee,479606.79271708685
median_gross_profit_per_employee,207489.35846761934
median_forensic_penalty,-0.0037585460356206607
median_beneish_m_score,-2.707379081101857
median_accrual_volatility,0.019115560645112325
median_sentiment_article_count_recent,7.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_contrib_shareholder_yield,-0.020528160809462882
median_contrib_gross_profitability,-0.01118706712597184
median_contrib_adjusted_book_to_market,-0.05956945892517066
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,0.006699539651347307
