metric,value
stage1_count_after_core_filters,728.0
collected_universe_size,2000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8241758241758241
share_passes_trend_gate,0.5302197802197802
share_passes_quality_gate,0.7293956043956044
share_passes_forensic_gate,0.967032967032967
share_passes_factor_gate,0.9917582417582418
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9271978021978022
share_sue_has_coverage,0.9601648351648352
share_revision_impulse_has_coverage,0.9271978021978022
share_revenue_growth_has_coverage,0.9848901098901099
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.057692307692307696
share_news_has_coverage,0.04532967032967033
share_beneish_is_missing,0.08516483516483517
share_beneish_is_pathological_clipped,0.1346153846153846
median_revenue_per_employee,456151.92307692306
median_gross_profit_per_employee,176852.97458222206
median_piotroski_score,5.0
median_beneish_m_score,-2.6403910549250744
median_accrual_volatility,0.019296243893791615
median_pead_signal,0.0
median_pead_revision_component,-0.00018398039630159103
median_sue_signal,0.32735728294582755
median_sue_surprise_pct,4.6154
median_revision_impulse_signal,0.08672722712746435
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.0875331564986737
median_revenue_growth_yoy,0.06261388106675492
median_revenue_acceleration,0.00022023163185758143
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.056599602969695254
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.49422533840981286
median_news_event_effective_signal,0.5111251502046553
median_news_event_breadth,1.0
median_news_article_count_recent,5.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.675
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-0.01316506068286923
median_contrib_gross_profitability,-0.015052615853692757
median_contrib_adjusted_book_to_market,-0.039085349008935615
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0017481989908094576
median_contrib_momentum,-0.022979282587990844
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0025099325602475084
life_cycle_share::unknown,0.8310439560439561
life_cycle_share::mature,0.08241758241758242
life_cycle_share::growth,0.04945054945054945
life_cycle_share::recovery,0.03708791208791209
final_ranked_count,123.0
median_market_cap,6545835520.0
median_shareholder_yield,0.007260623887297757
median_gross_profitability,0.224186955749067
median_adjusted_book_to_market,0.3599540680411724
median_pead_signal,0.0
median_sue_signal,0.7690077139437492
median_revision_impulse_signal,0.11459428484778203
median_revenue_growth_yoy,0.0779136802119258
median_revenue_acceleration,0.0021756339118867984
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.05993155150809955
median_piotroski_score,6.0
median_revenue_per_employee,481936.170212766
median_gross_profit_per_employee,201024.09638554216
median_forensic_penalty,0.02611261333309657
median_beneish_m_score,-2.678736214496852
median_accrual_volatility,0.018143647846526105
median_sentiment_article_count_recent,6.0
median_news_event_signal,0.5111251502046553
median_news_event_effective_signal,0.5111251502046553
median_news_event_breadth,1.0
median_news_article_count_recent,4.5
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.6403508771929824
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-0.01316506068286923
median_contrib_gross_profitability,-0.015052615853692757
median_contrib_adjusted_book_to_market,-0.039085349008935615
median_contrib_earnings,0.0
