metric,value
stage1_count_after_core_filters,78.0
collected_universe_size,200.0
forensic_gate_beneish_threshold,-1.2
large_universe_forensic_mode,0.0
share_passes_size,0.7948717948717948
share_passes_trend_gate,0.5384615384615384
share_passes_quality_gate,0.6025641025641025
share_passes_forensic_gate,0.9358974358974359
share_passes_factor_gate,0.9615384615384616
median_factor_non_null_count,3.0
median_factor_positive_count,2.0
share_pead_has_setup_coverage,0.8974358974358975
share_sue_has_coverage,0.9230769230769231
share_revision_impulse_has_coverage,0.9230769230769231
share_revenue_growth_has_coverage,0.9615384615384616
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.11538461538461539
share_news_has_coverage,0.07692307692307693
share_beneish_is_missing,0.15384615384615385
share_beneish_is_pathological_clipped,0.15384615384615385
median_revenue_per_employee,451995.44937428896
median_gross_profit_per_employee,175231.81818181818
median_piotroski_score,5.0
median_beneish_m_score,-2.5790799952473087
median_accrual_volatility,0.019512262106106126
median_pead_signal,0.0
median_pead_revision_component,-0.00016420361247948686
median_sue_signal,0.623998906868607
median_sue_surprise_pct,8.2314
median_revision_impulse_signal,0.06640201248075413
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.10888751518408049
median_revenue_growth_yoy,0.05258716399568564
median_revenue_acceleration,-0.00269100577084036
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.04858718466690397
median_sentiment_article_count_recent,8.0
median_news_event_signal,0.631836070628468
median_news_event_effective_signal,0.5430407851950216
median_news_event_breadth,2.0
median_news_article_count_recent,6.5
median_news_novelty_score,0.8833333333333333
median_news_saturation_score,0.75
median_news_peer_spillover_signal,0.1972458021873765
median_news_confirmation_signal,0.2083693003289147
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,1.0
median_contrib_shareholder_yield,0.025057172284808277
median_contrib_gross_profitability,-0.09655189288058236
median_contrib_adjusted_book_to_market,-0.016565130708590538
median_contrib_earnings,0.013418808749674351
median_contrib_revision_impulse,0.025534562204780717
median_contrib_growth,0.030257859267280487
median_contrib_momentum,-0.01541707655128513
median_contrib_news_event,-0.006247836485659377
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.012172114579183458
life_cycle_share::unknown,0.8717948717948718
life_cycle_share::growth,0.0641025641025641
life_cycle_share::mature,0.038461538461538464
life_cycle_share::recovery,0.02564102564102564
final_ranked_count,10.0
median_market_cap,8579016448.0
median_shareholder_yield,0.008208816707885392
median_gross_profitability,0.2846211909139654
median_adjusted_book_to_market,0.21720878521534587
median_pead_signal,0.0008600214068423808
median_sue_signal,1.001953881356798
median_revision_impulse_signal,0.17074196236554726
median_revenue_growth_yoy,0.15799418816634947
median_revenue_acceleration,-0.0010735053314923082
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.0005522504736802172
median_piotroski_score,6.0
median_revenue_per_employee,390261.153705732
median_gross_profit_per_employee,135993.1401931402
median_forensic_penalty,0.10805972489493826
median_beneish_m_score,-2.4284087703482404
median_accrual_volatility,0.020312698843376602
median_sentiment_article_count_recent,8.0
median_news_event_signal,0.6308962335983548
median_news_event_effective_signal,0.5430407851950216
median_news_event_breadth,2.0
median_news_article_count_recent,3.5
median_news_novelty_score,0.8833333333333333
median_news_saturation_score,0.7
median_news_peer_spillover_signal,0.1972458021873765
median_news_confirmation_signal,0.2083693003289147
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,1.0
median_contrib_shareholder_yield,0.025057172284808277
median_contrib_gross_profitability,-0.09655189288058236
median_contrib_adjusted_book_to_market,-0.016565130708590538
median_contrib_earnings,0.013418808749674351
median_contrib_revision_impulse,0.025534562204780717
median_contrib_growth,0.030257859267280487
median_contrib_momentum,-0.01541707655128513
median_contrib_news_event,-0.006247836485659377
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.012172114579183458
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,0.5151515151515151
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.309090909090909
ranked_contrib_corr::contrib_shareholder_yield__contrib_earnings,-0.3939393939393939
ranked_contrib_corr::contrib_shareholder_yield__contrib_revision_impulse,-0.06666666666666665
ranked_contrib_corr::contrib_shareholder_yield__contrib_growth,0.5393939393939393
ranked_contrib_corr::contrib_shareholder_yield__contrib_momentum,-0.8545454545454544
ranked_contrib_corr::contrib_shareholder_yield__contrib_news_event,-0.09726488698881033
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.0303030303030303
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,0.41818181818181815
ranked_contrib_corr::contrib_gross_profitability__contrib_earnings,-0.2121212121212121
ranked_contrib_corr::contrib_gross_profitability__contrib_revision_impulse,0.3696969696969697
ranked_contrib_corr::contrib_gross_profitability__contrib_growth,0.6606060606060605
ranked_contrib_corr::contrib_gross_profitability__contrib_momentum,-0.6363636363636362
ranked_contrib_corr::contrib_gross_profitability__contrib_news_event,0.38298049251844074
ranked_contrib_corr::contrib_gross_profitability__contrib_forensic,-0.22424242424242422
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_earnings,-0.7818181818181817
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_revision_impulse,0.32121212121212117
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_growth,-0.10303030303030303
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_momentum,-0.6484848484848483
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_news_event,0.7051704306688749
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_forensic,0.11515151515151514
ranked_contrib_corr::contrib_earnings__contrib_revision_impulse,0.09090909090909088
ranked_contrib_corr::contrib_earnings__contrib_growth,-0.10303030303030303
ranked_contrib_corr::contrib_earnings__contrib_momentum,0.5636363636363636
ranked_contrib_corr::contrib_earnings__contrib_news_event,-0.40729671426564323
ranked_contrib_corr::contrib_earnings__contrib_forensic,-0.2727272727272727
ranked_contrib_corr::contrib_revision_impulse__contrib_growth,-0.23636363636363633
ranked_contrib_corr::contrib_revision_impulse__contrib_momentum,-0.006060606060606061
ranked_contrib_corr::contrib_revision_impulse__contrib_news_event,0.04255338805760452
ranked_contrib_corr::contrib_revision_impulse__contrib_forensic,0.07878787878787878
ranked_contrib_corr::contrib_growth__contrib_momentum,-0.41818181818181815
ranked_contrib_corr::contrib_growth__contrib_news_event,-0.0790277206784084
ranked_contrib_corr::contrib_growth__contrib_forensic,-0.28484848484848485
ranked_contrib_corr::contrib_momentum__contrib_news_event,-0.3404271044608362
ranked_contrib_corr::contrib_momentum__contrib_forensic,-0.1515151515151515
ranked_contrib_corr::contrib_news_event__contrib_forensic,-0.2249250511616239
final_life_cycle_share::growth,0.5
