metric,value
stage1_count_after_core_filters,289.0
collected_universe_size,500.0
forensic_gate_beneish_threshold,-1.2
large_universe_forensic_mode,0.0
share_passes_size,0.4186851211072664
share_passes_trend_gate,1.0
share_passes_quality_gate,0.726643598615917
share_passes_forensic_gate,1.0
share_passes_factor_gate,0.9307958477508651
median_factor_non_null_count,3.0
median_factor_positive_count,2.0
share_pead_has_setup_coverage,0.0
share_sue_has_coverage,0.0
share_revision_impulse_has_coverage,0.0
share_revenue_growth_has_coverage,0.0
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,0.0
share_price_momentum_proxy_used,0.0
share_sentiment_has_coverage,0.0
share_news_has_coverage,0.0
share_beneish_is_missing,0.0
share_beneish_is_pathological_clipped,0.0
median_revenue_per_employee,305524.50980392157
median_gross_profit_per_employee,112903.91249418541
median_piotroski_score,5.5
median_beneish_m_score,
median_accrual_volatility,
median_pead_signal,
median_pead_revision_component,
median_sue_signal,
median_sue_surprise_pct,
median_revision_impulse_signal,
median_revision_impulse_analyst_count,
median_revision_impulse_disagreement_penalty,
median_revenue_growth_yoy,
median_revenue_acceleration,
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,0.6
median_revision_signal_confidence,0.7
median_growth_signal_confidence,0.6
median_momentum_signal_confidence,0.0
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-0.0034849247373342565
median_contrib_gross_profitability,-0.10681523951391651
median_contrib_adjusted_book_to_market,-0.028760181893195944
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0
median_contrib_momentum,0.0
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0
final_ranked_count,95.0
median_market_cap,34911051776.0
median_shareholder_yield,0.0137
median_gross_profitability,0.2035158891142664
median_adjusted_book_to_market,0.4761275774428765
median_pead_signal,
median_sue_signal,
median_revision_impulse_signal,
median_revenue_growth_yoy,
median_revenue_acceleration,
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,
median_piotroski_score,6.0
median_revenue_per_employee,440702.11926647474
median_gross_profit_per_employee,163803.4896454097
median_forensic_penalty,
median_beneish_m_score,
median_accrual_volatility,
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,0.6
median_revision_signal_confidence,0.7
median_growth_signal_confidence,0.6
median_momentum_signal_confidence,0.0
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-0.0034849247373342565
median_contrib_gross_profitability,-0.10681523951391651
median_contrib_adjusted_book_to_market,-0.028760181893195944
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0
median_contrib_momentum,0.0
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,0.08016196902052088
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.012035627449517286
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.3695578380103468
sector_share::Industrials,0.30526315789473685
sector_share::Healthcare,0.15789473684210525
sector_share::Technology,0.15789473684210525
sector_share::Consumer Cyclical,0.11578947368421053
sector_share::Consumer Defensive,0.11578947368421053
sector_share::Communication Services,0.05263157894736842
sector_share::Basic Materials,0.042105263157894736
sector_share::Energy,0.031578947368421054
sector_share::Utilities,0.021052631578947368
