metric,value
stage1_count_after_core_filters,374.0
collected_universe_size,1000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.5721925133689839
share_passes_trend_gate,0.4946524064171123
share_passes_quality_gate,0.713903743315508
share_passes_forensic_gate,0.9625668449197861
share_passes_factor_gate,0.9893048128342246
median_factor_non_null_count,3.0
median_factor_positive_count,2.0
share_pead_has_setup_coverage,0.9171122994652406
share_sue_has_coverage,0.9545454545454546
share_revision_impulse_has_coverage,0.9224598930481284
share_revenue_growth_has_coverage,0.0
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,0.0
share_price_momentum_proxy_used,0.0
share_beneish_is_missing,0.11229946524064172
share_beneish_is_pathological_clipped,0.13636363636363635
median_revenue_per_employee,449865.4590237349
median_gross_profit_per_employee,169446.50432900432
median_piotroski_score,5.0
median_beneish_m_score,-2.6550447599450866
median_accrual_volatility,0.01966800070556684
median_pead_signal,-0.0
median_pead_revision_component,-0.018796388958385472
median_sue_signal,0.3189035501934591
median_sue_surprise_pct,4.221
median_revision_impulse_signal,0.09919710458440802
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09514674851333206
median_revenue_growth_yoy,
median_revenue_acceleration,
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,
median_sentiment_article_count_recent,8.0
median_earnings_signal_confidence,
median_revision_signal_confidence,
median_growth_signal_confidence,
median_momentum_signal_confidence,
median_contrib_shareholder_yield,
median_contrib_gross_profitability,
median_contrib_adjusted_book_to_market,
median_contrib_earnings,
median_contrib_revision_impulse,
median_contrib_growth,
median_contrib_momentum,
median_contrib_employee_efficiency,
median_contrib_forensic,
final_ranked_count,34.0
median_market_cap,14041412096.0
median_shareholder_yield,0.007617376135382381
median_gross_profitability,0.2136763106343875
median_adjusted_book_to_market,0.2895352193449393
median_pead_signal,0.00020188460750165667
median_sue_signal,0.674039126096875
median_revision_impulse_signal,0.13498795333285232
median_revenue_growth_yoy,
median_revenue_acceleration,
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,
median_piotroski_score,6.0
median_revenue_per_employee,421474.9373433584
median_gross_profit_per_employee,206301.5218769816
median_forensic_penalty,0.021873513332798925
median_beneish_m_score,-2.5413165909233344
median_accrual_volatility,0.017672989049912123
median_sentiment_article_count_recent,8.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,0.6
median_momentum_signal_confidence,0.0
median_contrib_shareholder_yield,-0.01588124029455059
median_contrib_gross_profitability,0.08523853782715757
median_contrib_adjusted_book_to_market,-0.03514557134144866
median_contrib_earnings,0.0020792962286343237
median_contrib_revision_impulse,-0.006160515038109426
median_contrib_growth,0.0
median_contrib_momentum,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0025701378166038736
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,0.056073338426279595
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.08785332314744079
ranked_contrib_corr::contrib_shareholder_yield__contrib_earnings,-0.010542398777692894
ranked_contrib_corr::contrib_shareholder_yield__contrib_revision_impulse,-0.1865546218487395
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.06799602739685608
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.20091673032849505
ranked_contrib_corr::contrib_gross_profitability__contrib_earnings,0.08815889992360579
ranked_contrib_corr::contrib_gross_profitability__contrib_revision_impulse,0.2595874713521772
ranked_contrib_corr::contrib_gross_profitability__contrib_forensic,-0.4383833766327642
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_earnings,-0.25500381970970204
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_revision_impulse,-0.011153552330022918
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_forensic,0.16456566630654834
ranked_contrib_corr::contrib_earnings__contrib_revision_impulse,0.011153552330022918
ranked_contrib_corr::contrib_earnings__contrib_forensic,0.27290090995682015
ranked_contrib_corr::contrib_revision_impulse__contrib_forensic,-0.34181373772307205
final_life_cycle_share::mature,0.35294117647058826
final_life_cycle_share::growth,0.35294117647058826
final_life_cycle_share::recovery,0.29411764705882354
sector_share::Technology,0.23529411764705882
sector_share::Consumer Cyclical,0.20588235294117646
sector_share::Utilities,0.14705882352941177
sector_share::Industrials,0.14705882352941177
sector_share::Basic Materials,0.08823529411764706
sector_share::Healthcare,0.08823529411764706
sector_share::Communication Services,0.058823529411764705
sector_share::Consumer Defensive,0.029411764705882353
