metric,value
stage1_count_after_core_filters,374.0
collected_universe_size,1000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.5721925133689839
share_passes_trend_gate,0.4946524064171123
share_passes_quality_gate,0.713903743315508
share_passes_forensic_gate,0.9625668449197861
share_passes_factor_gate,0.9893048128342246
median_factor_non_null_count,3.0
median_factor_positive_count,2.0
share_pead_has_setup_coverage,0.9171122994652406
share_sue_has_coverage,0.9545454545454546
share_revision_impulse_has_coverage,0.9224598930481284
share_revenue_growth_has_coverage,0.983957219251337
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_beneish_is_missing,0.11229946524064172
share_beneish_is_pathological_clipped,0.13636363636363635
median_revenue_per_employee,449865.4590237349
median_gross_profit_per_employee,169446.50432900432
median_piotroski_score,5.0
median_beneish_m_score,-2.6550447599450866
median_accrual_volatility,0.01966800070556684
median_pead_signal,-0.0
median_pead_revision_component,-0.018796388958385472
median_sue_signal,0.3189035501934591
median_sue_surprise_pct,4.221
median_revision_impulse_signal,0.09919710458440802
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09514674851333206
median_revenue_growth_yoy,0.06072213729417952
median_revenue_acceleration,0.0
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.06768199167921275
median_sentiment_article_count_recent,8.0
median_earnings_signal_confidence,
median_revision_signal_confidence,
median_growth_signal_confidence,
median_momentum_signal_confidence,
median_contrib_shareholder_yield,
median_contrib_gross_profitability,
median_contrib_adjusted_book_to_market,
median_contrib_earnings,
median_contrib_revision_impulse,
median_contrib_growth,
median_contrib_momentum,
median_contrib_employee_efficiency,
median_contrib_forensic,
final_ranked_count,34.0
median_market_cap,14041412096.0
median_shareholder_yield,0.007617376135382381
median_gross_profitability,0.2136763106343875
median_adjusted_book_to_market,0.2895352193449393
median_pead_signal,0.00020188460750165667
median_sue_signal,0.674039126096875
median_revision_impulse_signal,0.13498795333285232
median_revenue_growth_yoy,0.13253751387321344
median_revenue_acceleration,0.010897527550281172
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.028435521573227894
median_piotroski_score,6.0
median_revenue_per_employee,421474.9373433584
median_gross_profit_per_employee,206301.5218769816
median_forensic_penalty,0.02187351333279893
median_beneish_m_score,-2.5413165909233344
median_accrual_volatility,0.017672989049912123
median_sentiment_article_count_recent,8.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_contrib_shareholder_yield,-0.012187928598143483
median_contrib_gross_profitability,0.06541562205339994
median_contrib_adjusted_book_to_market,-0.026221224055212985
median_contrib_earnings,0.001820561124585982
median_contrib_revision_impulse,-0.006160515038109426
median_contrib_growth,0.01669630061628104
median_contrib_momentum,-0.03471451535981315
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0025701378166038745
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,0.08113063407181054
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.08143621084797555
ranked_contrib_corr::contrib_shareholder_yield__contrib_earnings,-0.014514896867838044
ranked_contrib_corr::contrib_shareholder_yield__contrib_revision_impulse,-0.199694423223835
ranked_contrib_corr::contrib_shareholder_yield__contrib_growth,-0.026432391138273486
ranked_contrib_corr::contrib_shareholder_yield__contrib_momentum,-0.3912910618792972
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.06264802524204717
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.18533231474407943
ranked_contrib_corr::contrib_gross_profitability__contrib_earnings,0.08968678380443086
ranked_contrib_corr::contrib_gross_profitability__contrib_revision_impulse,0.2623376623376623
ranked_contrib_corr::contrib_gross_profitability__contrib_growth,0.39618029029793733
ranked_contrib_corr::contrib_gross_profitability__contrib_momentum,0.09793735676088618
ranked_contrib_corr::contrib_gross_profitability__contrib_forensic,-0.42906257287724014
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_earnings,-0.27700534759358286
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_revision_impulse,0.0007639419404125285
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_growth,-0.3268143621084797
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_momentum,-0.39801375095492736
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_forensic,0.1679272676609996
ranked_contrib_corr::contrib_earnings__contrib_revision_impulse,0.006875477463712757
ranked_contrib_corr::contrib_earnings__contrib_growth,-0.008097784568372804
ranked_contrib_corr::contrib_earnings__contrib_momentum,-0.13766233766233765
ranked_contrib_corr::contrib_earnings__contrib_forensic,0.2707617090948966
ranked_contrib_corr::contrib_revision_impulse__contrib_growth,-0.11138273491214666
ranked_contrib_corr::contrib_revision_impulse__contrib_momentum,0.14224598930481283
ranked_contrib_corr::contrib_revision_impulse__contrib_forensic,-0.35357934246365164
ranked_contrib_corr::contrib_growth__contrib_momentum,0.19999999999999998
ranked_contrib_corr::contrib_growth__contrib_forensic,-0.04079761643811365
ranked_contrib_corr::contrib_momentum__contrib_forensic,-0.05286882130182517
final_life_cycle_share::mature,0.5
final_life_cycle_share::recovery,0.2647058823529412
final_life_cycle_share::growth,0.23529411764705882
sector_share::Technology,0.23529411764705882
sector_share::Consumer Cyclical,0.20588235294117646
sector_share::Industrials,0.14705882352941177
sector_share::Utilities,0.14705882352941177
sector_share::Healthcare,0.08823529411764706
sector_share::Basic Materials,0.08823529411764706
sector_share::Communication Services,0.058823529411764705
sector_share::Consumer Defensive,0.029411764705882353
