metric,value
stage1_count_after_core_filters,35.0
collected_universe_size,500.0
forensic_gate_beneish_threshold,-1.2
large_universe_forensic_mode,0.0
share_passes_size,0.9714285714285714
share_passes_trend_gate,1.0
share_passes_quality_gate,0.8285714285714286
share_passes_forensic_gate,1.0
share_passes_factor_gate,1.0
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,1.0
share_sue_has_coverage,1.0
share_revision_impulse_has_coverage,1.0
share_revenue_growth_has_coverage,1.0
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.0
share_news_has_coverage,0.0
share_beneish_is_missing,0.05714285714285714
share_beneish_is_pathological_clipped,0.05714285714285714
median_revenue_per_employee,705245.283018868
median_gross_profit_per_employee,258103.44827586206
median_piotroski_score,6.0
median_beneish_m_score,-2.6960286012891403
median_accrual_volatility,0.014364245048858075
median_pead_signal,-0.0
median_pead_revision_component,-0.01991342221985431
median_sue_signal,0.7200072798888013
median_sue_surprise_pct,4.4444
median_revision_impulse_signal,0.08035140287447229
median_revision_impulse_analyst_count,28.0
median_revision_impulse_disagreement_penalty,0.139865299989267
median_revenue_growth_yoy,0.0625
median_revenue_acceleration,0.00190490893000006
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.05788459689392112
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.01447925834243935
median_contrib_gross_profitability,0.009059521264367593
median_contrib_adjusted_book_to_market,-0.10664487969231087
median_contrib_earnings,-0.007010398165858246
median_contrib_revision_impulse,0.002079213224179607
median_contrib_growth,-0.011614490303166997
median_contrib_momentum,0.03038086734076561
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.012459675341619226
life_cycle_share::unknown,0.6285714285714286
life_cycle_share::mature,0.17142857142857143
life_cycle_share::growth,0.14285714285714285
life_cycle_share::recovery,0.05714285714285714
final_ranked_count,13.0
median_market_cap,306802491392.0
median_shareholder_yield,0.01848049281314168
median_gross_profitability,0.287208939940341
median_adjusted_book_to_market,0.15821886826158718
median_pead_signal,0.0
median_sue_signal,1.224744871391586
median_revision_impulse_signal,0.08035140287447229
median_revenue_growth_yoy,0.12088461923346339
median_revenue_acceleration,0.012808571604228325
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.03414527834287959
median_piotroski_score,7.0
median_revenue_per_employee,705245.283018868
median_gross_profit_per_employee,426798.1438515081
median_forensic_penalty,0.12038333663400219
median_beneish_m_score,-2.5961952069658367
median_accrual_volatility,0.01381646703486328
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.01447925834243935
median_contrib_gross_profitability,0.009059521264367593
median_contrib_adjusted_book_to_market,-0.10664487969231087
median_contrib_earnings,-0.007010398165858246
median_contrib_revision_impulse,0.002079213224179607
median_contrib_growth,-0.011614490303166997
median_contrib_momentum,0.03038086734076561
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.012459675341619226
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,0.43956043956043955
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.054945054945054944
ranked_contrib_corr::contrib_shareholder_yield__contrib_earnings,0.16483516483516483
ranked_contrib_corr::contrib_shareholder_yield__contrib_revision_impulse,0.19230769230769232
ranked_contrib_corr::contrib_shareholder_yield__contrib_growth,0.23626373626373626
ranked_contrib_corr::contrib_shareholder_yield__contrib_momentum,-0.06593406593406594
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.23626373626373626
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.34065934065934067
ranked_contrib_corr::contrib_gross_profitability__contrib_earnings,0.3021978021978022
ranked_contrib_corr::contrib_gross_profitability__contrib_revision_impulse,-0.1758241758241758
