metric,value
stage1_count_after_core_filters,4774.0
collected_universe_size,4774.0
alpha_factor_spec,legacy
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
structural_hard_exclusions,0.9407205697528278
soft_penalty_candidates,0.9888981985756179
share_passes_size,1.0
share_passes_factor_gate,0.05927943024717218
share_passes_biotech_gate,1.0
median_factor_non_null_count,0.0
median_factor_positive_count,0.0
share_core_factor_imputed_count,0.0
share_core_factor_imputation_flag,0.0
share_imputed_shareholder_yield,0.0
share_imputed_gross_profitability,0.0
share_imputed_adjusted_book_to_market,0.0
share_binary_biotech_flag,0.022203602848764138
share_penalty_trend,0.0
share_penalty_quality,0.0
share_penalty_forensic_uncertainty,0.0
share_penalty_core_missing,0.4377775450356097
share_penalty_momentum_coverage,0.0
share_pead_has_setup_coverage,0.010473397570171765
share_sue_has_coverage,0.010473397570171765
share_revision_impulse_has_coverage,0.010473397570171765
share_revision_jerk_has_coverage,0.010473397570171765
share_estimate_term_structure_has_coverage,0.0
share_revenue_growth_has_coverage,0.0
share_residual_value_has_coverage,0.0
share_compounder_persistence_has_coverage,0.0
share_peer_relative_anomaly_has_coverage,0.0
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,0.0
share_price_momentum_proxy_used,0.0
share_sentiment_has_coverage,0.0
share_news_has_coverage,0.0
share_news_shock_has_coverage,0.0
share_capital_allocation_quality_has_coverage,0.0
share_recovery_transition_has_coverage,0.0
share_investment_restraint_has_coverage,0.0
share_accrual_quality_has_coverage,0.0
share_quality_acceleration_has_coverage,0.0
share_insider_conviction_has_coverage,0.0
share_news_theme_drift_has_coverage,0.0
share_working_capital_stress_has_coverage,0.0
share_beneish_is_missing,0.04901550062840385
share_beneish_is_pathological_clipped,0.0
share_intangible_adjustment_eligible,0.023250942605781314
share_intangible_adjustment_applied,0.009844993715961458
median_revenue_per_employee,
median_gross_profit_per_employee,
median_piotroski_score,
median_beneish_m_score,
median_accrual_volatility,0.021015203219664824
median_earnings_momentum_signal,0.0
median_earnings_momentum_coverage,0.0
median_pead_signal,0.05926664009565563
median_pead_revision_component,-0.02000448327565942
median_sue_signal,0.05926664009565563
median_sue_surprise_pct,5.926664009565563
median_revision_impulse_signal,-0.02000448327565942
median_revision_jerk_signal,-0.027538310981420015
median_revision_jerk_persistence_days,0.0
median_revision_jerk_persistence_pass,0.0
median_revision_impulse_analyst_count,0.0
median_revision_impulse_disagreement_penalty,1.0
median_revision_short_divergence_component,
median_revision_breadth_7d,
median_revision_breadth_30d,
median_revision_breadth_acceleration,
median_float_absorption_signal,
median_squeeze_convexity_signal,
median_short_interest_shares,
median_short_interest_shares_prev,
median_short_interest_ratio,
median_short_interest_pct_float,
median_short_interest_pct_outstanding,
median_short_interest_change,
median_estimate_term_structure_signal,
median_estimate_term_structure_record_count,
median_estimate_term_structure_disagreement_trend,
median_estimate_term_structure_overlap_penalty,0.0
median_revenue_growth_yoy,0.0
median_revenue_acceleration,-0.08566762523520431
median_percent_institutions,
median_institution_holder_count_latest,
median_institution_holder_count_prev,
median_institutional_breadth_delta,
median_institutional_ownership_from_holders,
median_institutional_ownership_delta,
median_institutional_top5_concentration_delta,
median_share_drift_1q,
median_share_drift_4q,
median_share_drift_persistence,
median_receivables_days,10.154412611713207
median_receivables_days_prev,66.54276971044199
median_receivables_days_delta,-0.587259902906677
median_inventory_days,36.37642429587912
median_inventory_days_prev,31.426627513052185
median_inventory_days_delta,-8.665809221595026
median_payables_days,20.888676843053133
median_payables_days_prev,50.79671184181293
median_payables_days_delta,5.4580644159389795
median_cash_conversion_cycle_days,2.6629276953813843
median_cash_conversion_cycle_days_prev,34.929184963159
median_cash_conversion_cycle_days_delta,-14.711133540440684
median_cash_conversion_cycle_convexity,
median_residual_value_signal,
median_compounder_persistence_signal,
median_compounder_persistence_measure_count,
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_baseline_signal,
median_news_baseline_article_count,
median_news_article_volume_spike,
median_news_novelty_score,
median_news_saturation_score,
median_news_shock_signal,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_news_theme_drift_signal,
median_news_theme_drift_recent_intensity,
median_news_theme_drift_baseline_intensity,
median_capital_allocation_quality_signal,
median_investment_restraint_signal,
median_investment_restraint_measure_count,
median_accrual_quality_signal,
median_accrual_quality_measure_count,
median_quality_acceleration_signal,
median_quality_acceleration_measure_count,
median_peer_ownership_breadth_input,
median_recovery_margin_inflection,
median_recovery_leverage_improvement,
median_recovery_transition_signal,
median_insider_conviction_signal,
median_insider_ownership_confirmation_component,
median_insider_short_crowding_penalty,
median_working_capital_stress_penalty,
median_working_capital_cycle_stress,
median_accrual_quality_cycle_convexity,
median_financing_dependency_stress,
median_financing_dependency_burn_component,
median_financing_dependency_dilution_component,
median_financing_dependency_debt_component,
median_financing_dependency_revision_component,
median_capital_allocation_financing_dependency_component,
median_earnings_signal_confidence,0.0
median_revision_signal_confidence,0.0
median_revision_jerk_signal_confidence,0.0
median_estimate_term_structure_signal_confidence,0.0
median_growth_signal_confidence,0.0
median_momentum_signal_confidence,0.0
median_news_signal_confidence,0.0
median_news_shock_signal_confidence,0.0
median_capital_allocation_signal_confidence,0.0
median_residual_value_signal_confidence,0.0
median_compounder_persistence_signal_confidence,0.0
median_recovery_transition_signal_confidence,0.0
median_investment_restraint_signal_confidence,0.0
median_accrual_quality_signal_confidence,0.0
median_quality_acceleration_signal_confidence,0.0
median_insider_conviction_signal_confidence,0.0
median_news_theme_drift_signal_confidence,0.0
median_technical_momentum_signal_confidence,0.0
median_effective_core_share,1.0
median_effective_optional_share,0.0
median_contrib_shareholder_yield,-0.0598962017421856
median_contrib_gross_profitability,0.0
median_contrib_adjusted_book_to_market,0.0
median_contrib_residual_value,0.0
median_contrib_compounder_persistence,0.0
median_contrib_earnings,-0.0
median_contrib_revision_impulse,0.0
median_contrib_revision_jerk,0.0
median_contrib_estimate_term_structure,0.0
median_contrib_growth,0.0
median_contrib_momentum,0.0
median_contrib_news_event,0.0
median_contrib_news_shock,0.0
median_contrib_capital_allocation,0.0
median_contrib_recovery_transition,0.0
median_contrib_investment_restraint,0.0
median_contrib_accrual_quality,0.0
median_contrib_quality_acceleration,0.0
median_contrib_insider_conviction,0.0
median_contrib_news_theme_drift,0.0
median_contrib_technical_momentum,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.0
final_ranked_count,283.0
median_market_cap,121939448400.0
median_shareholder_yield,0.018987341772151896
median_gross_profitability,0.2706180963486159
median_adjusted_book_to_market,0.12207233624275068
median_earnings_momentum_signal,0.0
median_earnings_momentum_coverage,0.0
median_pead_signal,0.05926664009565563
median_sue_signal,0.05926664009565563
median_revision_impulse_signal,-0.02000448327565942
median_revision_jerk_signal,-0.027538310981420015
median_revision_short_divergence_component,
median_revision_breadth_7d,
median_revision_breadth_30d,
median_revision_breadth_acceleration,
median_float_absorption_signal,
median_squeeze_convexity_signal,
median_estimate_term_structure_signal,
median_estimate_term_structure_overlap_penalty,0.0
median_revenue_growth_yoy,0.0
median_revenue_acceleration,-0.08566762523520431
median_short_interest_ratio,
median_short_interest_pct_float,
median_short_interest_change,
median_percent_institutions,
median_institutional_breadth_delta,
median_institutional_ownership_delta,
median_institutional_top5_concentration_delta,
median_share_drift_1q,
median_share_drift_4q,
median_share_drift_persistence,
median_receivables_days,10.154412611713207
median_receivables_days_delta,-0.587259902906677
median_inventory_days,36.37642429587912
median_inventory_days_delta,-8.665809221595026
median_payables_days,20.888676843053133
