rank,symbol,analysis_symbol,company_name,sector,industry,valuation_symbol,valuation_currency_code,current_price,fair_value_low,fair_value_base,fair_value_high,upside_to_base,expected_3y_cagr,valuation_confidence,valuation_confidence_label,valuation_method,valuation_reason_code,normalized_eps_per_share,normalized_fcf_per_share,current_anchor_multiple,target_multiple_low,target_multiple_base,target_multiple_high,expected_growth_rate,shareholder_yield_component,multiple_reversion_component
1,CNC.US,CNC.US,Centene Corp,Healthcare,Healthcare Plans,CNC.US,USD,37.35328028737189,75.30911838260103,89.91322849878583,105.4466878213769,1.407103949293123,0.5174747121926573,0.8925927944727478,high,blended_fcf_eps,blended_high,1.484238774497781,7.449566981108926,7.997249243005432,16.53080070817153,18.932411169527214,21.334021630882905,0.07172912752054694,0.062383530885318006,0.3327696635156341
2,EME.US,EME.US,EMCOR Group Inc,Industrials,Engineering & Construction,EME.US,USD,797.3513026569888,310.79759848119363,362.20694280001135,416.39762049703637,-0.5457373160449597,-0.11481221879386039,0.9549341410839798,high,blended_fcf_eps,cyclical_normalized,18.05363089472743,21.204139007937272,40.39657848315285,16.27355179919667,18.310946029773138,20.34834026034961,0.10893856379699626,0.039136318578020864,-0.23183343554207947
3,RNG.US,RNG.US,Ringcentral Inc,Technology,Software - Application,RNG.US,USD,32.601470048545345,65.57406815145858,81.24058896385847,98.13044884107909,1.4919302363631721,0.5023590769487465,0.7989423811625582,high,normalized_fcf_multiple,fcf_anchor,-1.6715925004546888,3.712949306908011,8.780478092682198,18.59250275691328,21.880338848879205,25.16817494084513,0.06035559423957029,0.04506568233633701,0.3557469203167689
4,SNX.US,SNX.US,Synnex Corporation,Technology,Electronics & Computer Distribution,SNX.US,USD,195.32068926361762,185.26867867632873,212.90683071547025,241.88627800607446,0.09003726905815501,0.08578104530227737,0.991533363346351,high,blended_fcf_eps,blended_high,7.7811782354916765,12.574505507037024,18.995612890673765,18.382622323230976,20.47328587932512,22.56394943541926,0.008858207011787928,0.04970527051261148,0.0252853377685045
5,INCY.US,INCY.US,Incyte Corporation,Healthcare,Biotechnology,INCY.US,USD,95.26318429496762,51.08618802811401,60.878389442480014,71.28649479644992,-0.36094526030140284,-0.00925946638931241,0.8974084575277539,high,blended_fcf_eps,blended_high,2.9855597993222736,3.24003265647405,30.520723151634417,17.03598223780741,19.484120822249963,21.932259406692523,0.09929054679468569,0.04669168289554937,-0.13894941757647472
6,JBL.US,JBL.US,Jabil Circuit Inc,Technology,Electronic Components,JBL.US,USD,285.17386156898107,124.84471970348066,144.07812275671478,164.27736638321085,-0.49477093740632494,-0.1263958340694593,0.9804437964899404,high,blended_fcf_eps,blended_high,6.751939105636905,6.311531397537367,43.76379166991972,19.82166324018298,22.14436462833461,24.46706601648624,-0.011360170689610375,0.10890370072405466,-0.2031386540317841
7,ALGN.US,ALGN.US,Align Technology Inc,Healthcare,Medical Instruments & Supplies,ALGN.US,USD,170.82458059183335,111.26349273378135,130.52944229208163,150.888205072917,-0.23588606604591966,-0.0388960315234721,0.937758351752126,high,blended_fcf_eps,blended_high,5.731510530114663,7.375569431627614,25.843928130222736,17.410914364364952,19.685815291190757,21.96071621801656,0.019678038330085617,0.03206965983491794,-0.08673188838363777
8,IRDM.US,IRDM.US,Iridium Communications Inc,Communication Services,Telecom Services,IRDM.US,USD,33.52796179418938,18.06909444599937,23.99270039974275,30.536791922789337,-0.28439728764243455,0.03656637420105202,0.6290779356658204,medium,blended_fcf_eps,blended_medium,0.6147391437932698,2.3594813051210926,21.416384133034338,12.148804500990167,15.049255227697241,17.949705954404315,0.04353050313663887,0.11729798317082944,-0.11095661839226456
9,WTS.US,WTS.US,Watts Water Technologies Inc,Industrials,Specialty Industrial Machinery,WTS.US,USD,301.67079737313435,132.36156345622507,154.58777176851098,178.0353866596003,-0.4875613645251101,-0.14967312537080346,0.9493491396888389,high,blended_fcf_eps,cyclical_normalized,8.405476227165899,8.766640381111719,35.08399951666126,15.943628567050105,17.967946166544593,19.99226376603908,0.055528062091458434,0.0069,-0.19992669436221056
10,HTHT.US,HTHT.US,Huazhu Group Ltd,Consumer Cyclical,Lodging,HTHT.US,USD,49.719638539747876,123.1877885981428,173.92346945613426,231.14929445392903,2.498083947595332,0.8171738615103226,0.4846550776993534,low,blended_fcf_eps,recovery_wide_band,8.853963793145105,16.887950181335146,3.7572451502518143,10.019432058377035,12.992612536569098,15.96579301476116,0.14488980664064544,0.049599965225985296,0.5121991335260709
11,MSM.US,MSM.US,MSC Industrial Direct Company Inc,Industrials,Industrial Distribution,MSM.US,USD,95.37804100619029,75.27269487917476,87.00563971575843,99.33510045930527,-0.08778122513428921,0.028405416752212087,0.9763407906045638,high,blended_fcf_eps,cyclical_normalized,4.752840911984322,5.08586006360278,19.34229358398725,15.760579028737954,17.627603130152146,19.49462723156634,0.013988203859504073,0.046091536294537674,-0.030468855842635145
12,NEM.US,NEM.US,Newmont Goldcorp Corp,Basic Materials,Gold,NEM.US,USD,118.70396534296029,28.23441283371747,35.674848403970586,43.75297188944467,-0.6994637179903925,-0.19969775250403277,0.75,high,blended_fcf_eps,cyclical_normalized,1.9245343127661394,2.7966307394039527,49.192438993619945,12.307120304984087,14.695069020876524,17.08301773676896,0.14734526990648328,0.043443205574912935,-0.33151588529239395
13,FDX.US,FDX.US,FedEx Corporation,Industrials,Integrated Freight & Logistics,FDX.US,USD,367.31690772016464,215.83268578269184,247.92668312366231,281.57287677290833,-0.32503329437657724,-0.09068098911460498,0.9926288497761471,high,blended_fcf_eps,cyclical_normalized,16.536686255639452,12.091818618806016,25.947310371394842,15.800085649571557,17.591670400972305,19.383255152373057,-0.011727170102986382,0.047372509960159334,-0.12150712351023851
