rank,symbol,analysis_symbol,company_name,sector,industry,valuation_symbol,valuation_currency_code,current_price,current_price_source,current_price_as_of_date,current_price_proxy,price_proxy_gap_pct,price_history_fetch_error,fair_value_low,fair_value_base,fair_value_high,upside_to_base,expected_3y_cagr,valuation_confidence,valuation_confidence_label,valuation_method,valuation_reason_code,normalized_eps_per_share,normalized_fcf_per_share,current_anchor_multiple,target_multiple_low,target_multiple_base,target_multiple_high,expected_growth_rate,shareholder_yield_component,multiple_reversion_component
1,CNC.US,CNC.US,Centene Corp,Healthcare,Healthcare Plans,CNC.US,USD,37.35328028737189,price_proxy,,37.35328028737189,0.0,RuntimeError: /eod/CNC.US failed with HTTP 403: Forbidden,61.41111841867739,89.91322849878583,122.44720931348544,1.407103949293123,0.5174747121926573,0.4016667575127365,low,blended_fcf_eps,blended_low,1.484238774497781,7.449566981108926,7.997249243005432,14.207197311783167,18.932411169527214,23.657625027271266,0.07172912752054694,0.062383530885318006,0.3327696635156341
2,EME.US,EME.US,EMCOR Group Inc,Industrials,Engineering & Construction,EME.US,USD,797.3513026569888,price_proxy,,797.3513026569888,0.0,RuntimeError: /eod/EME.US failed with HTTP 403: Forbidden,250.47062580021498,362.20694280001135,489.2359015057503,-0.5457373160449597,-0.11481221879386039,0.4297203634877909,low,blended_fcf_eps,cyclical_normalized,18.05363089472743,21.204139007937272,40.39657848315285,13.8692615152824,18.310946029773138,22.752630544263877,0.10893856379699626,0.039136318578020864,-0.23183343554207947
3,RNG.US,RNG.US,Ringcentral Inc,Technology,Software - Application,RNG.US,USD,32.601470048545345,price_proxy,,32.601470048545345,0.0,RuntimeError: /eod/RNG.US failed with HTTP 403: Forbidden,54.45532217968613,81.24058896385847,112.00072446293265,1.4919302363631721,0.5023590769487465,0.3595240715231512,low,normalized_fcf_multiple,fcf_anchor,-1.6715925004546888,3.712949306908011,8.780478092682198,16.18884737908529,21.880338848879205,27.571830318673122,0.06035559423957029,0.04506568233633701,0.3557469203167689
4,SNX.US,SNX.US,Synnex Corporation,Technology,Electronics & Computer Distribution,SNX.US,USD,195.32068926361762,price_proxy,,195.32068926361762,0.0,RuntimeError: /eod/SNX.US failed with HTTP 403: Forbidden,148.29510421306435,212.90683071547025,286.1878305292183,0.09003726905815501,0.08578104530227737,0.44619001350585796,low,blended_fcf_eps,blended_low,7.7811782354916765,12.574505507037024,18.995612890673765,15.591379747312669,20.47328587932512,25.355192011337568,0.008858207011787928,0.04970527051261148,0.0252853377685045
5,INCY.US,INCY.US,Incyte Corporation,Healthcare,Biotechnology,INCY.US,USD,95.26318429496762,price_proxy,,95.26318429496762,0.0,RuntimeError: /eod/INCY.US failed with HTTP 403: Forbidden,41.62012543253897,60.878389442480014,82.85405310391955,-0.36094526030140284,-0.00925946638931241,0.40383380588748924,low,blended_fcf_eps,blended_low,2.9855597993222736,3.24003265647405,30.520723151634417,14.631765200967696,19.484120822249963,24.33647644353223,0.09929054679468569,0.04669168289554937,-0.13894941757647472
6,JBL.US,JBL.US,Jabil Circuit Inc,Technology,Electronic Components,JBL.US,USD,285.17386156898107,price_proxy,,285.17386156898107,0.0,RuntimeError: /eod/JBL.US failed with HTTP 403: Forbidden,100.13506572995647,144.07812275671478,193.95300555138044,-0.49477093740632494,-0.1263958340694593,0.4411997084204732,low,blended_fcf_eps,blended_low,6.751939105636905,6.311531397537367,43.76379166991972,16.836358812711964,22.14436462833461,27.452370443957257,-0.011360170689610375,0.10890370072405466,-0.2031386540317841
7,ALGN.US,ALGN.US,Align Technology Inc,Healthcare,Medical Instruments & Supplies,ALGN.US,USD,170.82458059183335,price_proxy,,170.82458059183335,0.0,RuntimeError: /eod/ALGN.US failed with HTTP 403: Forbidden,89.95625078629826,130.52944229208163,176.7069168691284,-0.23588606604591966,-0.0388960315234721,0.4219912582884567,low,blended_fcf_eps,blended_low,5.731510530114663,7.375569431627614,25.843928130222736,14.872590430564927,19.685815291190757,24.499040151816594,0.019678038330085617,0.03206965983491794,-0.08673188838363777
8,IRDM.US,IRDM.US,Iridium Communications Inc,Communication Services,Telecom Services,IRDM.US,USD,33.52796179418938,price_proxy,,33.52796179418938,0.0,RuntimeError: /eod/IRDM.US failed with HTTP 403: Forbidden,15.534672767791532,23.99270039974275,33.81328244341119,-0.28439728764243455,0.03656637420105202,0.28308507104961916,low,blended_fcf_eps,blended_low,0.6147391437932698,2.3594813051210926,21.416384133034338,10.847070769347336,15.049255227697241,19.251439686047142,0.04353050313663887,0.11729798317082944,-0.11095661839226456
9,WTS.US,WTS.US,Watts Water Technologies Inc,Industrials,Specialty Industrial Machinery,WTS.US,USD,301.67079737313435,price_proxy,,301.67079737313435,0.0,RuntimeError: /eod/WTS.US failed with HTTP 403: Forbidden,106.78129578640079,154.58777176851098,208.95685972169343,-0.4875613645251101,-0.14967312537080346,0.42720711285997753,low,blended_fcf_eps,cyclical_normalized,8.405476227165899,8.766640381111719,35.08399951666126,13.59817360971224,17.967946166544593,22.33771872337695,0.055528062091458434,0.0069,-0.19992669436221056
10,HTHT.US,HTHT.US,Huazhu Group Ltd,Consumer Cyclical,Lodging,HTHT.US,USD,49.719638539747876,price_proxy,,49.719638539747876,0.0,RuntimeError: /eod/HTHT.US failed with HTTP 403: Forbidden,109.27627415282171,173.92346945613426,249.6905436607644,2.498083947595332,0.8171738615103226,0.21809478496470905,low,blended_fcf_eps,recovery_wide_band,8.853963793145105,16.887950181335146,3.7572451502518143,9.153603408093119,12.992612536569098,16.831621665045077,0.14488980664064544,0.049599965225985296,0.5121991335260709
