metric,value
stage1_count_after_core_filters,729.0
collected_universe_size,2000.0
alpha_factor_spec,v2
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8655692729766804
share_passes_trend_gate,0.5706447187928669
share_passes_quality_gate,0.7325102880658436
share_passes_forensic_gate,1.0
share_passes_factor_gate,0.9931412894375857
share_passes_momentum_gate,1.0
share_passes_biotech_gate,0.9506172839506173
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_binary_biotech_flag,0.04938271604938271
share_pead_has_setup_coverage,0.9300411522633745
share_sue_has_coverage,0.9657064471879286
share_revision_impulse_has_coverage,0.9245541838134431
share_estimate_term_structure_has_coverage,0.934156378600823
share_revenue_growth_has_coverage,0.9835390946502057
share_residual_value_has_coverage,0.0
share_compounder_persistence_has_coverage,0.0
share_peer_relative_anomaly_has_coverage,0.18381344307270234
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,0.0
share_price_momentum_proxy_used,0.0
share_sentiment_has_coverage,0.0
share_news_has_coverage,0.12071330589849108
share_capital_allocation_quality_has_coverage,0.7917695473251027
share_recovery_transition_has_coverage,0.03912208504801097
share_investment_restraint_has_coverage,0.9746227709190672
share_accrual_quality_has_coverage,0.9790809327846365
share_quality_acceleration_has_coverage,0.9932098765432098
share_insider_conviction_has_coverage,0.40843621399176955
share_news_theme_drift_has_coverage,0.864883401920439
share_working_capital_stress_has_coverage,0.9358710562414266
share_analysis_identity_mismatch,0.0
share_analysis_resolution_error,0.0
share_sentiment_fetch_error,0.0
share_news_fetch_error,0.0
share_news_theme_drift_fetch_error,0.0
share_insider_fetch_error,0.0
share_price_history_fetch_error,0.0
share_beneish_is_missing,0.0
share_beneish_is_pathological_clipped,0.0
share_intangible_adjustment_eligible,0.5281207133058985
share_intangible_adjustment_applied,0.5281207133058985
median_revenue_per_employee,457614.5443716498
median_gross_profit_per_employee,178572.36041834272
median_piotroski_score,5.0
median_beneish_m_score,
median_accrual_volatility,
median_pead_signal,0.0
median_pead_revision_component,-0.00034096794143788356
median_sue_signal,0.30461016408907804
median_sue_surprise_pct,4.4712
median_revision_impulse_signal,0.08645588313570736
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09085661510043871
median_estimate_term_structure_signal,-0.03136988639477902
median_estimate_term_structure_record_count,4.0
median_estimate_term_structure_disagreement_trend,0.0
median_revenue_growth_yoy,0.06367913000977521
median_revenue_acceleration,0.0014028237019687584
median_residual_value_signal,
median_compounder_persistence_signal,
median_compounder_persistence_measure_count,0.0
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,
median_sentiment_article_count_recent,
median_news_event_signal,0.490271603954714
median_news_event_effective_signal,0.4945423431144525
median_news_event_breadth,1.0
median_news_article_count_recent,3.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.5897435897435898
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_news_theme_drift_signal,-0.05492915058575482
median_news_theme_drift_recent_intensity,0.1531536803596248
median_news_theme_drift_baseline_intensity,0.17247350364497133
median_capital_allocation_quality_signal,0.16418592931778853
median_investment_restraint_signal,-0.2075923852244701
median_investment_restraint_measure_count,6.0
median_accrual_quality_signal,0.09134383791626183
median_accrual_quality_measure_count,8.0
median_quality_acceleration_signal,0.030636115828686594
median_quality_acceleration_measure_count,6.0
median_recovery_margin_inflection,-0.006036690106066167
median_recovery_leverage_improvement,0.0006982841179700161
median_recovery_transition_signal,-0.07487101942269465
median_insider_conviction_signal,0.009299057582426284
median_working_capital_stress_penalty,0.03839364871913403
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_estimate_term_structure_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.0
median_news_signal_confidence,0.8666666666666667
median_capital_allocation_signal_confidence,0.94
median_residual_value_signal_confidence,0.0
median_compounder_persistence_signal_confidence,0.0
median_recovery_transition_signal_confidence,0.0
median_investment_restraint_signal_confidence,1.0
median_accrual_quality_signal_confidence,1.0
median_quality_acceleration_signal_confidence,1.0
median_insider_conviction_signal_confidence,0.23244826157004256
median_news_theme_drift_signal_confidence,0.8304341575618172
median_effective_core_share,0.5522931373022912
median_effective_optional_share,0.44770686269770865
median_contrib_shareholder_yield,0.007728362880324358
median_contrib_gross_profitability,-0.017640362975849252
median_contrib_adjusted_book_to_market,-0.06022067812640406
median_contrib_residual_value,0.0
median_contrib_compounder_persistence,0.0
median_contrib_earnings,-0.0009541012574340489
median_contrib_revision_impulse,0.0
median_contrib_estimate_term_structure,0.0
median_contrib_growth,-0.0005415046544904276
median_contrib_momentum,0.0
median_contrib_news_event,0.0
median_contrib_capital_allocation,-0.0009044667485061521
median_contrib_recovery_transition,0.0
median_contrib_investment_restraint,0.006682264506959964
median_contrib_accrual_quality,0.004319041291827978
median_contrib_quality_acceleration,-0.0002521370296812755
median_contrib_insider_conviction,0.0
median_contrib_news_theme_drift,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.011764705882352943
life_cycle_share::unknown,0.8106995884773662
life_cycle_share::mature,0.09053497942386832
life_cycle_share::growth,0.05761316872427984
life_cycle_share::recovery,0.0411522633744856
final_ranked_count,138.0
median_market_cap,6923821568.0
median_shareholder_yield,0.01121127646755345
median_gross_profitability,0.21277089065860888
median_adjusted_book_to_market,0.28610615327624433
median_pead_signal,0.0
median_sue_signal,0.7263697673405821
median_revision_impulse_signal,0.12463331609281414
median_estimate_term_structure_signal,0.021297506953262855
median_revenue_growth_yoy,0.09622672543224842
median_revenue_acceleration,0.003983024125317591
median_residual_value_signal,
median_compounder_persistence_signal,
median_peer_relative_anomaly_signal,0.09485904192346829
