symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,listing_exchanges,currency_code,currency_name,company_name,asset_type,country,country_iso,isin,primary_ticker,home_category,international_domestic,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,listing_symbol,analysis_symbol,listing_exchange,listing_currency_code,listing_currency_name,listing_country,listing_country_iso,analysis_exchange,analysis_currency_code,analysis_currency_name,analysis_country,analysis_country_iso,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_news_event_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
RNG.US,,,US,3234925056.0,0.0079,0.0079,0.04506568233633701,0.052965682336337014,1.2090384115616066,-588119000.0,988812200.0,162267100.0,562960300.0,0.17402576265432965,Technology,Software - Application,NYSE,"F,US",USD,US Dollar,Ringcentral Inc,Common Stock,USA,US,US76680R2067,RNG.US,Domestic,Domestic,,87959000.0,36.77764704009823,42.3443,29.8665,0.8685383166116392,-0.13146168338836084,1.2314013038052076,1.0,8.0,2515142000.0,7378.0,340897.53320683114,242767.14556790458,3.5088,2026-02-19,0.0,0.0,0.13943762092275472,0.0,1.0,0.43741894770969386,16.0,1.0,1.0,2.043057867843106,1.0,0.040000000000000036,3.5088,0.019578495856423673,2026-02-19,0.1765610986324637,1.0,14.0,0.0,0.0,0.35714285714285715,0.45,1.0,0.2500138896605368,0.1250069448302684,0.04803974535891897,0.04909940617479647,-0.0010596608158774945,1.0,,,,0.0,0.10439925828745866,1.0,1.0,-4.437832301300082,ok,0.0,0.0,1.0,-0.08812683557438655,0.009716118276838041,8.0,1.0,RNG.US,RNG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9834652527263911,0.005403458790955162,1.4690796900196368e-05,13.0,9.0,22.0,2.0,1.0,0.44633066973651325,0.44633066973651325,1.0,8.0,1.0,0.0,0.6854166666666667,1.0,0.0,0.0,1.0,0.875,1.0,1.0,0.0,0.0,-1.4,0.0,-1.3588735475203848,1.0,1.0,1.0,0.865,0.8666666666666667,0.28335753258388524,0.5982574818516303,-0.10668938827940996,0.009949393531453762,-0.007517986858239531,-0.026635989946922324,-0.011552682082769756,-0.019254161082365107,0.0,0.14064341216835982,True,True,True,True,3,3,True,1.1407583423851242,2.797592563665334,-0.7744654558520898,-0.06840317308231919,0.42480014600475346,-0.12984433261208173,-0.6251470332948601,0.0003591592264288669,-0.1384010552310013,-0.3702723285070213,-2.0,-0.7177470950407695,0.36135189733345063,1.586913113247418,-1.3832102931661225,1.2255612159139673,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,0.8605576118856224,True,1,neutral,sector,neutral
ITRN.US,,,US,1017556672.0,0.1177,0.1177,0.0010053282396702556,0.11870532823967025,0.4623783705406847,217564000.0,55028600.0,16911100.000000004,289503700.0,0.2845086745202925,Technology,Scientific & Technical Instruments,NASDAQ,US,USD,US Dollar,Ituran Location and Control Ltd,Common Stock,USA,US,IL0010818685,ITRN.US,ADR,International/Domestic,,19874000.0,51.200396095401025,51.7472,41.1656,0.9894331692420272,-0.010566830757972823,1.2437665452562583,1.0,7.0,359023000.0,2800.0,128222.5,63777.5,6.6482,2026-03-04,0.02703673142478882,0.02703673142478882,0.2598317807423732,0.6015125180410583,0.3333333333333333,0.5189655172413793,1.0,1.0,1.0,1.2498135454159105,1.0,0.04800000000000004,6.6482,0.03840572873934303,2026-03-04,0.10920490956072351,1.0,1.0,0.09043927648578813,0.09043927648578813,1.0,0.5664,0.25,0.0,0.0,0.1280600364369051,0.10540375423759274,0.022656282199312372,1.0,,,,0.0,0.1547498636512774,1.0,1.0,,missing,1.0,0.0,1.0,-0.043918978839518806,0.015020732862853927,8.0,1.0,ITRN.US,ITRN.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.943,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.06196294556253312,1.0,0.7749999999999999,1.0,0.865,0.0,0.4891814779199483,0.25568314909751183,-0.029091427596396727,0.021797804174292557,-0.034551793353933574,0.01109870446531001,0.018065793194045464,0.0,0.0,0.006413164865722178,True,True,True,True,3,3,True,1.9693771567984124,1.1956344855995127,-0.21117663244845497,0.597415727711857,-0.19023615069043598,-0.769999294755888,-0.04230687112732921,0.2475905719933127,0.21642808342921874,,0.25,-0.37392589112506625,0.05846811246314058,1.5725821405859761,-0.6102227546868167,1.5141140281228356,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7385968727665001,False,2,neutral,sector,neutral
TCMD.US,,,US,559660096.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.5184491481057817,Healthcare,Medical Devices,NASDAQ,US,USD,US Dollar,Tactile Systems Technology Inc,Common Stock,USA,US,US87357P1003,TCMD.US,Domestic,Domestic,,23295328.0,24.024563895387093,37.77,20.3678,0.6360752950857054,-0.3639247049142946,1.1795365181996629,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.0,0.0,0.13402083119301605,0.0,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,-0.010674909890222253,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,TCMD.US,TCMD.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.999,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.6415266894908168,1.0,0.85,1.0,0.865,0.0,0.22059987961104338,0.3889086033907108,0.04866489886428057,-0.032961797860599364,0.0689399690243375,0.036161538071148386,-0.07138409105234583,0.0,0.0,0.06639801236229954,True,True,True,True,3,3,True,0.888104687744459,1.8186280151882035,0.3532617788023682,-0.4137105406680639,-0.44684992282560376,1.4007918119341156,0.20515566363989446,0.5260583058326195,-0.8551809404575857,,-0.6334557574430327,-0.6495976215386009,0.354540840891565,1.4043930361951418,-0.9814204097547997,1.0498521953035769,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.725327012410875,False,3,neutral,sector,neutral
FDX.US,,,US,86287360000.0,0.016,0.016,0.031872509960159334,0.047872509960159335,0.2167710865372545,28074000000.0,,13348400000.0,41422400000.0,0.4800517711980063,Industrials,Integrated Freight & Logistics,NYSE,US,USD,US Dollar,FedEx Corporation,Common Stock,USA,US,US31428X1063,FDX.US,Domestic,International/Domestic,,243000000.0,355.09201646090537,391.2736,277.4436,0.9075286869875846,-0.0924713130124154,1.2798709952613987,1.0,5.0,87926000000.0,300000.0,293086.6666666667,63316.666666666664,25.5981,2026-03-19,0.0568780976154105,0.0568780976154105,0.771459980851157,0.757858283255199,1.0,0.09728450161529141,23.0,1.0,1.0,2.0687737931332864,1.0,1.0700000000000003,25.5981,0.5172145952116973,2026-03-19,0.2746697405202701,1.0,30.0,0.00037193378682361464,0.028925693902974503,0.6666666666666666,0.5436,1.0,0.2273142795687361,0.11365713978436805,0.08303249097472931,0.06837529020803923,0.014657200766690082,1.0,,,,0.0,0.14955118736556378,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.010189545113476951,0.002918433964184857,8.0,1.0,FDX.US,FDX.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.6427867368110555,0.030185416534610154,0.08488833814466046,27.0,14.0,232.0,1.0,1.0,0.3794985931504125,0.3794985931504125,3.0,32.0,0.78125,0.0625,0.9796875,0.71875,0.0,0.0,1.0,0.96875,1.0,1.0,0.0,0.0,-1.4,0.0,-1.1080229391596899,1.0,1.0,1.0,0.865,1.0,0.2674432631106225,-0.03844052778070933,0.057827634245136775,0.13126793975834514,0.09183561497315317,0.02268440887108181,0.1163054338445591,-0.049440597561105235,0.0,0.11468037420302789,True,True,True,True,3,3,True,1.0766896885574198,-0.1797569406567883,0.4197746921110705,2.0,1.2509047849205028,1.5861073397781205,0.19007062462025548,0.2797845548349372,1.3933383311217358,-0.8240099593517539,,-1.1080229391596899,0.32791818695244446,0.1829076165401513,-0.3147499399549044,0.14501057041229315,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.7141635436641119,True,4,neutral,sector,neutral
BSM.US,,,US,3110690048.0,0.087,0.087,-0.004502324698738125,0.08249767530126187,0.23680659861001502,1125213000.0,,32200800.0,1157413800.0,0.37207622171940674,Energy,Oil & Gas E&P,NYSE,US,USD,US Dollar,Black Stone Minerals LP,Common Stock,USA,US,US09225M1018,BSM.US,Domestic,Domestic,,211729000.0,14.691846879737778,15.49,13.6064,0.9484730070844272,-0.05152699291557283,1.0797747295197684,1.0,5.0,422328000.0,0.0,,,19.2308,2026-02-23,0.05688583079578909,0.05688583079578909,0.6464826501447751,0.5236470614103134,0.6666666666666666,0.2520576131687243,2.0,1.0,1.0,0.5999975190153881,1.0,0.04999999999999999,19.2308,0.08333367791595425,2026-02-23,-0.095953125,1.0,2.0,-0.11250000000000002,-0.11250000000000002,-1.0,0.424,0.5,0.08333333333333341,0.041666666666666706,-0.08736840086678044,-0.24505480660199064,0.1576864057352102,1.0,,,,0.0,0.03381912666739896,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,0.00546982387121086,0.023344465017222555,8.0,1.0,BSM.US,BSM.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9363289473684211,0.015034829721362275,0.06474071207430332,4.0,5.0,5.0,1.0,1.0,0.5029558802146202,0.5029558802146202,1.0,3.0,1.0,0.0,0.7666666666666667,0.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,0.16558090319160224,1.0,0.85,1.0,0.865,0.8666666666666667,0.4180913668925314,0.40865739727033096,-0.05150334771329579,0.07657595097073462,-0.08615678083835426,0.011541433201551168,-0.08596854027071699,-0.007095571163477538,0.0,-0.017137623480330832,True,True,True,True,3,3,True,1.6831781753345876,1.910978015940366,-0.3738662701882248,1.7928921867298468,-0.2095471217160582,-1.7506203563619682,-0.878648843682686,0.9403660019011119,-1.0299025459967892,-0.13645329160533728,,0.16558090319160224,-0.4853984637035514,0.9457306727496895,-0.049420620532135584,0.9951512932818251,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,0.6670042848689728,True,5,neutral,sector,neutral
OGS.US,,,US,5573369856.0,0.0306,0.0306,-0.06101730577034359,-0.03041730577034359,0.1531362040308113,3440123000.0,,376040000.0,3816163000.0,0.684713754622209,Utilities,Utilities - Regulated Gas,NYSE,"F,US",USD,US Dollar,One Gas Inc,Common Stock,USA,US,US68235P1084,OGS.US,Domestic,Domestic,,60513000.0,92.10202528382331,89.04,79.0908,1.0343893225946013,0.03438932259460126,1.1645099718781868,1.0,7.0,2427428000.0,4000.0,606857.0,357128.75,0.7092,2026-02-25,0.0010939613727484472,0.0010939613727484472,0.028360392794912582,0.540029869446153,1.0,0.07142857142857142,7.0,1.0,1.0,0.2006836898274336,1.0,0.010000000000000009,0.7092,0.04982965984230674,2026-02-25,0.13051957399453706,1.0,6.0,0.0,0.009711080282284864,0.3333333333333333,0.1892,1.0,0.03820093692824245,0.019100468464121226,0.0930215965359289,0.11376976362963354,-0.02074816709370464,1.0,,,,0.0,0.11896774462893188,1.0,1.0,-2.527270049322791,ok,0.0,0.0,1.0,0.0048552462901013446,0.008317464768256708,8.0,1.0,OGS.US,OGS.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9957297363281251,0.0010900878906250355,0.0009699707031249893,8.0,5.0,8.0,1.0,1.0,0.7242986070115457,0.7242986070115457,1.0,4.0,1.0,0.0,0.7666666666666667,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.23391452281325145,1.0,1.0,1.0,0.865,0.8666666666666667,-0.4035534042341407,0.3815782993381988,0.257694688913152,0.09265253884005284,0.058393986400211755,0.015489318463073646,0.13843007862326845,0.0691215993202539,0.0,0.027484956430557046,True,True,True,True,3,2,True,-1.7287367062858239,1.9384197144439859,1.518428170678313,2.0,0.17303215205660408,1.066556829227612,0.29057468568276146,0.03435753144310991,1.4256995365245149,1.3292615253894982,0.34057246461892215,-0.8084015102454251,0.031247145331763607,-0.6159041738511573,0.6682641067060113,0.6370169613742477,recovery,0.35,0.38906387803956155,0.3280836588131536,0.28285246314728485,0.9125,1.035,1.1225,0.9125,1.175,0.8666666666666667,True,0.6372920620946277,True,6,neutral,sector,neutral
IRDM.US,,,US,3448879104.0,0.0183,0.0183,0.09979798317082944,0.11809798317082944,0.26632935718521744,462600000.0,63521200.0,95320300.0,621441500.0,0.180186513142561,Communication Services,Telecom Services,NASDAQ,US,USD,US Dollar,Iridium Communications Inc,Common Stock,USA,US,US46269C1027,IRDM.US,Domestic Primary,Domestic,,107837000.0,31.98233541363354,32.94,22.0474,0.9709270010210547,-0.02907299897894533,1.4506170983260402,1.0,8.0,871659000.0,975.0,894009.2307692308,691366.1538461539,14.6723,2026-02-12,0.0,0.0,0.5276566206294347,0.0,1.0,0.10278810408921935,5.0,1.0,1.0,0.39456953309501425,1.0,0.03470000000000001,14.6723,0.08794394166171994,2026-02-12,0.055935335207738496,1.0,3.0,-0.017786259541984636,-0.07251908396946563,0.0,0.4408,0.75,0.29770992366412224,0.14885496183206112,-0.00023944673718612197,0.06656922230943119,-0.06680866904661731,1.0,,,,0.0,0.28272556426929535,1.0,1.0,-3.238457575908721,ok,0.0,0.0,1.0,-0.03293177129311577,0.00924004058477817,8.0,1.0,IRDM.US,IRDM.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.8524848650275286,0.05084976664195573,0.21828213904417026,10.0,13.0,19.0,3.0,1.0,0.41247068391834685,0.41247068391834685,3.0,12.0,0.75,0.0,0.9458333333333333,0.8333333333333334,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,0.0,0.0,-1.4,0.0,-1.0472996594612813,1.0,0.925,1.0,0.865,1.0,0.47145595886060754,0.1150793339255797,-0.1664056497318508,0.018992215966628395,0.009476296563655326,-0.04761690710458649,0.166945,-0.04244854544273989,0.0,0.10839551475424261,True,True,True,True,3,3,True,1.8980166619646872,0.5381380067748236,-1.207949820074212,0.32563567676353555,0.1265793853284141,0.17693687277515432,-0.4769913780950773,-0.5234672529826363,2.0,-0.7074757573789983,-1.345995014071877,-0.7486043048506859,-0.46641758391645527,1.2066090534098837,-0.41667898120365576,1.6232880346135394,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.6338732177915364,True,7,neutral,sector,neutral
OMAB.US,,,US,5634694656.0,0.0421,0.0421,0.0,0.0421,0.39003333530397494,11260185000.0,,608233400.0,11868418400.0,2.106310833961896,Industrials,Airports & Air Services,NASDAQ,US,USD,US Dollar,Grupo Aeroportuario del Centro Norte SAB de CV,Common Stock,USA,US,US4005011022,OMAB.US,ADR,International/Domestic,,48271125.0,116.73012916106678,134.99,109.0773,0.8647316776136512,-0.13526832238634878,1.0701596863973237,1.0,6.0,15964414000.0,1181.0,13517708.721422523,10217311.600338696,-13.4734,2025-12-31,-0.0,-0.0,-0.49218213580148285,0.0,1.0,0.12556608045890258,4.0,1.0,1.0,-0.018650199314428035,1.0,-0.2180000000000002,-13.4734,11.688883122624464,2025-12-31,-0.0022084043399127106,1.0,2.0,-0.016195183510358598,-0.035229782311494276,-0.5,0.5332,0.5,0.06120517404564105,0.030602587022820524,-0.000414082699896956,0.06105317510213526,-0.061467257802032216,1.0,,,,0.0,-0.0017401166769616463,1.0,1.0,-3.051394543158291,ok,0.0,0.0,1.0,-0.020219283338288523,0.009935699948501662,8.0,1.0,OMAB.US,OMAB.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.9924999999999999,-0.0015000000000000568,,2.0,2.0,2.0,1.0,1.0,0.34685,0.34685,2.0,1.0,1.0,0.0,0.8833333333333333,0.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.8029467235281726,1.0,0.85,1.0,0.865,0.7,0.23092154754732747,0.1991186282167595,0.301119261574522,-0.012095606849861287,-0.07365512132306727,-0.0695824151256256,-0.0507972091842433,-0.04290875334861724,0.0,0.08310498588516586,True,True,True,True,3,3,True,0.9296582991776028,0.9311254944315087,2.185845002414017,0.03717834904450524,-0.4474646365804005,-1.496599031252002,-0.8642632381436923,-0.6281101714420517,-0.6085502313246074,-1.0216369844908868,-0.9023786460842598,-0.7035148009720855,-0.8750241616240917,1.2094748957164634,0.3904870635810953,0.8189878321353681,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.7,False,0.5652253173923603,False,8,neutral,sector,neutral
STRA.US,,,US,1902079232.0,0.0287,0.0287,0.05472245236122619,0.0834224523612262,0.30468325370117827,1646406000.0,,195612300.0,1842018300.0,0.9684235383103116,Consumer Defensive,Education & Training Services,NASDAQ,"BE,F,US",USD,US Dollar,Strategic Education Inc,Common Stock,USA,US,US86272C1036,STRA.US,Domestic,Domestic,,22819000.0,83.35506516499409,91.3911,80.832,0.9120698313620702,-0.0879301686379298,1.0312136921639214,1.0,8.0,1268220000.0,3683.0,344344.28455063805,168642.1395601412,21.6783,2026-02-26,0.12794720058642658,0.12794720058642658,0.6999140407362852,0.548412489847313,1.0,0.3333333333333333,3.0,1.0,1.0,1.5867471435178107,1.0,0.31000000000000005,21.6783,0.19536824204563027,2026-02-26,0.18721358118544784,1.0,3.0,0.0,0.07664011333838715,0.3333333333333333,0.596,0.75,0.014912945679595266,0.007456472839797633,0.03773887804376863,0.04572849868282569,-0.00798962063905706,1.0,,,,0.0,-0.010486659116726485,1.0,1.0,-2.573513332696991,ok,0.0,0.0,1.0,-0.0006201657967721021,0.009870566040797111,8.0,1.0,STRA.US,STRA.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.9953961196324684,0.00019483443861434413,0.0016879869548407367,17.0,13.0,38.0,1.0,1.0,0.7685412140311473,0.7685412140311473,2.0,7.0,1.0,0.0,0.7904761904761904,1.0,0.0,0.0,1.0,0.8571428571428571,1.0,1.0,0.0,0.0,-1.4,0.0,-0.2384145378470578,1.0,0.925,1.0,0.865,0.9333333333333333,0.329913475020021,-0.07145440176004038,0.12639286582764866,0.09265112582483039,0.028317772504789153,0.0069718944370304224,-0.06991272037399052,0.07053157112448954,0.0,0.02467590466717048,True,True,True,True,3,3,True,1.3281861451237051,-0.3341375729833664,0.9174943265519987,1.4862639729614953,0.7709643328126272,0.5287358914211671,-0.10378206957224727,0.21869805571440853,-0.8375539294257451,1.2594923415087418,0.23090741154745867,-0.7077364872415742,-0.4234639821209754,1.5324864581905189,0.09806432438210544,1.4344221338084133,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.5380874872719488,True,9,neutral,sector,neutral
INCY.US,,,US,19091460096.0,0.0,0.0,0.04669168289554937,0.04669168289554937,0.6758471181190269,5167478000.0,5971611000.0,773390000.0,11912479000.0,0.6239689861382512,Healthcare,Biotechnology,NASDAQ,US,USD,US Dollar,Incyte Corporation,Common Stock,USA,US,US45337C1027,INCY.US,Domestic,Domestic,,200700000.0,95.12436520179372,112.29,90.7238,0.8471312245239444,-0.1528687754760556,1.048505080274346,1.0,7.0,5141242000.0,2844.0,1807750.35161744,1653490.1547116737,-5.7592,2026-02-10,-0.0,-0.0,-0.22637752253517346,0.0,1.0,0.0008310612798343766,19.0,1.0,1.0,-0.4044534509691376,1.0,-0.10999999999999988,-5.7592,0.2719719654670312,2026-02-10,0.10146658398809669,1.0,21.0,2.3124862696073847e-05,-0.003329980228242439,0.0,0.6664,1.0,0.7758391434550858,0.3879195717275429,0.2783893753955635,0.20047000055366548,0.07791937484189804,1.0,,,,0.0,-0.0219757692382945,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.03672726646066635,0.03327112552901303,8.0,1.0,INCY.US,INCY.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.9855618449311687,0.0013862756311748825,0.005273842840550436,17.0,11.0,28.0,2.0,1.0,0.5980305227941323,0.5980305227941323,2.0,11.0,1.0,0.0,0.8242424242424242,1.0,0.0,0.0,1.0,0.9090909090909091,1.0,1.0,0.0,0.0,-1.4,0.0,0.8089822875303763,1.0,1.0,1.0,0.865,0.9333333333333333,0.2835133047954172,0.2785076470103518,0.10199375557419506,-0.04503520276344094,-0.005017208124217944,0.05767835234689869,-0.08407527138187583,0.021379505139855596,0.0,-0.08372966675939394,True,True,True,True,3,3,True,1.1413854598229296,1.3023672011398626,0.7403795417587941,-0.4137105406680639,-0.8378280608709914,-0.08665299005557763,0.5709470679854192,0.6396660443400407,-1.007221197183214,0.38177687749742134,,0.8089822875303763,0.11189638971939708,1.6334045001853503,-0.3370288927260302,1.5215081104659531,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.5252152158377897,True,10,neutral,sector,neutral
