symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
DLX.US,,,US,1186211456.0,0.0462,0.0462,-0.01728262570706729,0.02891737429293271,0.3949224748568236,683800000.0,,539352600.0,1223152600.0,1.031142123786739,Industrials,Conglomerates,NYSE,Deluxe Corporation,Common Stock,USA,,45500000.0,26.07058145054945,28.57,20.6559,0.9125159765680592,-0.08748402343194084,1.2621372804162225,1.0,6.0,2133199999.0,4571.0,466681.2511485452,247407.56924086635,15.3153,2026-02-03,0.0,0.0,0.545963139116695,0.0,1.0,0.16666666666666666,3.0,1.0,1.0,1.4821573939836952,1.0,0.12749999999999995,15.3153,0.08602325267042626,2026-02-03,0.11484119540483895,1.0,3.0,0.012032490050503945,0.06672562664370345,0.3333333333333333,0.2264,0.75,0.081457863011148,0.040728931505574,0.028343316440814004,0.022335384638675126,0.006007931802138877,1.0,,,,0.0,0.13976982406936536,1.0,1.0,-2.658231081508424,ok,0.0,0.0,1.0,-0.03191305518732533,0.007750520428376659,8.0,1.0,0.9921729239184486,-0.002643058486243577,-0.002948144635564365,10.0,8.0,19.0,1.0,1.0,-1.4,0.0,-0.38630178382405195,1.0,0.925,1.0,0.865,0.179650216640887,0.34206411422652144,0.3468062010599567,0.008680422436181893,-0.012070021428403506,-0.025135721818141783,0.08328926345533764,0.0,0.03998223462578938,True,True,True,True,3,3,True,0.6574972662327134,1.4541565239451284,2.288626884997641,-0.12792899555238582,0.4729952561583032,-0.2253656617355834,-0.5451325060854602,-0.036318245908812156,0.9978048274022899,0.06549701501658034,-0.8381005826646842,-0.15380404746939752,0.879543228646389,0.5943279059870026,0.2852153226593864,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9632667091981288,True,1,neutral,sector,neutral
WHD.US,,,US,3140454912.0,0.0123,0.0,0.13639491960207717,0.13639491960207717,0.3148614273112501,1226390000.0,,82809000.0,1309199000.0,0.41688196031645497,Energy,Oil & Gas Equipment & Services,NYSE,Cactus Inc,Common Stock,USA,,69015000.0,45.50394714192567,59.0964,45.2238,0.7699952474588244,-0.23000475254117558,1.0061946838152847,0.0,7.0,1079051000.0,1500.0,719367.3333333334,392866.6666666667,12.069,2026-02-25,0.019977163155135712,0.019977163155135712,0.4484512775358549,0.6699949944086782,1.0,0.06648857006786518,8.0,1.0,1.0,1.2976044403935214,1.0,0.07000000000000006,12.069,0.053945561390627894,2026-02-25,0.08592820384078306,1.0,5.0,-0.02558832894317887,-0.009089067068052247,-0.2,0.5972,1.0,0.10377167337250696,0.05188583668625348,-0.04012185755601372,-0.09968927045067721,0.059567412894663496,1.0,,,,0.0,-0.07647511890947642,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.016074861504129786,0.009031823460947667,8.0,1.0,0.8956216532351576,0.06881998859293148,0.01849718739248607,10.0,8.0,13.0,3.0,1.0,-1.4,0.0,-0.7606158535905957,1.0,1.0,1.0,0.865,0.4390577586187467,0.5404167007898869,-0.08927954383984163,0.03485821150220207,0.014982344557588474,0.01002307788028519,-0.13347067803059376,0.0,0.07872374084662664,True,True,True,True,3,3,True,1.6068963422802092,2.2973777090867564,-0.5891692930740372,0.411280564626189,0.5119072457486074,0.25876242759220164,-0.36038711707830523,0.4871975741849158,-1.5989778433686992,,-0.7606158535905957,-0.469057027335467,1.3990109811103293,-0.8068688040477678,1.8680680084457963,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8953116123249005,True,2,neutral,sector,neutral
CMPR.US,,,US,1710248064.0,0.0,0.0,0.05065128138681996,0.05065128138681996,0.821811818647416,-583490000.0,940713600.0,127631300.0,484854900.0,0.28349975082912887,Industrials,Specialty Business Services,NASDAQ,Cimpress NV,Common Stock,USA,,25636865.0,66.71049927516488,82.43,63.6955,0.8092987901876122,-0.1907012098123878,1.047334572696107,1.0,5.0,3403079000.0,15000.0,226871.93333333332,107829.6,18.9024,2026-01-28,0.0,0.0,0.638771667923436,0.0,0.6666666666666666,0.25,2.0,1.0,1.0,0.202562736885995,1.0,0.31000000000000005,18.9024,1.5303900646567201,2026-01-28,0.1245791245791246,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.006734006734006591,0.0033670033670032953,0.10971837569570231,0.07243508756237826,0.037283288133324044,1.0,,,,0.0,-0.0359779511818662,1.0,1.0,-3.1004440002333653,ok,0.0,0.0,1.0,-0.056793702295151724,0.026506291795467665,8.0,1.0,0.916,,,1.0,1.0,1.0,1.0,1.0,-1.4,0.0,-0.3438105629406235,1.0,0.85,1.0,0.865,0.4184237235656941,0.5712980586137234,-0.04934958712202324,-0.01946717529734143,-0.00628286274949699,0.02475405062940349,-0.08057415798313924,0.0,0.03558439326435453,True,True,True,True,3,3,True,1.5313783613258551,2.4286581506184803,-0.3256654336220186,-0.12792899555238582,-0.43852021448688205,-0.12766154118656894,0.1635238157552679,0.3412195526051956,-0.9652778817351731,-0.9837454892377174,0.29612436335647047,-0.0645035766816284,1.4260340252999844,-1.2108654286659282,1.4905376019816128,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8943864429211748,False,3,neutral,sector,neutral
RNG.US,,,US,3222081536.0,0.008,0.008,0.04506568233633701,0.05306568233633701,1.2090384115616066,-588119000.0,988812200.0,162267100.0,562960300.0,0.1747194457092721,Technology,Software - Application,NYSE,Ringcentral Inc,Common Stock,USA,,87959000.0,36.63162991848475,42.3443,29.4114,0.865089986573984,-0.13491001342601605,1.2454908613151616,1.0,8.0,2515142000.0,7378.0,340897.53320683114,242767.14556790458,3.5088,2026-02-19,0.03725733450675761,0.03725733450675761,0.13943762092275472,0.6108495036238286,1.0,0.43741894770969386,16.0,1.0,1.0,2.043057867843106,1.0,0.040000000000000036,3.5088,0.019578495856423673,2026-02-19,0.13472110013040145,1.0,14.0,0.0,-0.02843673678032524,0.35714285714285715,0.3652,1.0,0.44680891345917195,0.22340445672958598,0.04803974535891897,0.04909940617479647,-0.0010596608158774945,1.0,,,,0.0,0.11235055515574945,1.0,1.0,-4.437832301300082,ok,0.0,0.0,1.0,-0.08812683557438655,0.009716118276838041,8.0,1.0,0.974850369983322,0.005064628286960526,0.0044336961670848885,14.0,6.0,26.0,1.0,1.0,-1.4,0.0,-1.3596171155397916,1.0,1.0,1.0,0.865,0.387999073835023,0.5080535933059065,-0.11606597567854224,0.03097354555719586,-0.03175121500185895,-0.043679633171094696,0.0014350679913868126,0.0,0.1407203714583684,True,True,True,True,3,3,True,1.4200279583147002,2.159798167925643,-0.7659370321509075,0.39022560857821603,0.4176909121714019,-0.5483802245571494,-0.6679187800586383,-0.2917005744561191,0.01719210508115622,-2.0,-0.7192342310795833,0.19213894807147897,1.677645261806408,-1.3004200334407618,1.485506313734929,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8776848282963847,True,4,neutral,sector,neutral
TCMD.US,,,US,585656000.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.49543639952463564,Healthcare,Medical Devices,NASDAQ,Tactile Systems Technology Inc,Common Stock,USA,,23295328.0,25.14049169000754,37.77,19.6406,0.6656206431031914,-0.33437935689680864,1.2800266636460975,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.026871735880288898,0.026871735880288898,0.13402083119301605,0.6015125180410583,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,0.06498455645608038,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,0.9844999999999999,-0.00550000000000006,,2.0,2.0,2.0,1.0,1.0,-1.4,0.0,-0.6269767316647206,1.0,0.85,1.0,0.865,0.25407090309165103,0.4470795023670959,0.035450770307796545,0.003516165945017685,0.06387048801796104,0.008621167137728406,-0.00035598806959811135,0.0,0.06489209172729858,True,True,True,True,3,3,True,0.9298676468949925,1.9005898252709714,0.23394502685455937,0.30332912102693266,-0.34112820404630295,1.2977849846177192,-0.06297045831574892,0.21695505021187142,-0.004264734728181273,-0.5983032473025189,-0.6556502160269222,0.32420524418730057,1.405855347650069,-0.8567436404349406,1.0816501034627684,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8771451005249511,False,5,neutral,sector,neutral
PRLB.US,,,US,1325465216.0,0.0,0.0,0.03834685863874343,0.03834685863874343,0.3118766891780813,670872000.0,124064400.0,40389300.0,835325700.0,0.6302132186620882,Industrials,Metal Fabrication,NYSE,Proto Labs Inc,Common Stock,USA,,24245199.0,54.66918279367391,68.91,50.2046,0.7933417906497447,-0.20665820935025525,1.088927763465378,1.0,6.0,533126999.0,2280.0,233827.6311403509,104007.45614035087,25.1066,2026-02-06,0.15267582383481534,0.15267582383481534,0.7633791191740766,0.5,1.0,0.4,5.0,1.0,1.0,1.986905233035358,1.0,0.08829999999999999,25.1066,0.04444097208657794,2026-02-06,0.22739021291279782,1.0,4.0,0.026481715006305168,0.026481715006305168,0.5,0.4152,1.0,0.12105926860025232,0.06052963430012616,0.12109240246406561,0.07759176557686343,0.04350063688720218,1.0,,,,0.0,-0.01452732702009362,1.0,1.0,-2.7538979892537503,ok,0.0,0.0,1.0,-0.013777921316099947,0.006373064318151567,8.0,1.0,0.9718265380859374,0.0017244873046874387,-0.006574829101562596,9.0,5.0,9.0,1.0,1.0,-1.4,0.0,-0.5414463584665253,1.0,1.0,1.0,0.865,0.2832446157526345,0.16828694088570345,0.13436464857507674,0.11834917138853018,0.052334583622565524,0.03288849255528746,-0.06057406033118173,0.0,0.05603969810128537,True,True,True,True,3,3,True,1.0366397770884037,0.7154084360385681,0.8866927586136717,2.0,0.832550886934267,0.9038788190425826,0.2625747540647491,0.41627174821495255,-0.7256768436452931,-0.16149270329919482,-0.9214000136338559,0.15648116260586747,0.6035749068864185,-0.38173729723655736,0.447093744280551,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.7849340905499015,True,6,neutral,sector,neutral
ITRN.US,,,US,966629056.0,0.1232,0.1232,0.0010053282396702556,0.12420532823967026,0.4623783705406847,217564000.0,55028600.0,16911100.000000004,289503700.0,0.2994982389604477,Technology,Scientific & Technical Instruments,NASDAQ,Ituran Location and Control Ltd,Common Stock,USA,,19874000.0,48.63787138975546,51.76,40.5462,0.9396806682719371,-0.06031933172806292,1.199566701435781,1.0,7.0,359023000.0,2800.0,128222.5,63777.5,6.6482,2026-03-04,0.033543468138824,0.033543468138824,0.2598317807423732,0.7462742321549556,0.3333333333333333,0.5189655172413793,1.0,1.0,1.0,1.2498135454159105,1.0,0.04800000000000004,6.6482,0.03840572873934303,2026-03-04,0.10920490956072351,1.0,1.0,0.09043927648578813,0.09043927648578813,1.0,0.5664,0.25,0.0,0.0,0.1280600364369051,0.10540375423759274,0.022656282199312372,1.0,,,,0.0,0.1086065898284356,1.0,1.0,,missing,1.0,0.0,1.0,-0.043918978839518806,0.015020732862853927,8.0,1.0,0.9922500000000001,0.004750000000000032,0.015249999999999986,3.0,3.0,3.0,1.0,1.0,-1.4,0.25,-0.07422312068006254,1.0,0.7749999999999999,1.0,0.865,0.45531085006713956,0.33621366730542246,-0.04097625721658436,0.009003825913746119,-0.034319507780648746,-0.008202492015885899,-0.0008825002811691695,0.0,0.007682092990386472,True,True,True,True,3,3,True,1.6663806189761299,1.4292855561806554,-0.27040855563087457,0.3157440359983699,-0.1820413806249474,-0.7648227261830465,-0.1261063557562296,-0.05422177543448614,-0.010572347553615495,0.25,-0.3984462413601251,-0.07121224173043265,1.681128649507063,-0.7304855035256675,1.7523408912374956,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.7238296789824065,True,7,neutral,sector,neutral
FET.US,,,US,640465344.0,0.0,0.0,0.03382388812098547,0.03382388812098547,0.2910951485470892,291143000.0,,122168500.0,413311500.0,0.6453299993075036,Energy,Oil & Gas Equipment & Services,NYSE,Forum Energy Technologies Inc,Common Stock,USA,,11883000.0,53.89761373390558,63.58,32.3791,0.8477133333423338,-0.15228666665766621,1.664580353805559,1.0,6.0,791474000.0,1700.0,465572.9411764706,128844.70588235294,20.5882,2026-02-19,0.0689227121542871,0.0689227121542871,0.676985526668096,0.6108495036238286,0.6666666666666666,0.25,2.0,1.0,1.0,0.08560452320263438,1.0,0.06999999999999995,20.5882,0.8177138004063526,2026-02-19,-0.048030546623794204,1.0,1.0,-0.39871382636655944,-0.3697749196141479,-1.0,1.0,0.25,0.0,0.0,0.005970149253731405,-0.05570099034676579,0.06167113960049719,1.0,,,,0.0,0.3366996666698168,1.0,1.0,-2.918132738717947,ok,0.0,0.0,1.0,-0.02675122672731942,0.04585196563333943,8.0,1.0,0.9741250000000001,0.024375000000000036,0.06862499999999994,3.0,6.0,6.0,2.0,1.0,-1.4,0.0,0.45742438060337265,1.0,0.7749999999999999,1.0,0.865,0.04030239008370659,0.49746317575215626,0.04088849586550339,0.051194877477778365,-0.0539972029310084,0.024172543947705804,0.1556813179999566,0.0,-0.05374736472089629,True,True,True,True,3,3,True,0.15695167515228997,2.2973777090867564,0.2190267879358172,1.3757302329335266,-0.3103461207092496,-1.272581008832132,-0.09183141854061429,0.4997732501754047,1.6033710673682722,-0.5511739462403951,1.4660227074471404,-0.28307371292338385,0.5928911175081175,0.97396226508296,0.3810711475748425,recovery,0.35,0.38906387803956155,0.3280836588131536,0.28285246314728485,0.9125,1.035,1.1225,0.9125,1.175,0.7019582334749024,True,8,neutral,sector,neutral
FERG.US,,,US,50458324992.0,0.0142,0.0142,0.021130221130221116,0.03533022113022112,0.532178915900502,5832000000.0,,3718000000.0,9550000000.0,0.1892651014775881,Industrials,Industrial Distribution,NYSE,Ferguson Plc,Common Stock,USA,,199200000.0,253.3048443373494,270.632,228.789,0.9359752148206768,-0.0640247851793232,1.1071548209806827,1.0,6.0,30762000000.0,35000.0,878914.2857142857,269571.4285714286,3.2727,2025-12-09,0.0,0.0,0.1301653046215759,0.0,1.0,0.09926505714180722,10.0,1.0,1.0,0.3861436413132253,1.0,0.08999999999999986,3.2727,0.23307388849890504,2025-12-09,0.13047707137854497,1.0,11.0,0.0109806301356383,0.011087238195207648,0.09090909090909091,0.4408,1.0,0.11509570123501331,0.057547850617506655,0.09065774155995343,0.05108080288214101,0.03957693867781242,1.0,,,,0.0,0.047241958824680665,1.0,1.0,-2.430310082955441,ok,0.0,0.0,1.0,0.06059781368037716,0.022322416712314382,8.0,1.0,0.9922779748086528,0.0032211099117831488,0.005642696001435077,11.0,7.0,19.0,2.0,1.0,-1.4,0.0,0.3246992337213248,1.0,1.0,1.0,0.865,0.25010316935189186,0.5712980586137234,-0.09928201890786686,-0.015428895346177543,-0.0039653008939164805,0.019119526204195936,-0.00298171525673068,0.0,-0.033606370690157115,True,True,True,True,3,3,True,0.915346238928946,2.4286581506184803,-0.6551771478564364,-0.12792899555238582,-0.30774690000618626,-0.06848533495537963,-0.002466095677948229,0.3689071596769384,-0.035720929129122524,0.6062871845652467,0.04311128287740296,0.10166916634186893,1.0734984495500408,-0.8811706127588382,0.9718292832081719,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.6852564530749626,True,9,neutral,sector,neutral
MYRG.US,,,US,4035446016.0,0.0,0.0,0.05208544112307878,0.05208544112307878,0.25777593412482,660423000.0,,147432600.0,807855600.0,0.20018991625633484,Industrials,Engineering & Construction,NASDAQ,MYR Group Inc,Common Stock,USA,,15665236.0,257.60518488198966,290.87,214.2305,0.8856368304809353,-0.11436316951906467,1.2024673652070534,1.0,8.0,3657845000.0,9000.0,406427.22222222225,47089.333333333336,25.2688,2026-02-25,0.037087082486766336,0.037087082486766336,0.7660728727989241,0.6699949944086782,1.0,0.07225718332658838,7.0,1.0,1.0,0.6423567110229305,1.0,0.47,25.2688,0.7316806875910762,2026-02-25,0.1830239612541678,1.0,6.0,0.004351764519111321,0.048028165068217984,0.16666666666666666,0.63,1.0,0.2754872388707826,0.1377436194353913,0.17318132791834118,0.07021844662927368,0.1029628812890675,1.0,,,,0.0,0.09157667805291211,1.0,1.0,-3.285038525824145,ok,0.0,0.0,1.0,-0.04762554755243416,0.0186559220563466,8.0,1.0,0.9836430532465682,-0.0030679198522943762,-0.007573434588665662,9.0,7.0,17.0,1.0,1.0,-1.4,0.0,-0.8001743029791931,1.0,1.0,1.0,0.865,0.43417971940379113,0.05507859187773837,-0.09349325041913659,0.03880965768775012,0.02656083606607729,0.0896356156628826,0.03835501729005202,0.0,0.08281804035834649,True,True,True,True,3,3,True,1.589043330419831,0.23414585271486663,-0.6169761838775805,0.9213491401528547,-0.1252342773358198,0.45873637419822616,0.716192197284557,1.1340651638505597,0.45949285441375326,-1.421734553105334,-0.17861405285305218,0.24653504088721198,0.6687441837611653,-0.6534429340130832,0.4222091428739533,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.6719442279275014,True,10,neutral,sector,neutral
