symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,listing_exchanges,currency_code,currency_name,company_name,asset_type,country,country_iso,isin,primary_ticker,home_category,international_domestic,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,listing_symbol,analysis_symbol,listing_exchange,listing_currency_code,listing_currency_name,listing_country,listing_country_iso,analysis_exchange,analysis_currency_code,analysis_currency_name,analysis_country,analysis_country_iso,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_news_event_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
PVH.US,,,US,3710516480.0,0.0019,0.0019,0.15520282186948853,0.15710282186948854,0.44076705761493024,4792300000.0,,2519920000.0,7312220000.0,1.9706744436828374,Consumer Cyclical,Apparel Manufacturing,NYSE,"F,US",USD,US Dollar,PVH Corp,Common Stock,USA,US,US6936561009,PVH.US,Domestic,Domestic,,47900000.0,77.4638096033403,89.6972,73.8656,0.8636145788646724,-0.1363854211353276,1.0487129273077087,1.0,5.0,8950200000.0,15000.0,596680.0,343240.0,5.8172,2026-04-06,,,0.22857747064866493,1.0,,,,1.0,0.0,0.6331018843045885,1.0,0.20999999999999996,5.8172,0.3317001658124396,2026-04-06,0.11958751305957487,1.0,12.0,0.010377165859634833,0.010311533749489461,0.0,0.5144,1.0,0.21207193279271916,0.10603596639635958,0.05629111148591659,0.017382821160924156,0.038908290324992434,1.0,,,,0.0,-0.01607149464735399,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.06419302057812676,0.025120101044071943,8.0,1.0,PVH.US,PVH.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.8420818211723219,0.014185158827541011,-0.007330845151128029,17.0,23.0,43.0,1.0,1.0,0.5750411028310035,0.5750411028310035,3.0,29.0,0.8275862068965517,0.034482758620689655,0.9551724137931035,0.7931034482758621,0.0,0.0,1.0,0.9310344827586207,1.0,1.0,0.0,0.0,-1.4,0.0,0.20409307364856735,0.8,1.0,1.0,0.865,1.0,0.6110907750700544,0.1974742111363011,0.28297172383354363,-0.006002122981128456,-0.017769674472559147,-0.010000088886396615,-0.0633084139240966,0.029503319512957066,0.0,-0.02112363312262672,True,True,True,True,3,3,True,2.4601671720492706,0.9234358137582036,2.0541108035792464,,-0.24296158440448729,-0.3069028406314188,-0.20728570947064429,-0.022296847183344085,-0.7584343816717674,0.4917219918826178,,0.20409307364856735,-0.5851417784194715,1.788578821335379,0.13753331243568345,1.6510455088996956,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,1.0028360961660485,True,1,neutral,sector,neutral
WHD.US,,,US,3292723456.0,0.0117,0.0,0.13639491960207717,0.13639491960207717,0.3148614273112501,1226390000.0,,82809000.0,1309199000.0,0.39760369113731003,Energy,Oil & Gas Equipment & Services,NYSE,"F,US",USD,US Dollar,Cactus Inc,Common Stock,USA,US,US1272031071,WHD.US,Domestic,Domestic,,69015000.0,47.71025800188365,59.0964,45.3136,0.8073293466587415,-0.19267065334125855,1.0528904788382218,0.0,7.0,1079051000.0,1500.0,719367.3333333334,392866.6666666667,12.069,2026-02-25,0.016102008075588543,0.016102008075588543,0.4484512775358549,0.540029869446153,1.0,0.06648857006786518,8.0,1.0,1.0,1.2976044403935214,1.0,0.07000000000000006,12.069,0.053945561390627894,2026-02-25,0.007825362640878733,1.0,6.0,-0.030054563344166493,-0.10528041980977369,-0.3333333333333333,0.5036,1.0,0.20784758042875454,0.10392379021437727,-0.04012185755601372,-0.09968927045067721,0.059567412894663496,1.0,,,,0.0,-0.033055917424596286,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.016074861504129786,0.009031823460947667,8.0,1.0,WHD.US,WHD.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.8154199754846324,0.04170697565194048,-0.004249391836717464,8.0,7.0,11.0,1.0,1.0,0.8449621957557188,0.8449621957557188,2.0,3.0,1.0,0.0,0.8833333333333333,0.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.7424499678167185,1.0,1.0,1.0,0.865,0.9333333333333333,0.44501434815501045,0.5084154338099877,-0.0705910603343528,0.04723184709960085,-0.03810144135257978,0.01268370493602442,-0.11997486258995849,0.112,0.0,0.07684357166903036,True,True,True,True,3,3,True,1.7915663843826712,2.3774700359405627,-0.5124252618053278,0.6444726536235094,0.5628197468834163,-0.6580559819098408,-0.26925393788296226,0.4636895123532593,-1.4372980633137677,2.0,,-0.7424499678167185,-0.5988202412541229,1.5213420853467952,-0.6729435946131425,2.120162326600918,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.9735215413927627,True,2,neutral,sector,neutral
NRG.US,,,US,32427720704.0,0.0124,0.0124,0.061320754716981174,0.07372075471698117,0.23026767330130404,1681000000.0,,1384900000.0,3065900000.0,0.0945456520976455,Utilities,Utilities - Independent Power Producers,NYSE,US,USD,US Dollar,NRG Energy Inc.,Common Stock,USA,US,US6293775085,NRG.US,Domestic,Domestic,,199000000.0,162.9533703718593,189.96,159.3067,0.8578299135178948,-0.14217008648210516,1.0228908788635964,1.0,6.0,30710000000.0,16702.0,1838701.9518620525,401748.29361753084,1.9608,2026-03-04,9.59337402091263e-05,9.59337402091263e-05,0.07827156788121041,0.6015125180410583,1.0,0.0020376175548589186,11.0,1.0,1.0,0.022892998019477577,1.0,0.020000000000000018,1.9608,0.8736295693112728,2026-03-04,0.1734294582353521,1.0,11.0,0.002301088591910771,0.0262855119922116,-0.09090909090909091,0.9608,1.0,0.45579254801309854,0.22789627400654927,0.13653028303270265,0.05704001107573031,0.07949027195697234,1.0,,,,0.0,-0.03488045900739913,1.0,1.0,-3.006425624177786,ok,0.0,0.0,1.0,-0.0021464480051213495,0.01194989925681071,8.0,1.0,NRG.US,NRG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.834634775292366,0.027720155008289837,-0.0006879850913771302,15.0,10.0,29.0,1.0,1.0,0.6088838135024726,0.6088838135024726,3.0,6.0,0.8333333333333334,0.16666666666666666,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.6729965444119583,1.0,1.0,1.0,0.865,1.0,0.44546790208022646,0.4763407859791496,-0.2091816461051665,0.015302456283761841,0.10766457008229527,0.09380992075097361,-0.14193710725792374,0.08353639644180401,0.0,0.06965514234663768,True,True,True,True,3,3,True,1.793392329926429,2.227481445783673,-1.5184636590328406,0.24873156531261784,0.12244851614253185,1.8594917112658944,0.6665747908542999,1.2547630243400985,-1.700405609726841,1.392273274030067,-0.7752261569799065,-0.5707669318440103,-0.17306229894425507,0.7621765273680285,-1.1941687780372012,0.9352388263122836,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.9406584206017582,True,3,neutral,sector,neutral
DLX.US,,,US,1264347904.0,0.0434,0.0434,-0.01728262570706729,0.02611737429293271,0.3949224748568236,683800000.0,,539352600.0,1223152600.0,0.9674177464369806,Industrials,Conglomerates,NYSE,"F,US",USD,US Dollar,Deluxe Corporation,Common Stock,USA,US,US2480191012,DLX.US,Domestic,Domestic,,45500000.0,27.787866021978022,28.57,21.2162,0.9726239419663291,-0.027376058033670936,1.30974755243531,1.0,6.0,2133199999.0,4571.0,466681.2511485452,247407.56924086635,15.3153,2026-02-03,0.0,0.0,0.545963139116695,0.0,1.0,0.16666666666666666,3.0,1.0,1.0,1.4821573939836952,1.0,0.12749999999999995,15.3153,0.08602325267042626,2026-02-03,0.10067549863849,1.0,3.0,0.0,0.0,0.3333333333333333,0.2264,0.75,0.081457863011148,0.040728931505574,0.028343316440814004,0.022335384638675126,0.006007931802138877,1.0,,,,0.0,0.19175428877116663,1.0,1.0,-2.658231081508424,ok,0.0,0.0,1.0,-0.03191305518732533,0.007750520428376659,8.0,1.0,DLX.US,DLX.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9975513752000438,0.00020547190754127698,-0.0014467941110637428,12.0,11.0,21.0,1.0,1.0,0.7238789311494946,0.7238789311494946,2.0,11.0,1.0,0.0,0.8242424242424242,1.0,0.0,0.0,1.0,0.9090909090909091,1.0,1.0,0.0,0.0,-1.4,0.0,-0.38594949884558843,1.0,0.925,1.0,0.865,0.9333333333333333,0.0965366732443259,0.3212964890724105,0.33635765271281143,0.006596527394530645,-0.029155302579785665,-0.03211803224871863,0.10223005079131495,0.08374635851155515,0.0,0.0399457731305184,True,True,True,True,3,3,True,0.3886433310784499,1.502457881143014,2.4416428572572473,-0.15878282494759619,0.45179235252925193,-0.5443738520241921,-0.6267946146325393,-0.10348912194432683,1.2247153348865187,1.495470687706342,0.04593557629125221,-0.8178345739824291,-0.13706421821295778,0.8630900320009784,0.7111380551441767,0.15195197685680173,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.9254361900289625,True,4,neutral,sector,neutral
CMPR.US,,,US,1829412864.0,0.0,0.0,0.05065128138681996,0.05065128138681996,0.821811818647416,-583490000.0,940713600.0,127631300.0,484854900.0,0.26503306582193137,Industrials,Specialty Business Services,NASDAQ,US,USD,US Dollar,Cimpress NV,Common Stock,USA,US,IE00BKYC3F77,CMPR.US,Domestic,Domestic,,25636865.0,71.35868071232578,82.43,64.9618,0.8656882289497243,-0.1343117710502757,1.0984714203166444,1.0,5.0,3403079000.0,15000.0,226871.93333333332,107829.6,18.9024,2026-01-28,0.0,0.0,0.638771667923436,0.0,0.6666666666666666,0.25,2.0,1.0,1.0,0.202562736885995,1.0,0.31000000000000005,18.9024,1.5303900646567201,2026-01-28,0.1245791245791246,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.006734006734006591,0.0033670033670032953,0.10971837569570231,0.07243508756237826,0.037283288133324044,1.0,,,,0.0,0.016997303338222337,1.0,1.0,-3.1004440002333653,ok,0.0,0.0,1.0,-0.056793702295151724,0.026506291795467665,8.0,1.0,CMPR.US,CMPR.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.916,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.355652470815097,1.0,0.85,1.0,0.865,0.0,0.3424150704063819,0.5167519456428075,-0.050587287914283165,-0.019509659141590367,-0.013013272653005295,0.02230515077323871,-0.053457462768718426,0.0,0.0,0.036810030729362536,True,True,True,True,3,3,True,1.37851584379121,2.4164535241841563,-0.3672165304036824,-0.15878282494759619,-0.3936152425523869,-0.2644167967693853,0.15274991646577332,0.3030419997108045,-0.6404200517382183,,-0.9969536201654813,0.2856486785352873,-0.03757638411216023,1.3922014168199002,-1.1531452869130014,1.4297778009320603,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7817145150741932,False,5,neutral,sector,neutral
RNG.US,,,US,3234925056.0,0.0079,0.0079,0.04506568233633701,0.052965682336337014,1.2090384115616066,-588119000.0,988812200.0,162267100.0,562960300.0,0.17402576265432965,Technology,Software - Application,NYSE,"F,US",USD,US Dollar,Ringcentral Inc,Common Stock,USA,US,US76680R2067,RNG.US,Domestic,Domestic,,87959000.0,36.77764704009823,42.3443,29.8665,0.8685383166116392,-0.13146168338836084,1.2314013038052076,1.0,8.0,2515142000.0,7378.0,340897.53320683114,242767.14556790458,3.5088,2026-02-19,0.0,0.0,0.13943762092275472,0.0,1.0,0.43741894770969386,16.0,1.0,1.0,2.043057867843106,1.0,0.040000000000000036,3.5088,0.019578495856423673,2026-02-19,0.1765610986324637,1.0,14.0,0.0,0.0,0.35714285714285715,0.45,1.0,0.2500138896605368,0.1250069448302684,0.04803974535891897,0.04909940617479647,-0.0010596608158774945,1.0,,,,0.0,0.10439925828745866,1.0,1.0,-4.437832301300082,ok,0.0,0.0,1.0,-0.08812683557438655,0.009716118276838041,8.0,1.0,RNG.US,RNG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9834652527263911,0.005403458790955162,1.4690796900196368e-05,13.0,9.0,22.0,2.0,1.0,0.44633066973651325,0.44633066973651325,1.0,8.0,1.0,0.0,0.6854166666666667,1.0,0.0,0.0,1.0,0.875,1.0,1.0,0.0,0.0,-1.4,0.0,-1.3510949702090922,1.0,1.0,1.0,0.865,0.8666666666666667,0.3356633450318871,0.49400854275793427,-0.10382605821528672,-0.0037052212953748213,-0.009340135693418138,-0.049759361086417875,-0.013350328012339444,-0.011093162858430396,0.0,0.13983832941664104,True,True,True,True,3,3,True,1.3513343287059592,2.3101000280502864,-0.7536803500498273,-0.2817396440245789,0.30262172978768376,-0.16131495152708358,-0.7489761981114083,-0.34204631210252257,-0.15993684162256364,-0.21333005496981533,-2.0,-0.7021899404181845,0.21419348780313915,1.6295479677238665,-1.421670657175556,1.4153544799207274,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8666666666666667,True,0.778435950045195,True,6,neutral,sector,neutral
ITRN.US,,,US,1017556672.0,0.1177,0.1177,0.0010053282396702556,0.11870532823967025,0.4623783705406847,217564000.0,55028600.0,16911100.000000004,289503700.0,0.2845086745202925,Technology,Scientific & Technical Instruments,NASDAQ,US,USD,US Dollar,Ituran Location and Control Ltd,Common Stock,USA,US,IL0010818685,ITRN.US,ADR,International/Domestic,,19874000.0,51.200396095401025,51.7472,41.1656,0.9894331692420272,-0.010566830757972823,1.2437665452562583,1.0,7.0,359023000.0,2800.0,128222.5,63777.5,6.6482,2026-03-04,0.02703673142478882,0.02703673142478882,0.2598317807423732,0.6015125180410583,0.3333333333333333,0.5189655172413793,1.0,1.0,1.0,1.2498135454159105,1.0,0.04800000000000004,6.6482,0.03840572873934303,2026-03-04,0.10920490956072351,1.0,1.0,0.09043927648578813,0.09043927648578813,1.0,0.5664,0.25,0.0,0.0,0.1280600364369051,0.10540375423759274,0.022656282199312372,1.0,,,,0.0,0.1547498636512774,1.0,1.0,,missing,1.0,0.0,1.0,-0.043918978839518806,0.015020732862853927,8.0,1.0,ITRN.US,ITRN.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.943,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.07004824618577613,1.0,0.7749999999999999,1.0,0.865,0.0,0.4537126556711873,0.31820831948549544,-0.041465154721608874,0.06147897962192234,-0.03445510416846963,-0.011533219467483617,0.018054613842909243,0.0,0.0,0.007249993480227829,True,True,True,True,3,3,True,1.8265845706762454,1.4880168744965923,-0.30099835111385503,1.4952625403472526,-0.2519942113653624,-0.7678445410545354,-0.17836826291112423,-0.07537620834944699,0.21629415487626752,,0.25,-0.39009649237155225,-0.05789835342939159,1.7382366664298228,-0.7061523992839798,1.7961350198592143,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.77125108374418,False,7,neutral,sector,neutral
SAM.US,,,US,2566854912.0,0.0,0.0,0.0999660268387973,0.0999660268387973,0.7980763994487242,846280000.0,,112673300.0,958953300.0,0.3735907688108552,Consumer Defensive,Beverages - Brewers,NYSE,US,USD,US Dollar,Boston Beer Company Inc,Common Stock,USA,US,US1005571070,SAM.US,Domestic,Domestic,,10597000.0,242.2246779277154,260.0,213.8098,0.9316333766450592,-0.06836662335494081,1.1328979210855414,1.0,7.0,2087251000.0,2736.0,762884.1374269006,348165.2046783626,-7.0707,2026-02-18,-0.0,-0.0,-0.27552043365183665,0.0,1.0,0.036093814670741416,14.0,1.0,1.0,-0.14819510628552657,1.0,-0.14000000000000012,-7.0707,0.9447005606937048,2026-02-18,-0.02829134644547413,1.0,12.0,-0.015458623383691628,-0.015458623383691628,-0.6666666666666666,0.568,1.0,0.2534037939903615,0.12670189699518075,0.2625957310358713,-0.1122800700934965,0.3748758011293678,1.0,,,,0.0,0.062455330531372644,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.05118523266163866,0.02950471290023823,8.0,1.0,SAM.US,SAM.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9916133765670762,8.20560580770957e-05,-0.0013318600059951669,17.0,7.0,29.0,1.0,1.0,0.45226648359049193,0.45226648359049193,4.0,9.0,1.0,0.0,0.8555555555555555,1.0,0.0,0.0,1.0,0.7777777777777778,1.0,1.0,0.0,0.0,-1.4,0.0,0.46205877697119946,1.0,1.0,1.0,0.865,1.0,0.468568561666903,0.36808145065005304,-0.053832756579816406,-0.03826926702401145,-0.08680002153787163,0.17927451685377763,-0.011388395262230275,-0.009354519315683981,0.0,-0.04782308341651914,True,True,True,True,3,3,True,1.8863923991245146,1.721235355009093,-0.3907756060534859,-0.45633755220134226,-0.5547834069315178,-1.4991368141255896,1.7601762967757866,2.0,-0.13643290020342358,-0.1559086552613997,,0.46205877697119946,0.3404382311210341,2.045041837364313,-0.33456730686201647,1.7046036062432788,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,1.0,True,0.7684564860346008,True,8,neutral,sector,neutral
TCMD.US,,,US,559660096.0,0.0,0.0,0.034920352946966604,0.034920352946966604,0.9042133006256798,218902000.0,24207400.0,47045900.0,290155300.0,0.5184491481057817,Healthcare,Medical Devices,NASDAQ,US,USD,US Dollar,Tactile Systems Technology Inc,Common Stock,USA,US,US87357P1003,TCMD.US,Domestic,Domestic,,23295328.0,24.024563895387093,37.77,20.3678,0.6360752950857054,-0.3639247049142946,1.1795365181996629,1.0,8.0,329522000.0,1086.0,303427.25598526705,228086.5561694291,3.3708,2026-02-18,0.0,0.0,0.13402083119301605,0.0,0.6666666666666666,0.5,2.0,1.0,1.0,0.17958625015920507,1.0,0.015000000000000013,3.3708,0.08352532550071265,2026-02-18,0.2531044558071585,1.0,2.0,0.13513513513513511,0.13513513513513511,1.0,1.0,0.5,0.21621621621621612,0.10810810810810806,0.21042238710054328,0.173231362784398,0.037191024316145294,1.0,,,,0.0,-0.010674909890222253,1.0,1.0,-2.9379958167915525,ok,0.0,0.0,1.0,-0.0249925438785712,0.010767556312223257,8.0,1.0,TCMD.US,TCMD.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,0.999,,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.4,0.0,-0.627087285772307,1.0,0.85,1.0,0.865,0.0,0.2341040101802758,0.4310106681607703,0.04770466851421644,-0.02162699630283522,0.06792869495347514,-0.00977063216237586,-0.07047089672633038,0.0,0.0,0.06490353407743377,True,True,True,True,3,3,True,0.9424704547774896,2.0155071631950574,0.34629140201252445,-0.20300623733509826,-0.39584674188709423,1.3802437255608078,-0.2101259968046392,-0.015569872364942328,-0.8442408784489547,,-0.6138452840635562,-0.6403292874810578,0.23051169826389048,1.436999761393814,-1.0047597503735495,1.2064880631299235,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7437830506946299,False,9,neutral,sector,neutral
DTE.US,,,US,30796480512.0,0.0305,0.0305,0.0,0.0305,0.24843709540191616,12303000000.0,,900000.0000000001,12303900000.0,0.39952292584880683,Utilities,Utilities - Regulated Electric,NYSE,US,USD,US Dollar,DTE Energy Company,Common Stock,USA,US,US2333311072,DTE.US,Domestic Primary,Domestic,,207000000.0,148.77526817391305,153.4256,137.603,0.9696899876807589,-0.03031001231924113,1.081192039228164,1.0,7.0,15814000000.0,9650.0,1638756.4766839377,1391917.098445596,3.7736,2026-02-05,0.0,0.0,0.1498079782165767,0.0,1.0,0.06794466166521594,15.0,1.0,1.0,0.3909840238034425,1.0,0.05999999999999983,3.7736,0.1534589557300258,2026-02-05,0.07604622140822519,1.0,16.0,0.0023343962457131576,0.0017086817880992578,0.0,0.3088,1.0,0.055351663558149224,0.027675831779074612,0.2339930151338765,0.21369580178940129,0.020297213344475207,1.0,,,,0.0,0.042166321186572195,1.0,1.0,,missing,1.0,0.0,1.0,-0.01298848191226648,0.004083234309516329,8.0,1.0,DTE.US,DTE.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,0.9446781344586027,0.0031281183292095616,-0.006348039874327971,19.0,8.0,33.0,1.0,1.0,0.49550285133031924,0.49550285133031924,2.0,10.0,1.0,0.0,0.8833333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.4,0.25,-0.39179844887863213,1.0,1.0,1.0,0.865,0.9333333333333333,0.2250509912377781,0.4928704325830784,-0.1042710125221581,0.02843519116319627,0.0057492402116634585,0.09864646454823428,-0.025722705927290417,-0.019903207960494267,0.0,0.04055113945893842,True,True,True,True,3,3,True,0.9060242492072618,2.304777957439562,-0.7569103033344222,0.23657719187348739,0.5659629415678864,0.09929603128952434,1.7442418394246728,0.46584510663976564,-0.30815784752212305,-0.35541442786596905,0.25,-1.0335968977572643,-0.11039243636508157,0.49777068779011463,-0.25880184082073193,0.6081631241551962,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.9333333333333333,True,0.7414065327929461,True,10,neutral,sector,neutral
