symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,currency_code,currency_name,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_beneish_risk,z_accrual_volatility_risk,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
RAND.AS,,,NL,4182809344.0,0.0699,0.0,0.00903444381705254,0.00903444381705254,0.38247825315107403,4001000000.0,4000000.0,840800000.0,4845800000.0,1.1585036757534795,Industrials,Staffing & Employment Services,AS,EUR,Euro,Randstad NV,Common Stock,Netherlands,,175500000.0,23.833671475783476,44.34,34.5625,0.5375207820429291,-0.4624792179570709,0.6895818148508781,0.0,6.0,23077000000.0,38920.0,592934.224049332,110714.28571428571,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,-0.059227340416236965,0.8370976930069658,0.4355083289232243,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,-0.1480683510405924,2.391707694305617,1.742033315692897,,,,0.0,False,1.2133786815139531,False,1,neutral,sector,neutral
SESG.PA,,,FR,2270025728.0,0.0922,0.0922,0.14848520158471223,0.24068520158471224,0.1400149588631264,2623000000.0,,,2623000000.0,1.1554935116576792,Communication Services,Broadcasting,PA,EUR,Euro,SES S. A.,Common Stock,France,,365385000.0,6.212695452741628,7.08,5.6743,0.8774993577318684,-0.12250064226813162,1.0948831490653699,1.0,5.0,2630000000.0,3830.0,686684.0731070496,488772.84595300263,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.7882054615821926,-0.210505304791199,0.4406407165084389,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,1.9705136539554815,-0.6014437279748543,1.7625628660337556,,,,0.0,False,1.0183408732994326,False,2,neutral,sector,neutral
GS71.XETRA,,,DE,89601753088.0,0.0367,0.0367,0.016728985814360442,0.053428985814360445,0.38695637946267875,16377000000.0,19578600000.0,5867900000.0,41823500000.0,0.4667710012205247,Healthcare,Drug Manufacturers - General,XETRA,EUR,Euro,GSK plc,Common Stock,Germany,,4012550322.0,22.330374923083642,25.9328,19.6336,0.861086150476757,-0.13891384952324304,1.1373550914291644,1.0,9.0,32667000000.0,66841.0,488726.97895004565,353824.7482832393,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.6836362775877904,0.40550082263131493,-0.08426255557007478,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,1.7090906939694759,1.1585737789466142,-0.3370502222802991,,,,0.0,False,1.0048745446490308,False,3,neutral,sector,neutral
QCI.XETRA,,,DE,117946179584.0,0.0275,0.0,0.02212389380530977,0.02212389380530977,0.48951997287757015,21206000000.0,26160000000.0,1733100000.0,49099100000.0,0.4162839370734526,Technology,Semiconductors,XETRA,EUR,Euro,QUALCOMM Incorporated,Common Stock,Germany,,1105000000.0,106.73862405791856,173.1138,137.0246,0.6165806773227701,-0.3834193226772299,0.7789741700243501,0.0,6.0,44284000000.0,52000.0,851615.3846153846,472038.46153846156,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.2503753088645154,0.6705252360319263,0.004768083796643388,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.6259382721612885,1.9157863886626467,0.01907233518657355,,,,0.0,False,0.9256686286930851,False,4,neutral,sector,neutral
EBA.XETRA,,,DE,35546411008.0,0.0139,0.0139,0.06586826347305386,0.07976826347305385,0.4490062585744446,4615314000.0,4622511841.0,647700000.0,9885525841.0,0.27810193942716704,Consumer Cyclical,Internet Retail,XETRA,EUR,Euro,eBay Inc,Common Stock,Germany,,468000000.0,75.95386967521368,85.7506,74.919,0.8857532154318882,-0.11424678456811177,1.0138131805711994,1.0,5.0,11100756059.0,12300.0,902500.492601626,642889.314796748,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.6702591234426954,0.5070471597985892,-0.28280326681733864,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,1.6756478086067386,1.448706170853112,-1.1312130672693546,,,,0.0,False,0.894503016423946,False,5,neutral,sector,neutral
CAT1.XETRA,,,DE,280568266752.0,0.0087,0.0087,0.034940743767879034,0.043640743767879034,0.2178627585492351,21319452000.0,6161346000.0,4038300000.0,31519098000.0,0.11234020997770347,Industrials,Farm & Heavy Construction Machinery,XETRA,EUR,Euro,Caterpillar Inc,Common Stock,Germany,,472300000.0,594.0467218970992,664.0,463.5075,0.8946486775558724,-0.10535132244412759,1.2816334620197067,1.0,6.0,67593604000.0,118000.0,572827.1525423729,182029.34745762713,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.9303472974024833,0.23194768975310623,-0.2694324102084629,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,2.3258682435062084,0.662707685008875,-1.0777296408338517,,,,0.0,False,0.8928625769471268,False,6,neutral,sector,neutral
APC.XETRA,,,DE,3182137180160.0,0.0041,0.0041,0.026180913344576395,0.030280913344576395,0.5433706063617461,73733000000.0,92478200000.0,15992900000.0,182204100000.0,0.05725840518001762,Technology,Consumer Electronics,XETRA,EUR,Euro,Apple Inc,Common Stock,Germany,,15004697000.0,212.0760705904291,247.3206,212.9056,0.8574945661236028,-0.14250543387639725,0.99610376894938,1.0,8.0,416161000000.0,150000.0,2774406.6666666665,1301340.0,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.41863962739646965,0.7232303867892389,-0.27834585524416916,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,1.0465990684911741,2.06637253368354,-1.1133834209766766,,,,0.0,False,0.8635241589415394,False,7,neutral,sector,neutral
BAS.XETRA,,,DE,41466011648.0,0.0489,0.0489,0.0012455706836228542,0.05014557068362285,0.18254059804411632,33194000000.0,6210600000.0,3099400000.0,42504000000.0,1.0250322688569944,Basic Materials,Chemicals,XETRA,EUR,Euro,BASF SE,Common Stock,Germany,,894057000.0,46.37960627566251,52.68,44.6495,0.8804025488926065,-0.1195974511073935,1.0387486147809608,1.0,8.0,59657000000.0,106256.0,561445.9418762234,134034.78391808463,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.5921596149308405,-0.1434621686730155,0.4103699483010023,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,1.4803990373271012,-0.40989191049433005,1.6414797932040093,,,,0.0,False,0.8590673945588272,False,8,neutral,sector,neutral
SQ3.XETRA,,,DE,31764613120.0,0.0,0.0,0.028398711584763703,0.028398711584763703,0.26194585587564384,22204278000.0,8002925400.0,2530690400.0,32737893800.0,1.0306404071827713,Technology,Software - Infrastructure,XETRA,EUR,Euro,Block Inc,Common Stock,Germany,,602078000.0,52.75830227977106,72.12,58.6356,0.7315349733745293,-0.26846502662547067,0.8997657102472059,1.0,6.0,24193683000.0,10205.0,2370767.5649191574,1015181.6756491916,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.3798132650309087,-0.07191902562338087,0.45433047449890324,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.9495331625772716,-0.20548293035251677,1.817321897995613,,,,0.0,False,0.7622247139064311,False,9,neutral,sector,neutral
RUI.PA,,,FR,3381660672.0,0.0609,0.0609,0.0008402108761451643,0.06174021087614517,0.09616055693643905,2804838000.0,,284475100.00000006,3089313100.0,0.9135491108198334,Energy,Oil & Gas Refining & Marketing,PA,EUR,Euro,Rubis SCA,Common Stock,France,,103638000.0,32.62954391246454,36.8,31.3191,0.8866723889256669,-0.11332761107433309,1.0418416848652912,1.0,5.0,6534460000.0,4262.0,1533190.9901454716,149484.04504927265,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.7990981756005213,-0.38563226523821087,0.32076605839950273,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,1.9977454390013032,-1.101806472109174,1.283064233598011,,,,0.0,False,0.7342319687618132,False,10,neutral,sector,neutral
RDEB.XETRA,,,DE,51172134912.0,0.0269,0.0,0.017690627164704043,0.017690627164704043,0.4139730296835709,2367504525.0,380600000.0,554200000.0000001,3302304525.0,0.06453325683360538,Industrials,Specialty Business Services,XETRA,EUR,Euro,RELX PLC,Common Stock,Germany,,1843500000.0,27.758142073230267,49.1003,37.2656,0.5653354882399959,-0.4346645117600041,0.7448730752552023,0.0,6.0,9596098223.0,35720.0,268647.7666013438,171133.3895856663,,,,,,,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.2,0.0,,0.6,0.7,0.6,0.0,0.0,0.18829809608857193,0.8370976930069658,-0.2938931377342798,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.4707452402214298,2.391707694305617,-1.175572550937119,,,,0.0,False,0.7315026513612579,False,11,neutral,sector,neutral
