symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_beneish_risk,z_accrual_volatility_risk,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
INCY.US,,,US,18066534400.0,0.0,0.0,0.04669168289554937,0.04669168289554937,0.6758471181190269,5167478000.0,5971611000.0,773390000.0,11912479000.0,0.659367133521745,Healthcare,Biotechnology,NASDAQ,Incyte Corporation,Common Stock,USA,,200700000.0,90.01761036372696,112.29,89.6732,0.8016529554165728,-0.19834704458342722,1.0038407279290464,1.0,7.0,5141242000.0,2844.0,1807750.35161744,1653490.1547116737,-5.7592,2026-02-10,-0.000100044813129514,-0.000100044813129514,-0.22637752253517346,0.5317753794688818,1.0,0.0008310612798343766,19.0,1.0,1.0,-0.4044534509691376,1.0,-0.10999999999999988,-5.7592,0.2719719654670312,2026-02-10,0.041412045205933945,1.0,21.0,-0.003353182632826492,-0.0006590738278313175,-0.38095238095238093,0.6556,1.0,0.7758570850436491,0.38792854252182457,,,,0.0,,,,0.0,,0.0,0.0,,pathological_clipped,0.0,1.0,1.0,-0.03672726646066635,0.03327112552901303,8.0,1.0,0.9567206541434722,0.0073187852009960475,-0.0019468306701864169,17.0,8.0,29.0,1.0,1.0,-1.4,0.0,1.3856998280773198,1.0,1.0,0.6,0.0,0.3453636939079025,0.4883369884921465,0.24564374870145528,-0.05542897966623771,-0.02520661007154398,0.0,0.0,0.0,-0.138569982807732,True,True,True,True,3,3,True,1.0039642264764606,1.6223820215685931,1.1425290637276988,-0.7847334007101787,-0.5550555135046602,-0.42011016785906635,,1.3856998280773198,0.8601388585559906,True,1,neutral,sector,neutral
EBAY.US,,,US,40218959872.0,0.0139,0.0139,0.08183632734530943,0.09573632734530943,0.4503691084611016,4615000000.0,4548600000.0,661800000.0,9825400000.0,0.24429771508935358,Consumer Cyclical,Internet Retail,NASDAQ,eBay Inc,Common Stock,USA,,460000000.0,87.43252146086957,100.4288,87.1917,0.8705921156169303,-0.12940788438306972,1.0027619768953877,1.0,6.0,11100000000.0,12300.0,902439.0243902439,644796.7479674796,4.4444,2026-02-25,6.472575029937945e-06,6.472575029937945e-06,0.17592654770401586,0.6699949944086782,1.0,5.491287157705098e-05,30.0,1.0,1.0,1.224744871391586,1.0,0.05999999999999983,4.4444,0.04898979485566354,2026-02-25,0.11610806986991037,1.0,31.0,4.4982906495560037e-05,0.03456186649073354,0.03225806451612903,0.4272,1.0,0.11995441732141783,0.059977208660708915,,,,0.0,,,,0.0,,0.0,0.0,-1.9151047515285482,ok,0.0,0.0,1.0,-0.003107256857150928,0.015406533755558291,8.0,1.0,0.9784913184613874,0.0029478701389251682,0.00017280222576432358,22.0,9.0,67.0,1.0,1.0,-1.4,0.0,0.6804379836197948,1.0,1.0,0.6,0.0,0.8033123280158195,0.23216607655218935,-0.1702956039201003,0.010093491014265892,-0.02114423728695108,0.0,0.0,0.0,-0.06804379836197948,True,True,True,True,3,3,True,2.33521025585994,0.7713158689441507,-0.7920725763725595,0.07142794312477195,0.20827967950865117,-0.352403954782518,1.526329775319413,-0.16545380807982327,0.786088256013244,True,2,neutral,sector,neutral
NEM.US,,,US,104542994432.0,0.0109,0.0,0.03484320557491294,0.03484320557491294,0.1925561527284186,33867000000.0,566000000.0,232900000.0,34665900000.0,0.331594672491885,Basic Materials,Gold,NYSE,Newmont Goldcorp Corp,Common Stock,USA,,1108000000.0,94.35288306137184,134.6075,87.9217,0.7009481868497064,-0.2990518131502936,1.073146709644739,0.0,9.0,22097000000.0,17500.0,1262685.7142857143,628514.2857142857,27.9188,2026-02-19,0.052788099693783654,0.052788099693783654,0.8064361896561512,0.6108495036238286,1.0,0.10715977522175948,15.0,1.0,1.0,3.3359251290525775,1.0,0.55,27.9188,0.1648718057878605,2026-02-19,0.04011279759048124,1.0,13.0,-0.0009217949190663864,-0.0025257180782419612,-0.3076923076923077,0.5984,1.0,0.882885955532613,0.4414429777663065,,,,0.0,,,,0.0,,0.0,0.0,-3.0121622893919135,ok,0.0,0.0,1.0,-0.041498600316605704,0.011752869605381067,8.0,1.0,0.1699574047005151,0.10312329564485605,0.07139365962011668,26.0,47.0,154.0,3.0,1.0,-1.4,0.0,-0.7092632993212501,1.0,1.0,0.6,0.0,0.4276257977161171,0.16033295709105921,-0.08526691478461992,0.13036384220940625,-0.040149162258148054,0.0,0.0,0.0,0.07092632993212501,True,True,True,True,3,3,True,1.2430982491747586,0.5326676315317582,-0.39659030132381357,1.6203516072315187,1.6433426581966672,-0.6691527043024675,-0.93583103638693,-0.48269556225557014,0.6638328499059396,True,3,neutral,sector,neutral
KEYS.US,,,US,47601324032.0,0.0,0.0,0.011428571428571455,0.011428571428571455,0.2954927831399982,5877000000.0,2770000000.0,851900000.0,9498900000.0,0.1995511720139205,Technology,Scientific & Technical Instruments,NYSE,Keysight Technologies Inc,Common Stock,USA,,173000000.0,275.1521620346821,317.0,193.736,0.8679878928538867,-0.13201210714611333,1.4202428151437114,1.0,5.0,5375000000.0,16600.0,323795.1807228916,201024.09638554216,9.596,2026-02-24,0.010062282402038016,0.010062282402038016,0.36603763520820154,0.6597539553864471,1.0,0.041666666666666664,12.0,1.0,1.0,1.0904255325825654,1.0,0.18999999999999995,9.596,0.17424390233233414,2026-02-24,0.3807785479050586,1.0,13.0,0.09256002969736044,0.09378113826856566,0.8461538461538461,0.6204,1.0,0.1570345622569994,0.0785172811284997,,,,0.0,,,,0.0,,0.0,0.0,-2.69447419510423,ok,0.0,0.0,1.0,-0.014051110915956793,0.017556487143200235,8.0,1.0,0.9873103051451303,-0.0001861050475183701,-0.0050146967282298505,24.0,10.0,102.0,1.0,1.0,-1.4,0.0,-0.05514557098436896,1.0,1.0,0.6,0.0,0.28922014318203726,0.3714284638647055,-0.08340772962752453,-0.0044338751308148254,0.07529676918255948,0.0,0.0,0.0,0.0055145570984368964,True,True,True,True,3,3,True,0.8407562301803407,1.2339816075239387,-0.3879429285001141,0.037176239492556544,-0.1943229570767981,1.254946153042658,-0.13151431241156739,0.021223170442829464,0.6536183285693997,True,4,neutral,sector,neutral
IRDM.US,,,US,2665901568.0,0.0236,0.0,0.09979798317082944,0.09979798317082944,0.26632935718521744,462600000.0,63521200.0,95320300.0,621441500.0,0.23310744382292212,Communication Services,Telecom Services,NASDAQ,Iridium Communications Inc,Common Stock,USA,,107837000.0,24.721585058931534,32.5963,22.0429,0.7584169080212029,-0.24158309197879713,1.1215214449519588,0.0,8.0,871659000.0,975.0,894009.2307692308,691366.1538461539,14.6723,2026-02-12,0.029744151496357896,0.029744151496357896,0.5276566206294347,0.548412489847313,1.0,0.10278810408921935,5.0,1.0,1.0,0.39456953309501425,1.0,0.03470000000000001,14.6723,0.08794394166171994,2026-02-12,0.055935335207738496,1.0,3.0,-0.017786259541984636,-0.07251908396946563,0.0,0.4408,0.75,0.29770992366412224,0.14885496183206112,,,,0.0,,,,0.0,,0.0,0.0,-3.238457575908721,ok,0.0,0.0,1.0,-0.03293177129311577,0.00924004058477817,8.0,1.0,0.9626308147560837,0.005301703336302643,-0.0024222496028649676,11.0,8.0,17.0,1.0,1.0,-1.4,0.0,-1.1048208096877086,1.0,0.925,0.6,0.0,0.5933551921213933,0.07795101660636446,-0.12402998298244432,0.025091259757337517,-0.04418877202249057,0.0,0.0,0.0,0.11048208096877087,True,True,True,True,3,3,True,1.7248697445389336,0.25897347709755636,-0.5768836417788107,0.7895514842158474,-0.4002253589069738,-0.7961940904953256,-1.5087611737607347,-0.7008804456146822,0.6386607944489313,True,5,neutral,sector,neutral
CTVA.US,,,US,52254355456.0,0.0093,0.0093,0.03280067241379314,0.042100672413793144,0.17703349282296652,24144000000.0,4121600000.0,2016400000.0,30282000000.0,0.5795115016871369,Basic Materials,Agricultural Inputs,NYSE,Corteva Inc,Common Stock,USA,,673170732.0,77.62422365088801,80.905,70.5713,0.9594490285011805,-0.04055097149881948,1.0999403957541949,1.0,6.0,17401000000.0,21500.0,809348.8372093023,352790.6976744186,0.0,2026-02-03,0.0,0.0,0.0,0.0,1.0,0.0004348869293983418,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21539208434852014,2026-02-03,0.12889542604730692,1.0,4.0,-0.03573667711598742,-0.015673981191222656,0.0,0.6484,1.0,0.27272727272727276,0.13636363636363638,,,,0.0,,,,0.0,,0.0,0.0,-2.662998233889474,ok,0.0,0.0,1.0,-0.11587079477440825,0.06409498256812797,8.0,1.0,0.9302774572598297,0.01922272613634768,0.004141490636736966,15.0,9.0,25.0,2.0,1.0,-1.4,0.0,0.974087966201137,1.0,1.0,0.6,0.0,0.5344456475463601,0.08945906492987078,0.13319079606551368,-0.04248399461133155,0.013462206324668729,0.0,0.0,0.0,-0.0974087966201137,True,True,True,True,3,3,True,1.553621068448721,0.2972061957803016,0.6194920747233194,-0.41118024705829115,-0.7108544610166742,0.2243701054111455,-0.05182406759772592,2.0,0.6306649236349681,True,6,neutral,sector,neutral
SLAB.US,,,US,6799735808.0,0.0,0.0,-0.016464229132366226,-0.016464229132366226,0.3600227523936101,1094418000.0,1009244400.0,97367600.0,2201030000.0,0.32369345841502434,Technology,Semiconductors,NASDAQ,Silicon Laboratories Inc,Common Stock,USA,,32721000.0,207.80953540539716,208.835,146.9137,0.9950895942030653,-0.0049104057969346915,1.4145007266537917,1.0,5.0,784764000.0,1930.0,406613.4715025907,236778.75647668395,1.8182,2026-02-04,0.0,0.0,0.07260004247918374,0.0,1.0,0.25022070183182515,10.0,1.0,1.0,0.13584712216226502,1.0,0.010000000000000009,1.8182,0.07361215932167728,2026-02-04,0.32165112653751543,1.0,8.0,0.027144408251900065,0.02762697550971157,0.375,1.0,1.0,0.20026541199179637,0.10013270599589819,,,,0.0,,,,0.0,,0.0,0.0,,pathological_clipped,0.0,1.0,1.0,-0.008748866152021263,0.02670298063094852,8.0,1.0,0.976884861024576,0.00922631689465614,0.0008131511129760849,13.0,6.0,17.0,2.0,1.0,-1.4,0.0,0.8153984200944878,1.0,1.0,0.6,0.0,-0.05410886513369245,0.48336552123401494,0.23549062375462515,-0.05394632969248136,0.04286920427874351,0.0,0.0,0.0,-0.08153984200944879,True,True,True,True,3,2,True,-0.15729321259794313,1.6058655190498836,1.0953052267656982,-0.29224091632499777,-1.2474614284025456,0.7144867379790585,,0.8153984200944878,0.572130312431761,True,7,neutral,sector,neutral
HAS.US,,,US,12817880064.0,0.0307,0.0307,0.0007127583749109156,0.03141275837491092,0.5949747838616715,538500000.0,991320000.0,837920000.0,2367740000.0,0.1847216535166357,Consumer Cyclical,Leisure,NASDAQ,Hasbro Inc,Common Stock,USA,,140200000.0,91.4256780599144,106.2475,81.4319,0.8604972169690054,-0.13950278303099461,1.1227255910756646,1.0,6.0,4701300000.0,4520.0,1040110.6194690266,730818.5840707965,58.847,2026-02-17,0.00037947820011000153,0.00037947820011000153,0.9821115013946504,0.5923182505897684,1.0,0.0006523353605909105,14.0,1.0,1.0,2.214073685021352,1.0,0.5594,58.847,0.2526564512213175,2026-02-17,0.10940357485403979,1.0,15.0,-0.001584405607835609,0.020069137699251,0.06666666666666667,0.3808,1.0,0.12163113757121834,0.06081556878560917,,,,0.0,,,,0.0,,0.0,0.0,-3.5431721507577407,ok,0.0,0.0,1.0,-0.036410265672127004,0.051003272609834054,8.0,1.0,0.9845431099679172,0.002768703033410924,-0.005846451712184342,21.0,7.0,36.0,1.0,1.0,-1.4,0.0,0.0,1.0,1.0,0.6,0.0,0.2533927074747117,0.45643745999015806,-0.2119062422300335,0.03392820390203215,-0.02528461900445045,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.7366067077753246,1.5164035215619869,-0.9856104289768998,0.1781192920620579,0.7930774338454176,-0.4214103167408409,-2.0,2.0,0.5065675101324179,True,8,neutral,sector,neutral
EME.US,,,US,32452116480.0,0.0022,0.0022,0.037536318578020866,0.03973631857802087,0.3465886784850969,3673944000.0,,914401600.0,4588345600.0,0.14138817734207762,Industrials,Engineering & Construction,NYSE,EMCOR Group Inc,Common Stock,USA,,45051000.0,720.3417566757674,835.0,641.6382,0.8626847385338532,-0.1373152614661468,1.1226603351791826,1.0,6.0,16990000000.0,44000.0,386136.36363636365,75622.72727272728,7.6138,2026-02-26,6.734284389903672e-05,6.734284389903672e-05,0.29547277056954124,0.6803950000871885,1.0,0.0003349753694581174,4.0,1.0,1.0,1.2053506059678873,1.0,0.5087000000000002,7.6138,0.42203488137090034,2026-02-26,0.24622514919377897,1.0,9.0,-0.00023756354824916565,0.04708509526298283,0.5555555555555556,0.4596,1.0,0.1452020082038613,0.07260100410193066,,,,0.0,,,,0.0,,0.0,0.0,,pathological_clipped,0.0,1.0,1.0,-0.010154654709230167,0.017885189602977716,8.0,1.0,0.9959192888349228,0.00037619935280563954,-0.0008197935825716707,22.0,13.0,68.0,1.0,1.0,-1.4,0.0,0.04976387387246258,1.0,1.0,0.6,0.0,0.30699281160401,0.25167073016054764,-0.16283278969900095,-0.028080089126848434,0.06020893806497875,0.0,0.0,0.0,-0.004976387387246258,True,True,True,True,3,3,True,0.8924209639651451,0.8361153825931816,-0.7573618125534927,-0.43184626923767316,-0.22973338135750376,1.0034823010829792,,0.04976387387246258,0.42298321361644065,True,9,neutral,sector,neutral
EXC.US,,,US,47516250112.0,0.0362,0.0362,-0.008973080757726848,0.027226919242273155,0.05810242772582997,28798000000.0,,,28798000000.0,0.6060663442952794,Utilities,Utilities - Regulated Electric,NASDAQ,Exelon Corporation,Common Stock,USA,,1012000000.0,46.952816316205535,50.65,45.014,0.9270052579704943,-0.07299474202950573,1.0430714070334903,1.0,5.0,24258000000.0,20571.0,1179232.900685431,329249.91492878326,3.201,2026-02-12,0.004162282284024566,0.004162282284024566,0.1273448519827108,0.548412489847313,1.0,0.05959952527312011,17.0,1.0,1.0,0.503724105748243,1.0,0.018299999999999983,3.201,0.03632941086433963,2026-02-12,0.08226631082684877,1.0,16.0,0.0,0.006076930657293947,0.0625,0.2688,1.0,0.04927241073481586,0.02463620536740793,,,,0.0,,,,0.0,,0.0,0.0,,missing,1.0,0.0,1.0,-0.005649496542942692,0.003290388158684218,8.0,1.0,0.8965634850632066,0.02052028398852357,-0.0021687446950175993,13.0,8.0,19.0,1.0,1.0,-1.4,0.25,-0.47916658799213196,1.0,1.0,0.6,0.0,0.42221107849910616,-0.12434305193012743,0.047083317892025175,0.04623148395449306,-0.04486690196693493,0.0,0.0,0.0,0.047916658799213196,True,True,True,True,3,3,True,1.2273577863346106,-0.4130998402994267,0.21899217624197753,0.5130295855766247,0.6751894952129708,-0.7477816994489155,0.25,-1.208333175984264,0.3942325852477752,True,10,neutral,sector,neutral
