symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
INCY.US,,,US,18066534400.0,0.0,0.0,0.04669168289554937,0.04669168289554937,0.6758471181190269,5167478000.0,5971611000.0,773390000.0,11912479000.0,0.659367133521745,Healthcare,Biotechnology,NASDAQ,Incyte Corporation,Common Stock,USA,,200700000.0,90.01761036372696,112.29,89.6732,0.8016529554165728,-0.19834704458342722,1.0038407279290464,1.0,7.0,5141242000.0,2844.0,1807750.35161744,1653490.1547116737,-5.7592,2026-02-10,-0.000100044813129514,-0.000100044813129514,-0.22637752253517346,0.5317753794688818,1.0,0.0008310612798343766,19.0,1.0,1.0,-0.4044534509691376,1.0,-0.10999999999999988,-5.7592,0.2719719654670312,2026-02-10,0.041412045205933945,1.0,21.0,-0.003353182632826492,-0.0006590738278313175,-0.38095238095238093,0.6556,1.0,0.7758570850436491,0.38792854252182457,,,,0.0,,,,0.0,,0.0,0.0,,pathological_clipped,0.0,1.0,1.0,-0.03672726646066635,0.03327112552901303,8.0,1.0,0.9567206541434722,0.0073187852009960475,-0.0019468306701864169,17.0,8.0,29.0,1.0,1.0,-1.4,0.0,1.38569982807732,1.0,1.0,0.6,0.0,0.3574427952651381,0.4972834429565518,0.22559716154832674,-0.05348896537791939,-0.02432437871903994,0.0,0.0,0.0,-0.14341993220600263,True,True,True,True,3,3,True,1.0039642264764606,1.6223820215685931,1.1425290637276988,-0.7847334007101787,-0.5550555135046602,-0.42011016785906635,,1.38569982807732,-0.47171518616819325,1.923446216897149,0.22165060992073632,1.7017956069764126,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.8590901234670547,True,1,neutral,sector,neutral
EBAY.US,,,US,40218959872.0,0.0139,0.0139,0.08183632734530943,0.09573632734530943,0.4503691084611016,4615000000.0,4548600000.0,661800000.0,9825400000.0,0.24429771508935358,Consumer Cyclical,Internet Retail,NASDAQ,eBay Inc,Common Stock,USA,,460000000.0,87.43252146086957,100.4288,87.1917,0.8705921156169303,-0.12940788438306972,1.0027619768953877,1.0,6.0,11100000000.0,12300.0,902439.0243902439,644796.7479674796,4.4444,2026-02-25,6.472575029937945e-06,6.472575029937945e-06,0.17592654770401586,0.6699949944086782,1.0,5.491287157705098e-05,30.0,1.0,1.0,1.224744871391586,1.0,0.05999999999999983,4.4444,0.04898979485566354,2026-02-25,0.11610806986991037,1.0,31.0,4.4982906495560037e-05,0.03456186649073354,0.03225806451612903,0.4272,1.0,0.11995441732141783,0.059977208660708915,,,,0.0,,,,0.0,,0.0,0.0,-1.9151047515285482,ok,0.0,0.0,1.0,-0.003107256857150928,0.015406533755558291,8.0,1.0,0.9784913184613874,0.0029478701389251682,0.00017280222576432358,22.0,9.0,67.0,1.0,1.0,-1.4,0.0,0.6804379836197942,1.0,1.0,0.6,0.0,0.8314081910227966,0.23641941652233417,-0.15639805641960197,0.009740218828766587,-0.02040418898190777,0.0,0.0,0.0,-0.0704253313046487,True,True,True,True,3,3,True,2.33521025585994,0.7713158689441507,-0.7920725763725595,0.07142794312477198,0.20827967950865112,-0.3524039547825177,1.5263297753194118,-0.1654538080798233,-0.12097985811819183,1.7070801124125996,-0.7192092102116141,1.8280599705307914,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.830340249667739,True,2,neutral,sector,neutral
KEYS.US,,,US,47601324032.0,0.0,0.0,0.011428571428571455,0.011428571428571455,0.2954927831399982,5877000000.0,2770000000.0,851900000.0,9498900000.0,0.1995511720139205,Technology,Scientific & Technical Instruments,NYSE,Keysight Technologies Inc,Common Stock,USA,,173000000.0,275.1521620346821,317.0,193.736,0.8679878928538867,-0.13201210714611333,1.4202428151437114,1.0,5.0,5375000000.0,16600.0,323795.1807228916,201024.09638554216,9.596,2026-02-24,0.010062282402038016,0.010062282402038016,0.36603763520820154,0.6597539553864471,1.0,0.041666666666666664,12.0,1.0,1.0,1.0904255325825654,1.0,0.18999999999999995,9.596,0.17424390233233414,2026-02-24,0.3807785479050586,1.0,13.0,0.09256002969736044,0.09378113826856566,0.8461538461538461,0.6204,1.0,0.1570345622569994,0.0785172811284997,,,,0.0,,,,0.0,,0.0,0.0,-2.69447419510423,ok,0.0,0.0,1.0,-0.014051110915956793,0.017556487143200235,8.0,1.0,0.9873103051451303,-0.0001861050475183701,-0.0050146967282298505,24.0,10.0,102.0,1.0,1.0,-1.4,0.0,-0.05514557098436953,1.0,1.0,0.6,0.0,0.2564588560777439,0.425131908383494,-0.08164103518336832,-0.005209803278707419,0.08847370378950738,0.0,0.0,0.0,0.005514557098436953,True,True,True,True,3,3,True,0.8407562301803407,1.2339816075239387,-0.3879429285001141,0.037176239492556544,-0.1943229570767981,1.254946153042658,-0.13151431241156852,0.021223170442829467,0.4286817093537109,-0.05233233127616935,-0.732550869068049,0.4810140406298803,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.6887281868871065,True,3,neutral,sector,neutral
NEM.US,,,US,104542994432.0,0.0109,0.0,0.03484320557491294,0.03484320557491294,0.1925561527284186,33867000000.0,566000000.0,232900000.0,34665900000.0,0.331594672491885,Basic Materials,Gold,NYSE,Newmont Goldcorp Corp,Common Stock,USA,,1108000000.0,94.35288306137184,134.6075,87.9217,0.7009481868497064,-0.2990518131502936,1.073146709644739,0.0,9.0,22097000000.0,17500.0,1262685.7142857143,628514.2857142857,27.9188,2026-02-19,0.052788099693783654,0.052788099693783654,0.8064361896561512,0.6108495036238286,1.0,0.10715977522175948,15.0,1.0,1.0,3.3359251290525775,1.0,0.55,27.9188,0.1648718057878605,2026-02-19,0.04011279759048124,1.0,13.0,-0.0009217949190663864,-0.0025257180782419612,-0.3076923076923077,0.5984,1.0,0.882885955532613,0.4414429777663065,,,,0.0,,,,0.0,,0.0,0.0,-3.0121622893919135,ok,0.0,0.0,1.0,-0.041498600316605704,0.011752869605381067,8.0,1.0,0.1699574047005151,0.10312329564485605,0.07139365962011668,26.0,47.0,154.0,3.0,1.0,-1.4,0.0,-0.7092632993212507,1.0,1.0,0.6,0.0,0.4425820176219626,0.16327029653812358,-0.0783084204303195,0.12580110773207703,-0.038743941579112866,0.0,0.0,0.0,0.07340875147974944,True,True,True,True,3,3,True,1.2430982491747586,0.5326676315317582,-0.39659030132381357,1.6203516072315187,1.6433426581966672,-0.6691527043024675,-0.9358310363869311,-0.4826955622555702,0.06741939418727567,0.7748216215678995,-0.1416761398227863,0.7074022273806237,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.6880098113624804,True,4,neutral,sector,neutral
IRDM.US,,,US,2665901568.0,0.0236,0.0,0.09979798317082944,0.09979798317082944,0.26632935718521744,462600000.0,63521200.0,95320300.0,621441500.0,0.23310744382292212,Communication Services,Telecom Services,NASDAQ,Iridium Communications Inc,Common Stock,USA,,107837000.0,24.721585058931534,32.5963,22.0429,0.7584169080212029,-0.24158309197879713,1.1215214449519588,0.0,8.0,871659000.0,975.0,894009.2307692308,691366.1538461539,14.6723,2026-02-12,0.029744151496357896,0.029744151496357896,0.5276566206294347,0.548412489847313,1.0,0.10278810408921935,5.0,1.0,1.0,0.39456953309501425,1.0,0.03470000000000001,14.6723,0.08794394166171994,2026-02-12,0.055935335207738496,1.0,3.0,-0.017786259541984636,-0.07251908396946563,0.0,0.4408,0.75,0.29770992366412224,0.14885496183206112,,,,0.0,,,,0.0,,0.0,0.0,-3.238457575908721,ok,0.0,0.0,1.0,-0.03293177129311577,0.00924004058477817,8.0,1.0,0.9626308147560837,0.005301703336302643,-0.0024222496028649676,11.0,8.0,17.0,1.0,1.0,-1.4,0.0,-1.104820809687709,1.0,0.925,0.6,0.0,0.6141078005539043,0.07937909851897204,-0.11390809762365814,0.02421306566583071,-0.0426421650017034,0.0,0.0,0.0,0.11434895380267787,True,True,True,True,3,3,True,1.7248697445389336,0.258973477097556,-0.5768836417788109,0.7895514842158476,-0.40022535890697386,-0.7961940904953256,-1.5087611737607358,-0.7008804456146823,-0.4577155319837472,1.3850495421339009,-0.6877534085110335,1.842765074117648,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.6754986559160234,True,5,neutral,sector,neutral
SLAB.US,,,US,6799735808.0,0.0,0.0,-0.016464229132366226,-0.016464229132366226,0.3600227523936101,1094418000.0,1009244400.0,97367600.0,2201030000.0,0.32369345841502434,Technology,Semiconductors,NASDAQ,Silicon Laboratories Inc,Common Stock,USA,,32721000.0,207.80953540539716,208.835,146.9137,0.9950895942030653,-0.0049104057969346915,1.4145007266537917,1.0,5.0,784764000.0,1930.0,406613.4715025907,236778.75647668395,1.8182,2026-02-04,0.0,0.0,0.07260004247918374,0.0,1.0,0.25022070183182515,10.0,1.0,1.0,0.13584712216226502,1.0,0.010000000000000009,1.8182,0.07361215932167728,2026-02-04,0.32165112653751543,1.0,8.0,0.027144408251900065,0.02762697550971157,0.375,1.0,1.0,0.20026541199179637,0.10013270599589819,,,,0.0,,,,0.0,,0.0,0.0,,pathological_clipped,0.0,1.0,1.0,-0.008748866152021263,0.02670298063094852,8.0,1.0,0.976884861024576,0.00922631689465614,0.0008131511129760849,13.0,6.0,17.0,2.0,1.0,-1.4,0.0,0.8153984200944879,1.0,1.0,0.6,0.0,-0.04797970674925498,0.5532535238436955,0.23050259712332735,-0.06338693738866559,0.050371315027523615,0.0,0.0,0.0,-0.0815398420094488,True,True,True,True,3,2,True,-0.15729321259794313,1.6058655190498836,1.0953052267656982,-0.29224091632499777,-1.2474614284025456,0.7144867379790585,,0.8153984200944879,0.44452418930023013,-0.28458158266441497,-0.3048549543388386,0.7291057719646451,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.641220949847177,True,6,neutral,sector,neutral
CTVA.US,,,US,52254355456.0,0.0093,0.0093,0.03280067241379314,0.042100672413793144,0.17703349282296652,24144000000.0,4121600000.0,2016400000.0,30282000000.0,0.5795115016871369,Basic Materials,Agricultural Inputs,NYSE,Corteva Inc,Common Stock,USA,,673170732.0,77.62422365088801,80.905,70.5713,0.9594490285011805,-0.04055097149881948,1.0999403957541949,1.0,6.0,17401000000.0,21500.0,809348.8372093023,352790.6976744186,0.0,2026-02-03,0.0,0.0,0.0,0.0,1.0,0.0004348869293983418,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21539208434852014,2026-02-03,0.12889542604730692,1.0,4.0,-0.03573667711598742,-0.015673981191222656,0.0,0.6484,1.0,0.27272727272727276,0.13636363636363638,,,,0.0,,,,0.0,,0.0,0.0,-2.662998233889474,ok,0.0,0.0,1.0,-0.11587079477440825,0.06409498256812797,8.0,1.0,0.9302774572598297,0.01922272613634768,0.004141490636736966,15.0,9.0,25.0,2.0,1.0,-1.4,0.0,0.9740879662011365,1.0,1.0,0.6,0.0,0.5531378936061542,0.09109797713534308,0.12232131163761188,-0.04099705479993495,0.012991029103305322,0.0,0.0,0.0,-0.10081810450181762,True,True,True,True,3,3,True,1.553621068448721,0.2972061957803016,0.6194920747233194,-0.41118024705829115,-0.7108544610166742,0.2243701054111455,-0.05182406759772704,2.0,-0.4591590289780242,0.56350632960419,0.48635865077996027,0.07714767882422974,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.6377330521806618,True,7,neutral,sector,neutral
HAS.US,,,US,12817880064.0,0.0307,0.0307,0.0007127583749109156,0.03141275837491092,0.5949747838616715,538500000.0,991320000.0,837920000.0,2367740000.0,0.1847216535166357,Consumer Cyclical,Leisure,NASDAQ,Hasbro Inc,Common Stock,USA,,140200000.0,91.4256780599144,106.2475,81.4319,0.8604972169690054,-0.13950278303099461,1.1227255910756646,1.0,6.0,4701300000.0,4520.0,1040110.6194690266,730818.5840707965,58.847,2026-02-17,0.00037947820011000153,0.00037947820011000153,0.9821115013946504,0.5923182505897684,1.0,0.0006523353605909105,14.0,1.0,1.0,2.214073685021352,1.0,0.5594,58.847,0.2526564512213175,2026-02-17,0.10940357485403979,1.0,15.0,-0.001584405607835609,0.020069137699251,0.06666666666666667,0.3808,1.0,0.12163113757121834,0.06081556878560917,,,,0.0,,,,0.0,,0.0,0.0,-3.5431721507577407,ok,0.0,0.0,1.0,-0.036410265672127004,0.051003272609834054,8.0,1.0,0.9845431099679172,0.002768703033410924,-0.005846451712184342,21.0,7.0,36.0,1.0,1.0,-1.4,0.0,0.0,1.0,1.0,0.6,0.0,0.2622551219402797,0.46479950719911406,-0.1946129181555863,0.032740716765461024,-0.024399657339294667,0.0,0.0,0.0,-0.0,True,True,True,True,3,3,True,0.7366067077753246,1.5164035215619869,-0.9856104289768998,0.17811929206205793,0.7930774338454176,-0.42141031674084056,-2.0,2.0,0.30313838424186623,1.304811396188097,-0.9019382157002481,1.0016730119462307,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5407827704099739,True,8,neutral,sector,neutral
EME.US,,,US,32452116480.0,0.0022,0.0022,0.037536318578020866,0.03973631857802087,0.3465886784850969,3673944000.0,,914401600.0,4588345600.0,0.14138817734207762,Industrials,Engineering & Construction,NYSE,EMCOR Group Inc,Common Stock,USA,,45051000.0,720.3417566757674,835.0,641.6382,0.8626847385338532,-0.1373152614661468,1.1226603351791826,1.0,6.0,16990000000.0,44000.0,386136.36363636365,75622.72727272728,7.6138,2026-02-26,6.734284389903672e-05,6.734284389903672e-05,0.29547277056954124,0.6803950000871885,1.0,0.0003349753694581174,4.0,1.0,1.0,1.2053506059678873,1.0,0.5087000000000002,7.6138,0.42203488137090034,2026-02-26,0.24622514919377897,1.0,9.0,-0.00023756354824916565,0.04708509526298283,0.5555555555555556,0.4596,1.0,0.1452020082038613,0.07260100410193066,,,,0.0,,,,0.0,,0.0,0.0,,pathological_clipped,0.0,1.0,1.0,-0.010154654709230167,0.017885189602977716,8.0,1.0,0.9959192888349228,0.00037619935280563954,-0.0008197935825716707,22.0,13.0,68.0,1.0,1.0,-1.4,0.0,0.04976387387246259,1.0,1.0,0.6,0.0,0.3177298906679617,0.256281400211074,-0.14954427033979142,-0.027097286007408735,0.05810162523270449,0.0,0.0,0.0,-0.005150560945799878,True,True,True,True,3,3,True,0.892420963965145,0.8361153825931815,-0.7573618125534923,-0.43184626923767305,-0.2297333813575038,1.0034823010829792,,0.04976387387246259,0.1953439859180325,0.770125769883794,-0.9109193601062713,0.5747817839657615,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.45032079881874015,True,9,neutral,sector,neutral
WTS.US,,,US,9653908480.0,0.0072,0.0,0.0,0.0,0.41857559350270723,2027700000.0,129459999.4,368550000.0,2525709999.4,0.2616256415349817,Industrials,Specialty Industrial Machinery,NYSE,Watts Water Technologies Inc,Common Stock,USA,,33500000.0,288.17637253731345,344.6212,278.724,0.8362119699464614,-0.1637880300535386,1.0339130198236013,0.0,6.0,2438500000.0,5700.0,427807.01754385966,211578.94736842104,12.931,2026-02-16,0.00020188460750165667,0.00020188460750165667,0.47556702990224436,0.5832645197880583,1.0,0.0007278232262948251,11.0,1.0,1.0,2.631174057921089,1.0,0.30000000000000027,12.931,0.11401754250991385,2026-02-16,0.2754826926824059,1.0,9.0,0.05872671269917156,0.05982396877522717,0.6666666666666666,0.3356,1.0,0.03370143662170527,0.016850718310852636,,,,0.0,,,,0.0,,0.0,0.0,-2.4453234272124154,ok,0.0,0.0,1.0,-0.025327292833446296,0.015353907706561714,8.0,1.0,0.992765825887261,0.0010674322782839862,0.00011012231949714124,12.0,8.0,19.0,1.0,1.0,-1.4,0.0,0.16462882933330542,1.0,1.0,0.6,0.0,-0.12781834743945164,0.48163779338193025,-0.02389618429522038,0.007877864179461673,0.09397089138336795,0.0,0.0,0.0,-0.016462882933330543,True,True,True,True,3,2,True,-0.41903045808056366,1.397994755984287,-0.11355019806699804,-0.4271882325187424,0.8503000131254984,1.3329204451541554,0.49928090154196764,-0.17002324287535678,0.7124307349103979,0.3108249827215078,-0.6562729367185697,0.40160575218889005,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.4153091342767573,True,10,neutral,sector,neutral
