symbol,error,error_stage,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,company_name,asset_type,country,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
KEYS.US,,,US,47601324032.0,0.0,0.0,0.011428571428571455,0.011428571428571455,0.2954927831399982,5877000000.0,2770000000.0,851900000.0,9498900000.0,0.1995511720139205,Technology,Scientific & Technical Instruments,NYSE,Keysight Technologies Inc,Common Stock,USA,,173000000.0,275.1521620346821,317.0,193.736,0.8679878928538867,-0.13201210714611333,1.4202428151437114,1.0,5.0,5375000000.0,16600.0,323795.1807228916,201024.09638554216,9.596,2026-02-24,0.010062282402038016,0.010062282402038016,0.36603763520820154,0.6597539553864471,1.0,0.041666666666666664,12.0,1.0,1.0,1.0904255325825654,1.0,0.18999999999999995,9.596,0.17424390233233414,2026-02-24,0.3807785479050586,1.0,13.0,0.09256002969736044,0.09378113826856566,0.8461538461538461,0.6204,1.0,0.1570345622569994,0.0785172811284997,0.2326656394453004,0.10256410256410264,0.13010153688119774,1.0,,,,0.0,0.22695359234227275,1.0,1.0,-2.69447419510423,ok,0.0,0.0,1.0,-0.014051110915956793,0.017556487143200235,8.0,1.0,0.9873103051451303,-0.0001861050475183701,-0.0050146967282298505,24.0,10.0,102.0,1.0,1.0,-1.4,0.0,-0.05514557098436896,1.0,1.0,1.0,0.865,0.19681726164105928,0.32626402271291405,-0.06265474793142221,-0.005209803278707419,0.08847370378950738,0.10832905552962316,0.023143772079868088,0.0,0.0055145570984368964,True,True,True,True,3,3,True,0.8407562301803407,1.2339816075239387,-0.3879429285001141,0.037176239492556544,-0.1943229570767981,1.254946153042658,0.7720781907594734,1.0445713144017947,0.24603039882924022,-0.13151431241156739,0.021223170442829464,1.0712442019890052,-0.22681381933589262,-0.228743712946168,1.2980580213248978,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.6806778216412792,True,1,neutral,sector,neutral
SLAB.US,,,US,6799735808.0,0.0,0.0,-0.016464229132366226,-0.016464229132366226,0.3600227523936101,1094418000.0,1009244400.0,97367600.0,2201030000.0,0.32369345841502434,Technology,Semiconductors,NASDAQ,Silicon Laboratories Inc,Common Stock,USA,,32721000.0,207.80953540539716,208.835,146.9137,0.9950895942030653,-0.0049104057969346915,1.4145007266537917,1.0,5.0,784764000.0,1930.0,406613.4715025907,236778.75647668395,1.8182,2026-02-04,0.0,0.0,0.07260004247918374,0.0,1.0,0.25022070183182515,10.0,1.0,1.0,0.13584712216226502,1.0,0.010000000000000009,1.8182,0.07361215932167728,2026-02-04,0.32165112653751543,1.0,8.0,0.027144408251900065,0.02762697550971157,0.375,1.0,1.0,0.20026541199179637,0.10013270599589819,0.25237445037263373,0.23801195949397513,0.014362490878658596,1.0,,,,0.0,0.2677068302960375,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.008748866152021263,0.02670298063094852,8.0,1.0,0.976884861024576,0.00922631689465614,0.0008131511129760849,13.0,6.0,17.0,2.0,1.0,-1.4,0.0,0.8153984200944878,1.0,1.0,1.0,0.865,-0.03682163541221894,0.42458991364748727,0.17689734197836754,-0.06338693738866559,0.050371315027523615,0.06370213324338543,0.04760290608196908,0.0,-0.08153984200944879,True,True,True,True,3,2,True,-0.15729321259794313,1.6058655190498836,1.0953052267656982,-0.29224091632499777,-1.2474614284025456,0.7144867379790585,0.8984236797267856,0.25064574356412594,0.5060437826798919,,0.8153984200944878,0.8874503346044983,-0.40331767862278955,0.17812559893715477,0.7093247356673436,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.5814151951683996,True,2,neutral,sector,neutral
HAS.US,,,US,12817880064.0,0.0307,0.0307,0.0007127583749109156,0.03141275837491092,0.5949747838616715,538500000.0,991320000.0,837920000.0,2367740000.0,0.1847216535166357,Consumer Cyclical,Leisure,NASDAQ,Hasbro Inc,Common Stock,USA,,140200000.0,91.4256780599144,106.2475,81.4319,0.8604972169690054,-0.13950278303099461,1.1227255910756646,1.0,6.0,4701300000.0,4520.0,1040110.6194690266,730818.5840707965,58.847,2026-02-17,0.00037947820011000153,0.00037947820011000153,0.9821115013946504,0.5923182505897684,1.0,0.0006523353605909105,14.0,1.0,1.0,2.214073685021352,1.0,0.5594,58.847,0.2526564512213175,2026-02-17,0.10940357485403979,1.0,15.0,-0.001584405607835609,0.020069137699251,0.06666666666666667,0.3808,1.0,0.12163113757121834,0.06081556878560917,0.31254538852578073,0.08288457035822994,0.2296608181675508,1.0,,,,0.0,0.030945660138333886,1.0,1.0,-3.5431721507577407,ok,0.0,0.0,1.0,-0.036410265672127004,0.051003272609834054,8.0,1.0,0.9845431099679172,0.002768703033410924,-0.005846451712184342,21.0,7.0,36.0,1.0,1.0,-1.4,0.0,0.0,1.0,1.0,1.0,0.865,0.20126555869835422,0.35670659854815734,-0.14935409997986857,0.032740716765461024,-0.02439965733929468,0.1368773574969557,-0.017525466558663768,0.0,-0.0,True,True,True,True,3,3,True,0.7366067077753246,1.5164035215619869,-0.9856104289768998,0.17811929206205793,0.7930774338454176,-0.42141031674084084,0.9393997708477436,1.8579745697756782,-0.20995497389755627,-2.0,2.0,1.0260616397965596,1.1702694178123119,-0.7600440374983564,0.14420777801575224,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5363110076311012,True,3,neutral,sector,neutral
NEM.US,,,US,104542994432.0,0.0109,0.0,0.03484320557491294,0.03484320557491294,0.1925561527284186,33867000000.0,566000000.0,232900000.0,34665900000.0,0.331594672491885,Basic Materials,Gold,NYSE,Newmont Goldcorp Corp,Common Stock,USA,,1108000000.0,94.35288306137184,134.6075,87.9217,0.7009481868497064,-0.2990518131502936,1.073146709644739,0.0,9.0,22097000000.0,17500.0,1262685.7142857143,628514.2857142857,27.9188,2026-02-19,0.052788099693783654,0.052788099693783654,0.8064361896561512,0.6108495036238286,1.0,0.10715977522175948,15.0,1.0,1.0,3.3359251290525775,1.0,0.55,27.9188,0.1648718057878605,2026-02-19,0.04011279759048124,1.0,13.0,-0.0009217949190663864,-0.0025257180782419612,-0.3076923076923077,0.5984,1.0,0.882885955532613,0.4414429777663065,0.34900431122972697,0.16956521739130426,0.17943909383842271,1.0,,,,0.0,-0.05712277333352247,1.0,1.0,-3.0121622893919135,ok,0.0,0.0,1.0,-0.041498600316605704,0.011752869605381067,8.0,1.0,0.1699574047005151,0.10312329564485605,0.07139365962011668,26.0,47.0,154.0,3.0,1.0,-1.4,0.0,-0.7092632993212501,1.0,1.0,1.0,0.865,0.33965596701220385,0.12530046013390883,-0.06009715986512893,0.12580110773207703,-0.038743941579112866,0.0745075511355708,-0.10476888787641477,0.0,0.07340875147974939,True,True,True,True,3,3,True,1.2430982491747586,0.5326676315317582,-0.39659030132381357,1.6203516072315187,1.6433426581966672,-0.6691527043024675,0.6324572933627702,0.9122792667750669,-1.2551305864376263,-0.93583103638693,-0.48269556225557014,0.7019327202560327,0.6939854766355893,-0.21603416889388952,0.007947243620443412,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5350638481728532,True,4,neutral,sector,neutral
EBAY.US,,,US,40218959872.0,0.0139,0.0139,0.08183632734530943,0.09573632734530943,0.4503691084611016,4615000000.0,4548600000.0,661800000.0,9825400000.0,0.24429771508935358,Consumer Cyclical,Internet Retail,NASDAQ,eBay Inc,Common Stock,USA,,460000000.0,87.43252146086957,100.4288,87.1917,0.8705921156169303,-0.12940788438306972,1.0027619768953877,1.0,6.0,11100000000.0,12300.0,902439.0243902439,644796.7479674796,4.4444,2026-02-25,6.472575029937945e-06,6.472575029937945e-06,0.17592654770401586,0.6699949944086782,1.0,5.491287157705098e-05,30.0,1.0,1.0,1.224744871391586,1.0,0.05999999999999983,4.4444,0.04898979485566354,2026-02-25,0.11610806986991037,1.0,31.0,4.4982906495560037e-05,0.03456186649073354,0.03225806451612903,0.4272,1.0,0.11995441732141783,0.059977208660708915,0.14967041488949206,0.09472049689440998,0.05494991799508209,1.0,,,,0.0,-0.04349747455207239,1.0,1.0,-1.9151047515285482,ok,0.0,0.0,1.0,-0.003107256857150928,0.015406533755558291,8.0,1.0,0.9784913184613874,0.0029478701389251682,0.00017280222576432358,22.0,9.0,67.0,1.0,1.0,-1.4,0.0,0.6804379836197948,1.0,1.0,1.0,0.865,0.6380574489244718,0.1814381568659774,-0.12002641539178759,0.009740218828766587,-0.020404188981907788,-0.00836699205242068,-0.08593489340690728,0.0,-0.07042533130464876,True,True,True,True,3,3,True,2.33521025585994,0.7713158689441507,-0.7920725763725595,0.07142794312477198,0.20827967950865112,-0.35240395478251796,-0.18675258435875677,-0.007758766837595359,-1.029499456790048,1.526329775319413,-0.16545380807982327,0.021749408376750948,1.6995024555296425,-0.8824614800126294,1.6777530471528916,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5240780034815438,True,5,neutral,sector,neutral
INCY.US,,,US,18066534400.0,0.0,0.0,0.04669168289554937,0.04669168289554937,0.6758471181190269,5167478000.0,5971611000.0,773390000.0,11912479000.0,0.659367133521745,Healthcare,Biotechnology,NASDAQ,Incyte Corporation,Common Stock,USA,,200700000.0,90.01761036372696,112.29,89.6732,0.8016529554165728,-0.19834704458342722,1.0038407279290464,1.0,7.0,5141242000.0,2844.0,1807750.35161744,1653490.1547116737,-5.7592,2026-02-10,-0.000100044813129514,-0.000100044813129514,-0.22637752253517346,0.5317753794688818,1.0,0.0008310612798343766,19.0,1.0,1.0,-0.4044534509691376,1.0,-0.10999999999999988,-5.7592,0.2719719654670312,2026-02-10,0.041412045205933945,1.0,21.0,-0.003353182632826492,-0.0006590738278313175,-0.38095238095238093,0.6556,1.0,0.7758570850436491,0.38792854252182457,0.2783893753955635,0.20047000055366548,0.07791937484189804,1.0,,,,0.0,-0.06692499245031934,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.03672726646066635,0.03327112552901303,8.0,1.0,0.9567206541434722,0.0073187852009960475,-0.0019468306701864169,17.0,8.0,29.0,1.0,1.0,-1.4,0.0,1.3856998280773198,1.0,1.0,1.0,0.865,0.2743165638081293,0.38163613064107466,0.17313270537429726,-0.05348896537791939,-0.02432437871903994,0.03170679129658314,-0.11759373832238479,0.0,-0.1434199322060026,True,True,True,True,3,3,True,1.0039642264764606,1.6223820215685931,1.1425290637276986,-0.7847334007101787,-0.5550555135046602,-0.42011016785906635,0.1801617810010968,0.46102457873156866,-1.408772210277454,,1.3856998280773198,-0.14601234200869653,1.9084421029165064,0.04434797514860292,1.8640941277679035,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.5219651764947377,True,6,neutral,sector,neutral
OGS.US,,,US,5258026496.0,0.0324,0.0324,-0.06101730577034359,-0.02861730577034359,0.1531362040308113,3440123000.0,,376040000.0,3816163000.0,0.7257785792641239,Utilities,Utilities - Regulated Gas,NYSE,One Gas Inc,Common Stock,USA,,60513000.0,86.89085809660735,88.03,78.5232,0.987059617137423,-0.012940382862577038,1.106562876915451,1.0,7.0,2427428000.0,4000.0,606857.0,357128.75,0.7092,2026-02-25,0.0013572372294325264,0.0013572372294325264,0.028360392794912582,0.6699949944086782,1.0,0.07142857142857142,7.0,1.0,1.0,0.2006836898274336,1.0,0.010000000000000009,0.7092,0.04982965984230674,2026-02-25,0.0921928629524851,1.0,6.0,0.009711080282284864,0.010374570239459487,0.16666666666666666,0.1892,1.0,0.03820093692824245,0.019100468464121226,0.0930215965359289,0.11376976362963354,-0.02074816709370464,1.0,,,,0.0,0.06473673599314116,1.0,1.0,-2.527270049322791,ok,0.0,0.0,1.0,0.0048552462901013446,0.008317464768256708,8.0,1.0,0.9876114253393666,0.0028309483075644737,0.0030590329195979704,8.0,6.0,9.0,1.0,1.0,-1.4,0.0,-0.2445881116855875,1.0,1.0,1.0,0.865,-0.4326478382088776,0.49423875183001986,0.21521926769953958,0.01564627571242994,-0.02812240523080425,0.04321597046737772,0.1809311529557262,0.0,0.028739103123056532,True,True,True,True,3,2,True,-1.684882777841822,2.2824867181462474,1.152861799103223,0.22613499731868775,0.19662886403669239,-0.5136512370923151,0.5043447885579725,0.3465280973261335,1.8634206053861626,0.2918099895946727,-0.7809862129658477,-0.0956318427222361,-0.5766100880830198,0.9343450403705609,1.029976883092797,recovery,0.35,0.38906387803956155,0.3280836588131536,0.28285246314728485,0.9125,1.035,1.1225,0.9125,1.175,0.517220278348468,True,7,neutral,sector,neutral
IRDM.US,,,US,2665901568.0,0.0236,0.0,0.09979798317082944,0.09979798317082944,0.26632935718521744,462600000.0,63521200.0,95320300.0,621441500.0,0.23310744382292212,Communication Services,Telecom Services,NASDAQ,Iridium Communications Inc,Common Stock,USA,,107837000.0,24.721585058931534,32.5963,22.0429,0.7584169080212029,-0.24158309197879713,1.1215214449519588,0.0,8.0,871659000.0,975.0,894009.2307692308,691366.1538461539,14.6723,2026-02-12,0.029744151496357896,0.029744151496357896,0.5276566206294347,0.548412489847313,1.0,0.10278810408921935,5.0,1.0,1.0,0.39456953309501425,1.0,0.03470000000000001,14.6723,0.08794394166171994,2026-02-12,0.055935335207738496,1.0,3.0,-0.017786259541984636,-0.07251908396946563,0.0,0.4408,0.75,0.29770992366412224,0.14885496183206112,-0.00023944673718612197,0.06656922230943119,-0.06680866904661731,1.0,,,,0.0,-0.0055651429738057395,1.0,1.0,-3.238457575908721,ok,0.0,0.0,1.0,-0.03293177129311577,0.00924004058477817,8.0,1.0,0.9626308147560837,0.005301703336302643,-0.0024222496028649676,11.0,8.0,17.0,1.0,1.0,-1.4,0.0,-1.1048208096877086,1.0,0.925,1.0,0.865,0.4712920329832289,0.06091884304944356,-0.0874178423623423,0.02421306566583069,-0.0426421650017034,-0.03792403672434706,-0.05541316950091825,0.0,0.11434895380267783,True,True,True,True,3,3,True,1.7248697445389334,0.2589734770975556,-0.5768836417788109,0.7895514842158473,-0.40022535890697386,-0.7961940904953256,-0.6444037252179873,-0.20049456253998804,-0.6638494055038275,-1.5087611737607347,-0.7008804456146822,-0.7231543144667232,1.4382914686630908,-0.8837899442679883,2.161445783129814,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.44737568191187005,True,8,neutral,sector,neutral
CTVA.US,,,US,52254355456.0,0.0093,0.0093,0.03280067241379314,0.042100672413793144,0.17703349282296652,24144000000.0,4121600000.0,2016400000.0,30282000000.0,0.5795115016871369,Basic Materials,Agricultural Inputs,NYSE,Corteva Inc,Common Stock,USA,,673170732.0,77.62422365088801,80.905,70.5713,0.9594490285011805,-0.04055097149881948,1.0999403957541949,1.0,6.0,17401000000.0,21500.0,809348.8372093023,352790.6976744186,0.0,2026-02-03,0.0,0.0,0.0,0.0,1.0,0.0004348869293983418,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21539208434852014,2026-02-03,0.12889542604730692,1.0,4.0,-0.03573667711598742,-0.015673981191222656,0.0,0.6484,1.0,0.27272727272727276,0.13636363636363638,-0.017094017094017144,0.12553740326741192,-0.14263142036142906,1.0,,,,0.0,0.05076841721563986,1.0,1.0,-2.662998233889474,ok,0.0,0.0,1.0,-0.11587079477440825,0.06409498256812797,8.0,1.0,0.9302774572598297,0.01922272613634768,0.004141490636736966,15.0,9.0,25.0,2.0,1.0,-1.4,0.0,0.974087966201137,1.0,1.0,1.0,0.865,0.42450117416286254,0.06991240105735633,0.09387449497770216,-0.04099705479993495,0.012991029103305322,-0.045518613194987526,0.030895534778433653,0.0,-0.10081810450181768,True,True,True,True,3,3,True,1.553621068448721,0.2972061957803016,0.6194920747233194,-0.41118024705829115,-0.7108544610166742,0.2243701054111455,-0.37833231906755627,-0.5639236064426884,0.37012830307506844,-0.05182406759772592,2.0,-0.8630962267480395,0.6402219661200946,0.34190877388293756,0.2983131922371571,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.44484086158291986,True,9,neutral,sector,neutral
EME.US,,,US,32452116480.0,0.0022,0.0022,0.037536318578020866,0.03973631857802087,0.3465886784850969,3673944000.0,,914401600.0,4588345600.0,0.14138817734207762,Industrials,Engineering & Construction,NYSE,EMCOR Group Inc,Common Stock,USA,,45051000.0,720.3417566757674,835.0,641.6382,0.8626847385338532,-0.1373152614661468,1.1226603351791826,1.0,6.0,16990000000.0,44000.0,386136.36363636365,75622.72727272728,7.6138,2026-02-26,6.734284389903672e-05,6.734284389903672e-05,0.29547277056954124,0.6803950000871885,1.0,0.0003349753694581174,4.0,1.0,1.0,1.2053506059678873,1.0,0.5087000000000002,7.6138,0.42203488137090034,2026-02-26,0.24622514919377897,1.0,9.0,-0.00023756354824916565,0.04708509526298283,0.5555555555555556,0.4596,1.0,0.1452020082038613,0.07260100410193066,0.19805735727061324,0.16354271821654986,0.03451463905406338,1.0,,,,0.0,0.031668876353317325,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.010154654709230167,0.017885189602977716,8.0,1.0,0.9959192888349228,0.00037619935280563954,-0.0008197935825716707,22.0,13.0,68.0,1.0,1.0,-1.4,0.0,0.04976387387246258,1.0,1.0,1.0,0.865,0.24383921841959855,0.19668107458059172,-0.11476653305146785,-0.02709728600740874,0.05810162523270449,0.07986783749005752,-0.0063854582949739854,0.0,-0.005150560945799877,True,True,True,True,3,3,True,0.8924209639651451,0.8361153825931817,-0.7573618125534923,-0.43184626923767316,-0.2297333813575038,1.0034823010829792,0.9963918938243314,0.7173744901342783,-0.07649774830002677,,0.04976387387246258,0.41366979591933706,0.7424685373149555,-0.9282379886578502,0.3287987413956185,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.4250899174233019,True,10,neutral,sector,neutral
