symbol,region,market_cap,dividend_yield,safe_dividend_yield,buyback_yield,shareholder_yield,gross_profitability,base_book_equity,rd_asset_5y,sga_asset_3y_30pct,adjusted_book,adjusted_book_to_market,sector,industry,exchange,listing_exchanges,currency_code,currency_name,company_name,asset_type,country,country_iso,isin,primary_ticker,home_category,international_domestic,payout_ratio,shares_outstanding,price_proxy,52_week_high,200_day_ma,recency_ratio,distance_from_high,price_to_200dma,dividend_safety_pass,piotroski_score,total_revenue,full_time_employees,revenue_per_employee,gross_profit_per_employee,earnings_surprise_pct,earnings_report_date,pead_signal,pead_signal_v2,pead_surprise_component,pead_decay_component,pead_breadth_component,pead_revision_component,pead_analyst_count,pead_filter_pass,pead_has_setup_coverage,sue_signal,sue_has_coverage,sue_surprise_raw,sue_surprise_pct,sue_std_error,sue_report_date,revision_impulse_signal,revision_impulse_has_coverage,revision_impulse_analyst_count,revision_impulse_drift_7d,revision_impulse_drift_30d,revision_impulse_breadth,revision_impulse_growth_component,revision_impulse_coverage_component,revision_impulse_disagreement,revision_impulse_disagreement_penalty,revenue_growth_yoy,revenue_growth_yoy_prev,revenue_acceleration,revenue_growth_has_coverage,price_momentum_1m,price_momentum_6m,price_momentum_6m_ex_1m,price_momentum_has_coverage,price_momentum_effective_signal,price_momentum_signal_coverage,price_momentum_proxy_used,beneish_m_score,beneish_data_status,beneish_is_missing,beneish_is_pathological_clipped,beneish_hard_filter_pass,accrual_ratio,accrual_volatility,accrual_measure_count,accrual_is_quarterly,listing_symbol,analysis_symbol,listing_exchange,listing_currency_code,listing_currency_name,listing_country,listing_country_iso,analysis_exchange,analysis_currency_code,analysis_currency_name,analysis_country,analysis_country_iso,error,error_stage,sentiment_latest,sentiment_speed,sentiment_acceleration,sentiment_count_days,sentiment_article_count_recent,sentiment_article_count_total,sentiment_latest_count,sentiment_filter_pass,news_event_signal,news_event_effective_signal,news_event_breadth,news_article_count_recent,news_positive_article_share,news_negative_article_share,news_novelty_score,news_saturation_score,news_peer_spillover_signal,news_confirmation_signal,news_macro_multiplier,news_unique_title_ratio,news_novelty_multiplier,news_saturation_multiplier,news_peer_coverage,news_confirmation_coverage,beneish_hard_filter_threshold,beneish_missing_penalty_applied,forensic_penalty,earnings_signal_confidence,revision_signal_confidence,growth_signal_confidence,momentum_signal_confidence,news_signal_confidence,contrib_shareholder_yield,contrib_gross_profitability,contrib_adjusted_book_to_market,contrib_earnings,contrib_revision_impulse,contrib_growth,contrib_momentum,contrib_news_event,contrib_employee_efficiency,contrib_forensic,passes_size,passes_trend_gate,passes_quality_gate,passes_forensic_gate,factor_non_null_count,factor_positive_count,passes_factor_gate,z_shareholder_yield,z_gross_profitability,z_adjusted_book_to_market,z_pead_signal,z_sue_signal,z_revision_impulse_signal,z_revenue_growth_yoy,z_revenue_acceleration,z_price_momentum_effective_signal,z_beneish_risk,z_accrual_volatility_risk,life_cycle_growth_score,life_cycle_mature_score,life_cycle_recovery_score,life_cycle_confidence,life_cycle_stage,life_cycle_tilt_strength_applied,life_cycle_core_weight_shareholder_yield,life_cycle_core_weight_gross_profitability,life_cycle_core_weight_adjusted_book_to_market,life_cycle_pead_multiplier,life_cycle_growth_multiplier,life_cycle_momentum_multiplier,life_cycle_revision_impulse_multiplier,life_cycle_forensic_multiplier,news_own_confidence,news_has_coverage,composite_score,sentiment_has_coverage,rank,regime,neutralize_by,macro_state
RNG.US,US,3234925056.0,0.0079,0.0079,0.04506568233633701,0.052965682336337014,1.2090384115616066,-588119000.0,988812200.0,162267100.0,562960300.0,0.17402576265432965,Technology,Software - Application,NYSE,"F,US",USD,US Dollar,Ringcentral Inc,Common Stock,USA,US,US76680R2067,RNG.US,Domestic,Domestic,,87959000.0,36.77764704009823,42.3443,29.8665,0.8685383166116392,-0.13146168338836084,1.2314013038052076,1.0,8.0,2515142000.0,7378.0,340897.53320683114,242767.14556790458,3.5088,2026-02-19,0.0,0.0,0.13943762092275472,0.0,1.0,0.43741894770969386,16.0,1.0,1.0,2.043057867843106,1.0,0.040000000000000036,3.5088,0.019578495856423673,2026-02-19,0.1765610986324637,1.0,14.0,0.0,0.0,0.35714285714285715,0.45,1.0,0.2500138896605368,0.1250069448302684,0.04803974535891897,0.04909940617479647,-0.0010596608158774945,1.0,,,,0.0,0.10439925828745866,1.0,1.0,-4.437832301300082,ok,0.0,0.0,1.0,-0.08812683557438655,0.009716118276838041,8.0,1.0,RNG.US,RNG.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9834652527263911,0.005403458790955162,1.4690796900196368e-05,13.0,9.0,22.0,2.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-1.3211147082218029,1.0,1.0,1.0,0.865,0.0,0.33401061289300893,0.6736196567967176,-0.09334155364904738,0.014938971634603617,-0.01020851469867517,-0.02926484139933007,-0.01427402494184394,0.0,0.0,0.1367353723009566,True,True,True,True,3,3,True,1.2224369609798995,2.8636398202821987,-0.6159751138121308,0.1394665542954257,0.27457515672407695,-0.17631286180786132,-0.5502523979343913,-0.11136396800004719,-0.17100272475179176,-2.0,-0.6422294164436059,0.2842941845821864,1.5975207194819459,-1.3155392807749633,1.3132265348997594,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,1.0122156789363903,True,1,neutral,sector,neutral
FDX.US,US,86287360000.0,0.016,0.016,0.031872509960159334,0.047872509960159335,0.2167710865372545,28074000000.0,,13348400000.0,41422400000.0,0.4800517711980063,Industrials,Integrated Freight & Logistics,NYSE,US,USD,US Dollar,FedEx Corporation,Common Stock,USA,US,US31428X1063,FDX.US,Domestic,International/Domestic,,243000000.0,355.09201646090537,391.2736,277.4436,0.9075286869875846,-0.0924713130124154,1.2798709952613987,1.0,5.0,87926000000.0,300000.0,293086.6666666667,63316.666666666664,25.5981,2026-03-19,0.0568780976154105,0.0568780976154105,0.771459980851157,0.757858283255199,1.0,0.09728450161529141,23.0,1.0,1.0,2.0687737931332864,1.0,1.0700000000000003,25.5981,0.5172145952116973,2026-03-19,0.2746697405202701,1.0,30.0,0.00037193378682361464,0.028925693902974503,0.6666666666666666,0.5436,1.0,0.2273142795687361,0.11365713978436805,0.08303249097472931,0.06837529020803923,0.014657200766690082,1.0,,,,0.0,0.14955118736556378,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.010189545113476951,0.002918433964184857,8.0,1.0,FDX.US,FDX.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.6427867368110555,0.030185416534610154,0.08488833814466046,27.0,14.0,232.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-1.0934441182894947,1.0,1.0,1.0,0.865,0.0,0.2823735787280786,-0.04264810721383993,0.08884307331061111,0.12881380128993616,0.09142743154882922,0.03622597270349547,0.1436668736477195,0.0,0.0,0.1131714662429627,True,True,True,True,3,3,True,1.0334518907994725,-0.18130233707546345,0.5862889576456248,2.0,1.171431388922803,1.579057539703441,0.2906770393249357,0.4573227237088707,1.7211281996791696,,-1.0934441182894947,0.24744772431361506,0.2751969196823889,-0.21503724670361435,0.02774919536877385,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.8418740902577928,True,2,neutral,sector,neutral
IRDM.US,US,3448879104.0,0.0183,0.0183,0.09979798317082944,0.11809798317082944,0.26632935718521744,462600000.0,63521200.0,95320300.0,621441500.0,0.180186513142561,Communication Services,Telecom Services,NASDAQ,US,USD,US Dollar,Iridium Communications Inc,Common Stock,USA,US,US46269C1027,IRDM.US,Domestic Primary,Domestic,,107837000.0,31.98233541363354,32.94,22.0474,0.9709270010210547,-0.02907299897894533,1.4506170983260402,1.0,8.0,871659000.0,975.0,894009.2307692308,691366.1538461539,14.6723,2026-02-12,0.0,0.0,0.5276566206294347,0.0,1.0,0.10278810408921935,5.0,1.0,1.0,0.39456953309501425,1.0,0.03470000000000001,14.6723,0.08794394166171994,2026-02-12,0.055935335207738496,1.0,3.0,-0.017786259541984636,-0.07251908396946563,0.0,0.4408,0.75,0.29770992366412224,0.14885496183206112,-0.00023944673718612197,0.06656922230943119,-0.06680866904661731,1.0,,,,0.0,0.28272556426929535,1.0,1.0,-3.238457575908721,ok,0.0,0.0,1.0,-0.03293177129311577,0.00924004058477817,8.0,1.0,IRDM.US,IRDM.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.8524848650275286,0.05084976664195573,0.21828213904417026,10.0,13.0,19.0,3.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-1.1534098986183592,1.0,0.925,1.0,0.865,0.0,0.4910608508597107,0.25723903017631444,-0.17663783570524438,-0.013176111347810722,0.0013891606335726485,-0.06660403907703459,0.166945,0.0,0.0,0.11937792450700017,True,True,True,True,3,3,True,1.79722113911822,1.0935546828408074,-1.1656599520633413,-0.22208720322410402,-0.09355673881056423,0.02593774230635576,-0.6640821824322534,-0.734741857012797,2.0,-1.6307159806754858,-0.6761038165612328,-0.46610205880564265,1.2815309933138719,-0.38472533940950315,1.666256332723375,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7795939800465082,True,3,neutral,sector,neutral
OMAB.US,US,5634694656.0,0.0421,0.0421,0.0,0.0421,0.39003333530397494,11260185000.0,,608233400.0,11868418400.0,2.106310833961896,Industrials,Airports & Air Services,NASDAQ,US,USD,US Dollar,Grupo Aeroportuario del Centro Norte SAB de CV,Common Stock,USA,US,US4005011022,OMAB.US,ADR,International/Domestic,,48271125.0,116.73012916106678,134.99,109.0773,0.8647316776136512,-0.13526832238634878,1.0701596863973237,1.0,6.0,15964414000.0,1181.0,13517708.721422523,10217311.600338696,-13.4734,2025-12-31,-0.0,-0.0,-0.49218213580148285,0.0,1.0,0.12556608045890258,4.0,1.0,1.0,-0.018650199314428035,1.0,-0.2180000000000002,-13.4734,11.688883122624464,2025-12-31,-0.0022084043399127106,1.0,2.0,-0.016195183510358598,-0.035229782311494276,-0.5,0.5332,0.5,0.06120517404564105,0.030602587022820524,-0.000414082699896956,0.06105317510213526,-0.061467257802032216,1.0,,,,0.0,-0.0017401166769616463,1.0,1.0,-3.051394543158291,ok,0.0,0.0,1.0,-0.020219283338288523,0.009935699948501662,8.0,1.0,OMAB.US,OMAB.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.9924999999999999,-0.0015000000000000568,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-0.8724191752031027,1.0,0.85,1.0,0.865,0.0,0.23516137389123476,0.23722440531050393,0.3792331022823407,-0.02316717792442703,-0.06800996323191381,-0.054228630818662624,-0.052743033733414296,0.0,0.0,0.09029538463352113,True,True,True,True,3,3,True,0.860661141122309,1.0084700565603106,2.5026169396964635,-0.15987029161751326,-0.5104270083129473,-1.3818950163956887,-0.732912823021998,-0.440951025705199,-0.6318611966026451,-1.1182328489842164,-0.6266055014219891,-0.8796075434773296,1.4019698437876114,0.2794609654475023,1.122508878340109,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7437654604091829,False,4,neutral,sector,neutral
BSM.US,US,3110690048.0,0.087,0.087,-0.004502324698738125,0.08249767530126187,0.23680659861001502,1125213000.0,,32200800.0,1157413800.0,0.37207622171940674,Energy,Oil & Gas E&P,NYSE,US,USD,US Dollar,Black Stone Minerals LP,Common Stock,USA,US,US09225M1018,BSM.US,Domestic,Domestic,,211729000.0,14.691846879737778,15.49,13.6064,0.9484730070844272,-0.05152699291557283,1.0797747295197684,1.0,5.0,422328000.0,0.0,,,19.2308,2026-02-23,0.05688583079578909,0.05688583079578909,0.6464826501447751,0.5236470614103134,0.6666666666666666,0.2520576131687243,2.0,1.0,1.0,0.5999975190153881,1.0,0.04999999999999999,19.2308,0.08333367791595425,2026-02-23,-0.095953125,1.0,2.0,-0.11250000000000002,-0.11250000000000002,-1.0,0.424,0.5,0.08333333333333341,0.041666666666666706,-0.08736840086678044,-0.24505480660199064,0.1576864057352102,1.0,,,,0.0,0.03381912666739896,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,0.00546982387121086,0.023344465017222555,8.0,1.0,BSM.US,BSM.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9363289473684211,0.015034829721362275,0.06474071207430332,4.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,0.32746960143745957,1.0,0.85,1.0,0.865,0.0,0.4331524429593436,0.44149074605084815,-0.026657560562237184,0.06934552168871552,-0.08495197778908997,-0.00033428379379311565,-0.08947475284686392,0.0,0.0,-0.03389310374877706,True,True,True,True,3,3,True,1.5852836274452464,1.8768313363795308,-0.17591729791660052,1.6754582696941582,-0.26754227213464665,-1.7261399530445998,-0.9312391973825634,0.7555083230435296,-1.0719069495566074,,0.32746960143745957,-0.529541491773981,1.0407831929702032,0.02648986127184076,1.0142933316983624,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.7086770319581461,True,5,neutral,sector,neutral
INCY.US,US,19091460096.0,0.0,0.0,0.04669168289554937,0.04669168289554937,0.6758471181190269,5167478000.0,5971611000.0,773390000.0,11912479000.0,0.6239689861382512,Healthcare,Biotechnology,NASDAQ,US,USD,US Dollar,Incyte Corporation,Common Stock,USA,US,US45337C1027,INCY.US,Domestic,Domestic,,200700000.0,95.12436520179372,112.29,90.7238,0.8471312245239444,-0.1528687754760556,1.048505080274346,1.0,7.0,5141242000.0,2844.0,1807750.35161744,1653490.1547116737,-5.7592,2026-02-10,-0.0,-0.0,-0.22637752253517346,0.0,1.0,0.0008310612798343766,19.0,1.0,1.0,-0.4044534509691376,1.0,-0.10999999999999988,-5.7592,0.2719719654670312,2026-02-10,0.10146658398809669,1.0,21.0,2.3124862696073847e-05,-0.003329980228242439,0.0,0.6664,1.0,0.7758391434550858,0.3879195717275429,0.2783893753955635,0.20047000055366548,0.07791937484189804,1.0,,,,0.0,-0.0219757692382945,1.0,1.0,,pathological_clipped,0.0,1.0,1.0,-0.03672726646066635,0.03327112552901303,8.0,1.0,INCY.US,INCY.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.9855618449311687,0.0013862756311748825,0.005273842840550436,17.0,11.0,28.0,2.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,1.033782196243834,1.0,1.0,1.0,0.865,0.0,0.26850365855944724,0.4638381570292173,0.1492800247478888,-0.044637172716347394,-0.007956658261641927,0.04841231258844193,-0.09106499620159088,0.0,0.0,-0.10699645731123682,True,True,True,True,3,3,True,0.9826897221572246,1.971832922678521,0.9851215952510228,-0.40262585361923864,-0.8415655173803194,-0.13742069536514556,0.32095414481581663,0.6663973180879357,-1.0909580544681288,,1.033782196243834,-0.039966191327147904,1.6718466124366669,-0.15995536380489586,1.7118128037638147,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.6793788684341782,True,6,neutral,sector,neutral
OGS.US,US,5573369856.0,0.0306,0.0306,-0.06101730577034359,-0.03041730577034359,0.1531362040308113,3440123000.0,,376040000.0,3816163000.0,0.684713754622209,Utilities,Utilities - Regulated Gas,NYSE,"F,US",USD,US Dollar,One Gas Inc,Common Stock,USA,US,US68235P1084,OGS.US,Domestic,Domestic,,60513000.0,92.10202528382331,89.04,79.0908,1.0343893225946013,0.03438932259460126,1.1645099718781868,1.0,7.0,2427428000.0,4000.0,606857.0,357128.75,0.7092,2026-02-25,0.0010939613727484472,0.0010939613727484472,0.028360392794912582,0.540029869446153,1.0,0.07142857142857142,7.0,1.0,1.0,0.2006836898274336,1.0,0.010000000000000009,0.7092,0.04982965984230674,2026-02-25,0.13051957399453706,1.0,6.0,0.0,0.009711080282284864,0.3333333333333333,0.1892,1.0,0.03820093692824245,0.019100468464121226,0.0930215965359289,0.11376976362963354,-0.02074816709370464,1.0,,,,0.0,0.11896774462893188,1.0,1.0,-2.527270049322791,ok,0.0,0.0,1.0,0.0048552462901013446,0.008317464768256708,8.0,1.0,OGS.US,OGS.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.9957297363281251,0.0010900878906250355,0.0009699707031249893,8.0,5.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-0.21203731146174395,1.0,1.0,1.0,0.865,0.0,-0.4972162681484338,0.491327293937874,0.26809497309570224,0.09023181405811272,0.05372262334269339,0.0135625794879566,0.14444211913469054,0.0,0.0,0.024914384096754918,True,True,True,True,3,2,True,-1.9363349428354717,2.269041062691957,1.4361002911929464,2.0,0.09013061842851776,0.9812351295469113,0.24918456472190179,0.03437520221403646,1.4876178960020652,0.31767331616000777,-0.7417479390834957,-0.047718176588479544,-0.5857499721854239,0.8442098647235742,0.8919280413120537,recovery,0.35,0.38906387803956155,0.3280836588131536,0.28285246314728485,0.9125,1.035,1.1225,0.9125,1.175,0.0,False,0.5890795190053506,True,7,neutral,sector,neutral
JAZZ.US,US,11508707328.0,0.0,0.0,0.07609426272971054,0.07609426272971054,0.322856182253884,4318584000.0,2337061600.0,952867500.0,7608513100.0,0.6611092699776056,Healthcare,Biotechnology,NASDAQ,"BE,F,STU,US",USD,US Dollar,Jazz Pharmaceuticals PLC,Common Stock,USA,US,USG508711052,JAZZ.US,Domestic,Domestic,,60984246.0,188.71607149164393,198.0,147.4474,0.9531114721800199,-0.0468885278199801,1.2798874140313357,1.0,5.0,4267586000.0,2890.0,1476673.356401384,1302522.491349481,2.0534,2026-02-25,0.0002932998946111419,0.0002932998946111419,0.08195179176046787,0.540029869446153,1.0,0.006627285376034425,13.0,1.0,1.0,0.054790644762679586,1.0,0.1335999999999995,2.0534,2.4383724735979118,2026-02-25,0.02513518298746901,1.0,16.0,-0.0001242604499029919,0.01411358206801456,-0.0625,0.1692,1.0,0.3338918372909618,0.1669459186454809,0.10085988165484716,0.06743136528182347,0.03342851637302369,1.0,,,,0.0,0.16551583438337514,1.0,1.0,-3.049175218035284,ok,0.0,0.0,1.0,-0.013822402629495141,0.019115560645112325,8.0,1.0,JAZZ.US,JAZZ.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.8738418810311744,0.02899308359889874,0.012043671871616923,11.0,6.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-0.54279137332927,1.0,1.0,1.0,0.865,0.0,0.29028750879662185,-0.037861343850002324,0.17267519450630772,-0.03669243757375737,-0.0503236874529785,0.0008375735524768804,0.14711073642831762,0.0,0.0,0.05617890713957944,True,True,True,True,3,3,True,1.0624158825080126,-0.16095321863652523,1.139509879902671,-0.3845992214382363,-0.6113277732104359,-0.8691483152500605,-0.6391456892784578,0.5390097937939482,1.7623856530991358,-1.1121527236245623,0.02656997696602247,-0.48447163179856845,1.3126327003290374,0.3451321467826544,0.967500553546383,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.5422124515465653,True,8,neutral,sector,neutral
EXEL.US,US,11764761600.0,0.0,0.0,0.048184593357016414,0.048184593357016414,0.7862504979041444,2161319000.0,2675238400.0,292804200.0,5129361600.0,0.4359936711339735,Healthcare,Biotechnology,NASDAQ,US,USD,US Dollar,Exelixis Inc,Common Stock,USA,US,US30161Q1040,EXEL.US,Domestic,Domestic,,281863000.0,41.73929036446784,49.62,41.5815,0.841178765910275,-0.15882123408972504,1.0037947251654664,1.0,7.0,2320126000.0,1077.0,2154248.8393686167,2076535.747446611,21.25,2026-02-10,0.0,0.0,0.6910694698329306,0.0,1.0,0.04647517007067567,13.0,1.0,1.0,1.1383040976408145,1.0,0.16999999999999993,21.25,0.14934497763148918,2026-02-10,0.0070343467448078815,1.0,12.0,-0.016745559118440553,-0.07352267521759057,-0.5,0.6288,1.0,0.5395225734208785,0.26976128671043925,0.0562994592019479,0.10789336140652628,-0.05159390220457838,1.0,,,,0.0,-0.05312086057385059,1.0,1.0,-2.7142214315927635,ok,0.0,0.0,1.0,-0.03139995448105759,0.03433298053031976,8.0,1.0,EXEL.US,EXEL.US,NASDAQ,USD,US Dollar,USA,US,NASDAQ,USD,US Dollar,USA,US,,,0.8320432962875385,0.03939038409327489,0.006345649619552085,9.0,7.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,0.45741626437901883,1.0,1.0,1.0,0.865,0.0,0.27706200518915924,0.4825604028700467,0.03087181807022534,-0.020753126015715256,-0.060370387073677464,-0.024469879365698305,-0.12846355319381197,0.0,0.0,-0.04734258336322845,True,True,True,True,3,3,True,1.0140121976750578,2.0514234871371992,0.20372782438241024,-0.40262585361923864,-0.0681184091992268,-1.0426664434141186,-0.8801335572813013,0.250550543207161,-1.538992520815981,-0.1945039347431745,1.1093364635012122,-0.4269414515672008,1.806664631938436,-0.6576123345292055,2.233606083505637,mature,0.35,0.4139900071377587,0.35641208660480606,0.22959790625743515,0.965,0.9475,0.965,0.965,1.035,0.0,False,0.5090946971172998,True,9,neutral,sector,neutral
CIEN.US,US,63341678592.0,0.0,0.0,0.00490531911978298,0.00490531911978298,0.33747167571492126,2729323000.0,2082427000.0,137269900.0,4949019900.0,0.07813212421915602,Technology,Communication Equipment,NYSE,US,USD,US Dollar,Ciena Corp,Common Stock,USA,US,US1717793095,CIEN.US,Domestic,Domestic,,145248000.0,436.09329279576997,453.0,195.775,0.9626783505425386,-0.037321649457461414,2.227522884922845,1.0,8.0,4769507000.0,8898.0,536020.1168801978,222427.399415599,16.3793,2026-03-05,0.138982765674741,0.138982765674741,0.5751414276637179,0.6108495036238286,1.0,0.3955961653684841,14.0,1.0,1.0,1.6148296949110748,1.0,0.19000000000000017,16.3793,0.11765946625750096,2026-03-05,0.2415283410002542,1.0,16.0,0.003937103261132779,0.16813248049619609,0.0625,1.0,1.0,0.4348984833066822,0.2174492416533411,0.3308731091339787,0.20271289693553673,0.12816021219844198,1.0,,,,0.0,0.3769374226898885,1.0,1.0,-3.110630045816575,ok,0.0,0.0,1.0,-0.013160130801786098,0.026765847206935322,8.0,1.0,CIEN.US,CIEN.US,NYSE,USD,US Dollar,USA,US,NYSE,USD,US Dollar,USA,US,,,0.8419121853785697,0.016429164815900954,-0.004177449892281193,26.0,9.0,95.0,1.0,1.0,,,,,,,,,,,,,,,,,-1.4,0.0,-0.3548022841834021,1.0,1.0,1.0,0.865,0.0,0.03997370032617924,0.1591498466960541,-0.17603012880920932,0.10718754137090716,0.030849469639472524,0.15389711214189308,0.15311839686125986,0.0,0.0,0.03548022841834021,True,True,True,True,3,3,True,0.1707580794101746,0.6019296336451745,-1.0899356541860536,1.9234220837154707,-0.034400642304398626,0.4375811296379082,1.2479577564157895,1.3603303020720805,1.6277286225368135,-1.2805160936385727,0.5709115252717685,1.2256096706975095,0.08296063170464993,-0.3324775810084034,1.1426490389928596,growth,0.35,0.354690172345744,0.400605183528483,0.24470464412577295,1.175,1.175,1.0875,1.175,1.0,0.0,False,0.5036261666448969,True,10,neutral,sector,neutral
