comparison,mode,metric,value
single_mode,sector,final_ranked_count,79.0
single_mode,sector,top_25_count,25.0
single_mode,sector,top_25_median_composite_score,0.44694256080845773
single_mode,sector,top_25_median_shareholder_yield,0.03698164391351255
single_mode,sector,top_25_median_gross_profitability,0.33747167571492126
single_mode,sector,top_25_median_adjusted_book_to_market,0.37207622171940674
single_mode,sector,top_25_median_pead_signal,-0.0
single_mode,sector,top_25_median_sue_signal,1.1143648151116898
single_mode,sector,top_25_median_revision_impulse_signal,0.10675479730400185
single_mode,sector,top_25_median_revenue_growth_yoy,0.10085988165484716
single_mode,sector,top_25_median_revenue_acceleration,0.014657200766690082
single_mode,sector,top_25_median_price_momentum_6m_ex_1m,
single_mode,sector,top_25_median_price_momentum_effective_signal,0.06245378690615919
single_mode,sector,top_25_median_forensic_penalty,-0.28355645207307767
single_mode,sector,top_25_median_beneish_m_score,-2.7981051343616477
single_mode,sector,top_25_median_accrual_volatility,0.014671721045943536
single_mode,sector,top_25_sector_top_share,0.32
single_mode,sector,top_25_sector_hhi,0.20959999999999998
single_mode,none,final_ranked_count,79.0
single_mode,none,top_25_count,25.0
single_mode,none,top_25_median_composite_score,0.5086129425524943
single_mode,none,top_25_median_shareholder_yield,0.047872509960159335
single_mode,none,top_25_median_gross_profitability,0.33747167571492126
single_mode,none,top_25_median_adjusted_book_to_market,0.23090727443847503
single_mode,none,top_25_median_pead_signal,0.0
single_mode,none,top_25_median_sue_signal,1.238596726780943
single_mode,none,top_25_median_revision_impulse_signal,0.11143143358695612
single_mode,none,top_25_median_revenue_growth_yoy,0.06839473318944056
single_mode,none,top_25_median_revenue_acceleration,0.03342851637302369
single_mode,none,top_25_median_price_momentum_6m_ex_1m,
single_mode,none,top_25_median_price_momentum_effective_signal,0.04013959562240353
single_mode,none,top_25_median_forensic_penalty,-0.235005181388791
single_mode,none,top_25_median_beneish_m_score,-2.769028156546154
single_mode,none,top_25_median_accrual_volatility,0.015406533755558291
single_mode,none,top_25_sector_top_share,0.28
single_mode,none,top_25_sector_hhi,0.20640000000000003
sector_vs_none,pair,top_25_overlap_count,19.0
sector_vs_none,pair,top_25_overlap_ratio,0.6129032258064516
sector_vs_none,pair,rank_spearman_corr,0.85912852969815
