metric,value
stage1_count_after_core_filters,3.0
collected_universe_size,3.0
forensic_gate_beneish_threshold,-1.2
large_universe_forensic_mode,0.0
share_passes_size,1.0
share_passes_trend_gate,1.0
share_passes_quality_gate,1.0
share_passes_forensic_gate,1.0
share_passes_factor_gate,1.0
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.0
share_sue_has_coverage,0.0
share_revision_impulse_has_coverage,0.0
share_revenue_growth_has_coverage,1.0
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.0
share_news_has_coverage,0.0
share_beneish_is_missing,0.0
share_beneish_is_pathological_clipped,0.0
median_revenue_per_employee,851615.3846153846
median_gross_profit_per_employee,472038.46153846156
median_piotroski_score,8.0
median_beneish_m_score,-2.6439544414887504
median_accrual_volatility,0.017192023457419988
median_pead_signal,
median_pead_revision_component,
median_sue_signal,
median_sue_surprise_pct,-29.65
median_revision_impulse_signal,
median_revision_impulse_analyst_count,0.0
median_revision_impulse_disagreement_penalty,
median_revenue_growth_yoy,0.09812715316989484
median_revenue_acceleration,0.022843575393722615
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.05240945203964202
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,0.6
median_revision_signal_confidence,0.7
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.028341910693827636
median_contrib_gross_profitability,0.11343725479018306
median_contrib_adjusted_book_to_market,0.028455331737301498
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0028773561753879387
median_contrib_momentum,0.03907068627002106
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.00739098629486091
life_cycle_share::growth,0.3333333333333333
life_cycle_share::mature,0.3333333333333333
life_cycle_share::recovery,0.3333333333333333
final_ranked_count,3.0
median_market_cap,268474236928.0
median_shareholder_yield,0.030280913344576395
median_gross_profitability,0.48951997287757015
median_adjusted_book_to_market,0.27103755217866476
median_pead_signal,
median_sue_signal,
median_revision_impulse_signal,
median_revenue_growth_yoy,0.09812715316989484
median_revenue_acceleration,0.022843575393722615
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.05240945203964202
median_piotroski_score,8.0
median_revenue_per_employee,851615.3846153846
median_gross_profit_per_employee,472038.46153846156
median_forensic_penalty,0.06290201102009285
median_beneish_m_score,-2.6439544414887504
median_accrual_volatility,0.017192023457419988
median_sentiment_article_count_recent,
median_news_event_signal,
median_news_event_effective_signal,
median_news_event_breadth,
median_news_article_count_recent,
median_news_novelty_score,
median_news_saturation_score,
median_news_peer_spillover_signal,
median_news_confirmation_signal,
median_news_macro_multiplier,
median_earnings_signal_confidence,0.6
median_revision_signal_confidence,0.7
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,0.028341910693827636
median_contrib_gross_profitability,0.11343725479018306
median_contrib_adjusted_book_to_market,0.028455331737301498
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,0.0028773561753879387
median_contrib_momentum,0.03907068627002106
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.00739098629486091
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,-0.5
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,-0.5
ranked_contrib_corr::contrib_shareholder_yield__contrib_growth,0.5
ranked_contrib_corr::contrib_shareholder_yield__contrib_momentum,1.0
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.5
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.5
ranked_contrib_corr::contrib_gross_profitability__contrib_growth,0.5
ranked_contrib_corr::contrib_gross_profitability__contrib_momentum,-0.5
ranked_contrib_corr::contrib_gross_profitability__contrib_forensic,-1.0
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_growth,-1.0
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_momentum,-0.5
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_forensic,0.5
ranked_contrib_corr::contrib_growth__contrib_momentum,0.5
ranked_contrib_corr::contrib_growth__contrib_forensic,-0.5
ranked_contrib_corr::contrib_momentum__contrib_forensic,0.5
final_life_cycle_share::growth,0.3333333333333333
final_life_cycle_share::mature,0.3333333333333333
final_life_cycle_share::recovery,0.3333333333333333
sector_share::Technology,1.0
