symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
PVH.US,USD,US Dollar,Consumer Cyclical,Apparel Manufacturing,1,0.03333333333333333,False,buy_buffer_entry,,1.085623299781138,0.1569028218694885,0.4407670576149302,1.736670878226508,,-0.0074131381603379,0.5823971735375122,0.5823971735375122,0.0,31.0,1.0,1.1886739197716127
SAM.US,USD,US Dollar,Consumer Defensive,Beverages - Brewers,2,0.03333333333333333,False,buy_buffer_entry,,0.999384358509576,0.0999660268387973,0.7980763994487242,0.3590401351507558,-0.0,-0.0006012385564556,0.5343396279344443,0.5343396279344443,0.0,8.0,1.0,1.177669576727267
WHD.US,USD,US Dollar,Energy,Oil & Gas Equipment & Services,3,0.03333333333333333,False,buy_buffer_entry,,0.9370800540996304,0.1470949196020771,0.3148614273112501,0.357881296581244,0.0153748672170734,0.0010077324253612,0.6470859686484374,0.6470859686484374,0.0,4.0,1.0,1.1692535851153605
DLX.US,USD,US Dollar,Industrials,Conglomerates,4,0.03333333333333333,False,buy_buffer_entry,,0.8350727353584428,0.0263173742929327,0.3949224748568236,0.9432153415077718,0.0,-0.0001592914583773,0.6465968987194741,0.6465968987194741,0.0,12.0,1.0,1.3392896775508167
RNG.US,USD,US Dollar,Technology,Software - Application,5,0.03333333333333333,False,buy_buffer_entry,,0.8325503185442036,0.052965682336337,1.2090384115616066,0.175418709054199,0.0,-0.0020109294082009,0.7176635686448086,0.7176635686448086,0.0,6.0,1.0,1.219349077807696
CMPR.US,USD,US Dollar,Industrials,Specialty Business Services,6,0.03333333333333333,False,buy_buffer_entry,,0.823028644145052,0.0506512813868199,0.821811818647416,0.2519513228790196,0.0,,,,0.0,0.0,1.0,1.1528563528281195
DTE.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,7,0.03333333333333333,False,buy_buffer_entry,,0.8151166112642051,0.0303,0.2484370954019161,0.397535768336248,0.0,-0.0109843143258169,0.530112482036258,0.530112482036258,0.0,16.0,1.0,1.0859770514602762
BCRX.US,USD,US Dollar,Healthcare,Drug Manufacturers - Specialty & Generic,8,0.03333333333333333,False,buy_buffer_entry,,0.757464506418859,-0.0574999032395402,1.66439499142287,0.2587671026613425,0.096399125730841,-0.0097017239669965,0.475384388833282,0.475384388833282,0.0,5.0,1.0,1.4251287659450846
TCMD.US,USD,US Dollar,Healthcare,Medical Devices,9,0.03333333333333333,False,buy_buffer_entry,,0.7424040245106589,0.0349203529469666,0.9042133006256798,0.5283284869662296,0.0,,,,0.0,0.0,1.0,1.153301254037581
MSM.US,USD,US Dollar,Industrials,Industrial Distribution,10,0.03333333333333333,False,buy_buffer_entry,,0.6960505991801644,0.0480915362945376,0.6239216364806114,0.3179097822996005,-0.0060261031512146,0.024697233578365,0.1631211596918833,0.1631211596918833,0.0,22.0,1.0,1.0818097585307338
