symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
PVH.US,USD,US Dollar,Consumer Cyclical,Apparel Manufacturing,1,0.05,False,buy_buffer_entry,,1.0028360961660483,0.1571028218694885,0.4407670576149302,1.9706744436828372,,-0.007330845151128,0.5750411028310035,0.5750411028310035,0.0,29.0,1.0,1.0487129273077087
NRG.US,USD,US Dollar,Utilities,Utilities - Independent Power Producers,3,0.05,False,buy_buffer_entry,,0.9406584206017582,0.0737207547169811,0.230267673301304,0.0945456520976455,9.59337402091263e-05,-0.0006879850913771,0.6088838135024726,0.6088838135024726,0.0,6.0,1.0,1.0228908788635964
DLX.US,USD,US Dollar,Industrials,Conglomerates,4,0.05,False,buy_buffer_entry,,0.9254361900289624,0.0261173742929327,0.3949224748568236,0.9674177464369806,0.0,-0.0014467941110637,0.7238789311494946,0.7238789311494946,0.0,11.0,1.0,1.30974755243531
CMPR.US,USD,US Dollar,Industrials,Specialty Business Services,5,0.05,False,buy_buffer_entry,,0.7817145150741932,0.0506512813868199,0.821811818647416,0.2650330658219313,0.0,,,,0.0,0.0,1.0,1.0984714203166444
RNG.US,USD,US Dollar,Technology,Software - Application,6,0.05,False,buy_buffer_entry,,0.778435950045195,0.052965682336337,1.2090384115616066,0.1740257626543296,0.0,1.4690796900196368e-05,0.4463306697365132,0.4463306697365132,0.0,8.0,1.0,1.2314013038052076
ITRN.US,USD,US Dollar,Technology,Scientific & Technical Instruments,7,0.05,False,buy_buffer_entry,,0.77125108374418,0.1187053282396702,0.4623783705406847,0.2845086745202925,0.0270367314247888,,,,0.0,0.0,1.0,1.2437665452562583
SAM.US,USD,US Dollar,Consumer Defensive,Beverages - Brewers,8,0.05,False,buy_buffer_entry,,0.7684564860346008,0.0999660268387973,0.7980763994487242,0.3735907688108552,-0.0,-0.0013318600059951,0.4522664835904919,0.4522664835904919,0.0,9.0,1.0,1.1328979210855414
TCMD.US,USD,US Dollar,Healthcare,Medical Devices,9,0.05,False,buy_buffer_entry,,0.7437830506946299,0.0349203529469666,0.9042133006256798,0.5184491481057817,0.0,,,,0.0,0.0,1.0,1.1795365181996629
DTE.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,10,0.05,False,buy_buffer_entry,,0.7414065327929461,0.0305,0.2484370954019161,0.3995229258488068,0.0,-0.0063480398743279,0.4955028513303192,0.4955028513303192,0.0,10.0,1.0,1.081192039228164
STRA.US,USD,US Dollar,Consumer Defensive,Education & Training Services,11,0.05,False,buy_buffer_entry,,0.7261054687320994,0.0834224523612262,0.3046832537011782,0.9684235383103116,0.1279472005864265,0.0016879869548407,0.7685412140311473,0.7685412140311473,0.0,7.0,1.0,1.0312136921639214
FDX.US,USD,US Dollar,Industrials,Integrated Freight & Logistics,12,0.05,False,buy_buffer_entry,,0.7206779520086813,0.0478725099601593,0.2167710865372545,0.4800517711980063,0.0568780976154105,0.0848883381446604,0.3794985931504125,0.3794985931504125,0.0,32.0,1.0,1.2798709952613987
PRLB.US,USD,US Dollar,Industrials,Metal Fabrication,13,0.05,False,buy_buffer_entry,,0.6833317467726974,0.0383468586387434,0.3118766891780813,0.6081770714609095,0.0,0.0008031616210937,0.6436092543584305,0.6436092543584305,0.0,2.0,1.0,1.109199151601469
OMAB.US,USD,US Dollar,Industrials,Airports & Air Services,14,0.05,False,buy_buffer_entry,,0.6823567773092037,0.0421,0.3900333353039749,2.106310833961896,-0.0,,0.34685,0.34685,0.0,1.0,1.0,1.0701596863973235
IRDM.US,USD,US Dollar,Communication Services,Telecom Services,17,0.05,False,buy_buffer_entry,,0.6092296035542504,0.1180979831708294,0.2663293571852174,0.180186513142561,0.0,0.2182821390441702,0.4124706839183468,0.4124706839183468,0.0,12.0,1.0,1.4506170983260402
BSM.US,USD,US Dollar,Energy,Oil & Gas E&P,20,0.05,False,buy_buffer_entry,,0.5463055560100305,0.0824976753012618,0.236806598610015,0.3720762217194067,0.056885830795789,0.0647407120743033,0.5029558802146202,0.5029558802146202,0.0,3.0,1.0,1.0797747295197684
KR.US,USD,US Dollar,Consumer Defensive,Grocery Stores,22,0.05,False,rank_fill,,0.5331365278127304,0.1096777777777777,0.6221341182595462,0.1452651749286842,3.812321129907148e-05,0.0006099388528912,0.4337682595555579,0.4337682595555579,0.0,24.0,1.0,1.0011900958602904
FE.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,23,0.05,False,rank_fill,,0.519778627035397,0.034566897746967,0.1478427303949628,0.422132315575623,-0.0,0.0056776045240088,0.5517875360149814,0.5517875360149814,0.0,5.0,1.0,1.1285534651551157
EHAB.US,USD,US Dollar,Healthcare,Medical Care Facilities,24,0.05,False,rank_fill,,0.510167726993624,-0.0119521912350597,0.4260988775597635,1.1172533123162014,-0.0173790663173359,0.0289317186936041,0.7822833333333334,0.7822833333333334,0.0,1.0,1.0,1.487807829632433
INCY.US,USD,US Dollar,Healthcare,Biotechnology,26,0.05,False,rank_fill,,0.4926540328885106,0.0466916828955493,0.6758471181190269,0.6239689861382512,-0.0,0.0052738428405504,0.5980305227941323,0.5980305227941323,0.0,11.0,1.0,1.048505080274346
MITK.US,USD,US Dollar,Technology,Software - Application,27,0.05,False,rank_fill,,0.45971258328531,0.0114182185893654,0.3330450938665981,0.581945871275235,0.0,,,,0.0,0.0,1.0,1.2762714618440307
