symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
RNG.US,USD,US Dollar,Technology,Software - Application,1,0.05,False,buy_buffer_entry,,0.8605576118856224,0.052965682336337,1.2090384115616066,0.1740257626543296,0.0,1.4690796900196368e-05,0.4463306697365132,0.4463306697365132,0.0,8.0,1.0,1.2314013038052076
ITRN.US,USD,US Dollar,Technology,Scientific & Technical Instruments,2,0.05,False,buy_buffer_entry,,0.7385968727665001,0.1187053282396702,0.4623783705406847,0.2845086745202925,0.0270367314247888,,,,0.0,0.0,1.0,1.2437665452562583
TCMD.US,USD,US Dollar,Healthcare,Medical Devices,3,0.05,False,buy_buffer_entry,,0.725327012410875,0.0349203529469666,0.9042133006256798,0.5184491481057817,0.0,,,,0.0,0.0,1.0,1.1795365181996629
FDX.US,USD,US Dollar,Industrials,Integrated Freight & Logistics,4,0.05,False,buy_buffer_entry,,0.7141635436641119,0.0478725099601593,0.2167710865372545,0.4800517711980063,0.0568780976154105,0.0848883381446604,0.3794985931504125,0.3794985931504125,0.0,32.0,1.0,1.2798709952613987
BSM.US,USD,US Dollar,Energy,Oil & Gas E&P,5,0.05,False,buy_buffer_entry,,0.6670042848689728,0.0824976753012618,0.236806598610015,0.3720762217194067,0.056885830795789,0.0647407120743033,0.5029558802146202,0.5029558802146202,0.0,3.0,1.0,1.0797747295197684
OGS.US,USD,US Dollar,Utilities,Utilities - Regulated Gas,6,0.05,False,buy_buffer_entry,,0.6372920620946277,-0.0304173057703435,0.1531362040308113,0.684713754622209,0.0010939613727484,0.0009699707031249,0.7242986070115457,0.7242986070115457,0.0,4.0,1.0,1.1645099718781868
IRDM.US,USD,US Dollar,Communication Services,Telecom Services,7,0.05,False,buy_buffer_entry,,0.6338732177915364,0.1180979831708294,0.2663293571852174,0.180186513142561,0.0,0.2182821390441702,0.4124706839183468,0.4124706839183468,0.0,12.0,1.0,1.4506170983260402
OMAB.US,USD,US Dollar,Industrials,Airports & Air Services,8,0.05,False,buy_buffer_entry,,0.5652253173923603,0.0421,0.3900333353039749,2.106310833961896,-0.0,,0.34685,0.34685,0.0,1.0,1.0,1.0701596863973235
STRA.US,USD,US Dollar,Consumer Defensive,Education & Training Services,9,0.05,False,buy_buffer_entry,,0.5380874872719488,0.0834224523612262,0.3046832537011782,0.9684235383103116,0.1279472005864265,0.0016879869548407,0.7685412140311473,0.7685412140311473,0.0,7.0,1.0,1.0312136921639214
INCY.US,USD,US Dollar,Healthcare,Biotechnology,10,0.05,False,buy_buffer_entry,,0.5252152158377897,0.0466916828955493,0.6758471181190269,0.6239689861382512,-0.0,0.0052738428405504,0.5980305227941323,0.5980305227941323,0.0,11.0,1.0,1.048505080274346
EME.US,USD,US Dollar,Industrials,Engineering & Construction,11,0.05,False,buy_buffer_entry,,0.4649871300707971,0.0396363185780208,0.3465886784850969,0.1355236420191905,5.427972970309466e-05,-0.0131585913996915,0.5713900073956258,0.5713900073956258,0.0,20.0,1.0,1.1499203804944838
EHAB.US,USD,US Dollar,Healthcare,Medical Care Facilities,12,0.05,False,buy_buffer_entry,,0.4535513828165962,-0.0119521912350597,0.4260988775597635,1.1172533123162014,-0.0173790663173359,0.0289317186936041,0.7822833333333334,0.7822833333333334,0.0,1.0,1.0,1.487807829632433
JAZZ.US,USD,US Dollar,Healthcare,Biotechnology,13,0.05,False,buy_buffer_entry,,0.4511450802850728,0.0760942627297105,0.322856182253884,0.6611092699776056,0.0002932998946111,0.0120436718716169,0.5923791416012287,0.5923791416012287,0.0,5.0,1.0,1.2798874140313357
AXGN.US,USD,US Dollar,Healthcare,Medical Devices,14,0.05,False,buy_buffer_entry,,0.4466983381025314,-0.0404958651543223,0.7549066927695355,0.134532066188814,0.0480389381910907,-0.000368,0.7822833333333333,0.7822833333333333,0.0,1.0,1.0,1.671381404935745
ULS.US,USD,US Dollar,Industrials,Specialty Business Services,15,0.05,False,buy_buffer_entry,,0.4435181741747334,-0.0030502487562188,0.5127767887709689,0.1097707749720477,0.0,0.0001967239297874,0.6631552862657966,0.6631552862657966,0.0,9.0,1.0,1.1080147771003777
THR.US,USD,US Dollar,Industrials,Specialty Industrial Machinery,16,0.05,False,buy_buffer_entry,,0.4283758079181111,0.0002638037816493,0.2950498509501596,0.3060342571725759,0.0,0.0175064284110796,0.7130212149465155,0.7130212149465155,0.0,5.0,1.0,1.4326987935949436
CMS.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,17,0.05,False,buy_buffer_entry,,0.4245561555206648,0.0214017029835736,0.128778845201545,0.4208774993088678,0.0,-0.0005564673573905,0.6466327238798498,0.6466327238798498,0.0,8.0,1.0,1.1061985852818832
CIEN.US,USD,US Dollar,Technology,Communication Equipment,18,0.05,False,buy_buffer_entry,,0.4197712789406428,0.0049053191197829,0.3374716757149212,0.078132124219156,0.138982765674741,-0.0041774498922811,0.4541014174362057,0.4541014174362057,0.0,24.0,1.0,2.227522884922845
SPH.US,USD,US Dollar,Utilities,Utilities - Regulated Gas,19,0.05,False,buy_buffer_entry,,0.410057712825741,0.0547640890794405,0.1318172735483657,0.5032604315605199,-0.0,,,,0.0,0.0,1.0,1.041995560302944
ADTN.US,USD,US Dollar,Technology,Communication Equipment,21,0.05,False,rank_fill,,0.3805616824903126,-0.0103131968376242,0.3445059456551428,0.8808677134007142,0.0049278261864237,-0.0150333333333334,,,0.0,0.0,1.0,1.392688274116027
