symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
PVH.US,USD,US Dollar,Consumer Cyclical,Apparel Manufacturing,1,0.016666666666666666,False,buy_buffer_entry,,1.0774720112176503,0.1569028218694885,0.4407670576149302,1.736670878226508,,-0.0072388258399064,0.5911796220085372,0.5911796220085372,0.0,27.0,1.0,1.1886739197716127
SAM.US,USD,US Dollar,Consumer Defensive,Beverages - Brewers,2,0.016666666666666666,False,buy_buffer_entry,,0.998129046430482,0.0999660268387973,0.7980763994487242,0.3590401351507558,-0.0,-0.0006015709718178,0.5343396279344443,0.5343396279344443,0.0,8.0,1.0,1.177669576727267
NRG.US,USD,US Dollar,Utilities,Utilities - Independent Power Producers,3,0.016666666666666666,False,buy_buffer_entry,,0.9848752240510804,0.0737207547169811,0.230267673301304,0.0900572390287553,9.02013744082525e-05,-0.0023430019134114,0.5042472168242124,0.5042472168242124,0.0,10.0,1.0,1.073948160883352
WHD.US,USD,US Dollar,Energy,Oil & Gas Equipment & Services,4,0.016666666666666666,False,buy_buffer_entry,,0.9478271148960412,0.1470949196020771,0.3148614273112501,0.357881296581244,0.0151398585730601,0.0010077324253612,0.6470859686484374,0.6470859686484374,0.0,4.0,1.0,1.1692535851153605
DLX.US,USD,US Dollar,Industrials,Conglomerates,5,0.016666666666666666,False,buy_buffer_entry,,0.8362306544987328,0.0263173742929327,0.3949224748568236,0.9432153415077718,0.0,-0.000155528348093,0.650392225944426,0.650392225944426,0.0,9.0,1.0,1.3392896775508167
RNG.US,USD,US Dollar,Technology,Software - Application,6,0.016666666666666666,False,buy_buffer_entry,,0.829206967244665,0.052965682336337,1.2090384115616066,0.175418709054199,0.0,-0.0043445423596887,0.6780768474790827,0.6780768474790827,0.0,5.0,1.0,1.219349077807696
CMPR.US,USD,US Dollar,Industrials,Specialty Business Services,7,0.016666666666666666,False,buy_buffer_entry,,0.8227782973945768,0.0506512813868199,0.821811818647416,0.2519513228790196,0.0,,,,0.0,0.0,1.0,1.1528563528281195
DTE.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,8,0.016666666666666666,False,buy_buffer_entry,,0.813545836179544,0.0303,0.2484370954019161,0.397535768336248,0.0,-0.0108204205496993,0.5208579167614686,0.5208579167614686,0.0,16.0,1.0,1.0859770514602762
BCRX.US,USD,US Dollar,Healthcare,Drug Manufacturers - Specialty & Generic,9,0.016666666666666666,False,buy_buffer_entry,,0.7900219855626058,-0.0574999032395402,1.66439499142287,0.2587671026613425,0.0949256412771403,-0.0097017239669965,0.475384388833282,0.475384388833282,0.0,5.0,1.0,1.4251287659450846
TCMD.US,USD,US Dollar,Healthcare,Medical Devices,10,0.016666666666666666,False,buy_buffer_entry,,0.7417482071199976,0.0349203529469666,0.9042133006256798,0.5283284869662296,0.0,,,,0.0,0.0,1.0,1.153301254037581
