metric,value
stage1_count_after_core_filters,1865.0
collected_universe_size,5000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8042895442359249
share_passes_trend_gate,0.5989276139410188
share_passes_quality_gate,0.7201072386058981
share_passes_forensic_gate,0.9619302949061662
share_passes_factor_gate,0.9882037533512065
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9313672922252011
share_sue_has_coverage,0.9517426273458445
share_revision_impulse_has_coverage,0.9297587131367292
share_revenue_growth_has_coverage,0.9769436997319035
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.01769436997319035
share_news_has_coverage,0.0160857908847185
share_beneish_is_missing,0.1002680965147453
share_beneish_is_pathological_clipped,0.13994638069705093
median_revenue_per_employee,453408.0604534005
median_gross_profit_per_employee,179035.95718412258
median_piotroski_score,5.0
median_beneish_m_score,-2.6450922590520243
median_accrual_volatility,0.019626026626227755
median_pead_signal,-0.0
median_pead_revision_component,-0.001526135062953115
median_sue_signal,0.2875170862467986
median_sue_surprise_pct,4.386150000000001
median_revision_impulse_signal,0.09002467742482148
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09519494249897512
median_revenue_growth_yoy,0.06373940441828863
median_revenue_acceleration,0.0022243892222392203
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.024535795899640944
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.4963756131408828
median_news_event_effective_signal,0.5387861327916894
median_news_event_breadth,1.0
median_news_article_count_recent,5.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.7049689440993789
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-2.018832785746186e-05
median_contrib_gross_profitability,-0.027844577103907274
median_contrib_adjusted_book_to_market,-0.0568409196347119
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.015801748073529753
median_contrib_momentum,-0.008327672641199938
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.00016711171629041173
life_cycle_share::unknown,0.8327077747989277
life_cycle_share::mature,0.0772117962466488
life_cycle_share::growth,0.05308310991957105
life_cycle_share::recovery,0.036997319034852545
final_ranked_count,312.0
median_market_cap,6448781824.0
median_shareholder_yield,0.011774309172221761
median_gross_profitability,0.24443755135922304
median_adjusted_book_to_market,0.33585556279078355
median_pead_signal,0.0
median_sue_signal,0.8036203088595
median_revision_impulse_signal,0.12925714285714285
median_revenue_growth_yoy,0.0986211693208523
median_revenue_acceleration,0.009525405249305674
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.07715466045719709
median_piotroski_score,6.0
median_revenue_per_employee,473072.932022932
median_gross_profit_per_employee,182463.88899026765
median_forensic_penalty,0.008093994015040018
median_beneish_m_score,-2.6202469949796776
median_accrual_volatility,0.017556487143200235
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.5387861327916894
median_news_event_effective_signal,0.5387861327916894
median_news_event_breadth,1.0
median_news_article_count_recent,6.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.8
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-2.018832785746186e-05
median_contrib_gross_profitability,-0.027844577103907274
median_contrib_adjusted_book_to_market,-0.0568409196347119
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.015801748073529753
median_contrib_momentum,-0.008327672641199938
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-0.00016711171629041173
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,-0.02863289738831661
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.11594176271188505
ranked_contrib_corr::contrib_shareholder_yield__contrib_earnings,-0.051438850358626075
ranked_contrib_corr::contrib_shareholder_yield__contrib_revision_impulse,-0.15329944912248064
ranked_contrib_corr::contrib_shareholder_yield__contrib_growth,-0.1345989187236165
ranked_contrib_corr::contrib_shareholder_yield__contrib_momentum,-0.1842327701244063
ranked_contrib_corr::contrib_shareholder_yield__contrib_news_event,0.10155574198238779
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.15921310756430265
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.31730527507005946
ranked_contrib_corr::contrib_gross_profitability__contrib_earnings,0.15225937204476744
ranked_contrib_corr::contrib_gross_profitability__contrib_revision_impulse,0.07163641490492963
ranked_contrib_corr::contrib_gross_profitability__contrib_growth,0.09046781202450824
ranked_contrib_corr::contrib_gross_profitability__contrib_momentum,-0.09445871659797228
ranked_contrib_corr::contrib_gross_profitability__contrib_news_event,0.10360482166429015
ranked_contrib_corr::contrib_gross_profitability__contrib_forensic,-0.060601935832456225
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_earnings,-0.17038530983492858
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_revision_impulse,-0.1569050755801994
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_growth,-0.19875853030588259
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_momentum,-0.21180759635501276
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_news_event,-0.007916630568489885
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_forensic,-0.001103557709242621
ranked_contrib_corr::contrib_earnings__contrib_revision_impulse,0.1440148584658935
ranked_contrib_corr::contrib_earnings__contrib_growth,0.133260458037812
ranked_contrib_corr::contrib_earnings__contrib_momentum,0.14695083348373236
ranked_contrib_corr::contrib_earnings__contrib_news_event,0.06756553339833435
ranked_contrib_corr::contrib_earnings__contrib_forensic,-0.03512567562692382
ranked_contrib_corr::contrib_revision_impulse__contrib_growth,0.0054743249317700145
ranked_contrib_corr::contrib_revision_impulse__contrib_momentum,0.22213259043492983
ranked_contrib_corr::contrib_revision_impulse__contrib_news_event,0.0554203908248309
ranked_contrib_corr::contrib_revision_impulse__contrib_forensic,-0.08872720707249987
ranked_contrib_corr::contrib_growth__contrib_momentum,0.027639809932212326
ranked_contrib_corr::contrib_growth__contrib_news_event,0.05519617762833704
ranked_contrib_corr::contrib_growth__contrib_forensic,-0.07671525862134482
ranked_contrib_corr::contrib_momentum__contrib_news_event,-0.07865525772092664
ranked_contrib_corr::contrib_momentum__contrib_forensic,-0.05217924804846203
ranked_contrib_corr::contrib_news_event__contrib_forensic,0.008643061768108471
final_life_cycle_share::mature,0.46153846153846156
final_life_cycle_share::growth,0.3173076923076923
final_life_cycle_share::recovery,0.22115384615384615
sector_share::Industrials,0.20512820512820512
sector_share::Technology,0.19230769230769232
sector_share::Healthcare,0.16025641025641027
sector_share::Consumer Cyclical,0.14743589743589744
sector_share::Energy,0.0641025641025641
sector_share::Utilities,0.0641025641025641
sector_share::Consumer Defensive,0.060897435897435896
sector_share::Communication Services,0.05448717948717949
sector_share::Basic Materials,0.05128205128205128
