metric,value
stage1_count_after_core_filters,1865.0
collected_universe_size,5000.0
forensic_gate_beneish_threshold,-1.4
large_universe_forensic_mode,1.0
share_passes_size,0.8042895442359249
share_passes_trend_gate,0.5989276139410188
share_passes_quality_gate,0.7201072386058981
share_passes_forensic_gate,0.9619302949061662
share_passes_factor_gate,0.9882037533512065
median_factor_non_null_count,3.0
median_factor_positive_count,3.0
share_pead_has_setup_coverage,0.9313672922252011
share_sue_has_coverage,0.9517426273458445
share_revision_impulse_has_coverage,0.9297587131367292
share_revenue_growth_has_coverage,0.9769436997319035
share_price_momentum_has_coverage,0.0
share_price_momentum_signal_coverage,1.0
share_price_momentum_proxy_used,1.0
share_sentiment_has_coverage,0.018230563002680965
share_news_has_coverage,0.0160857908847185
share_beneish_is_missing,0.1002680965147453
share_beneish_is_pathological_clipped,0.13994638069705093
median_revenue_per_employee,453408.0604534005
median_gross_profit_per_employee,179035.95718412258
median_piotroski_score,5.0
median_beneish_m_score,-2.6450922590520243
median_accrual_volatility,0.019626026626227755
median_pead_signal,0.0
median_pead_revision_component,-0.001526135062953115
median_sue_signal,0.2875170862467986
median_sue_surprise_pct,4.386150000000001
median_revision_impulse_signal,0.09002467742482148
median_revision_impulse_analyst_count,6.0
median_revision_impulse_disagreement_penalty,0.09519494249897512
median_revenue_growth_yoy,0.06373940441828863
median_revenue_acceleration,0.0022243892222392203
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,-0.024535795899640944
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.5002939230155906
median_news_event_effective_signal,0.5432326376489343
median_news_event_breadth,1.0
median_news_article_count_recent,5.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.6794871794871795
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-2.018832785746186e-05
median_contrib_gross_profitability,-0.022230132149342087
median_contrib_adjusted_book_to_market,-0.0568409196347119
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.015972304027677048
median_contrib_momentum,-0.00947368318590549
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-4.231324085999613e-05
life_cycle_share::unknown,0.8327077747989277
life_cycle_share::mature,0.0777479892761394
life_cycle_share::growth,0.05254691689008043
life_cycle_share::recovery,0.036997319034852545
final_ranked_count,312.0
median_market_cap,6339863808.0
median_shareholder_yield,0.011774309172221761
median_gross_profitability,0.24443755135922304
median_adjusted_book_to_market,0.33585556279078355
median_pead_signal,0.0
median_sue_signal,0.7690077139437492
median_revision_impulse_signal,0.1293
median_revenue_growth_yoy,0.0977623828737102
median_revenue_acceleration,0.009430727615658663
median_price_momentum_6m_ex_1m,
median_price_momentum_effective_signal,0.07657261151501268
median_piotroski_score,6.0
median_revenue_per_employee,473072.932022932
median_gross_profit_per_employee,182463.88899026765
median_forensic_penalty,0.0015658950594779723
median_beneish_m_score,-2.6202469949796776
median_accrual_volatility,0.017556487143200235
median_sentiment_article_count_recent,7.0
median_news_event_signal,0.5432326376489343
median_news_event_effective_signal,0.5432326376489343
median_news_event_breadth,1.0
median_news_article_count_recent,5.0
median_news_novelty_score,0.7666666666666667
median_news_saturation_score,0.8
median_news_peer_spillover_signal,0.0
median_news_confirmation_signal,0.0
median_news_macro_multiplier,1.0
median_earnings_signal_confidence,1.0
median_revision_signal_confidence,1.0
median_growth_signal_confidence,1.0
median_momentum_signal_confidence,0.865
median_news_signal_confidence,0.0
median_contrib_shareholder_yield,-2.018832785746186e-05
median_contrib_gross_profitability,-0.022230132149342087
median_contrib_adjusted_book_to_market,-0.0568409196347119
median_contrib_earnings,0.0
median_contrib_revision_impulse,0.0
median_contrib_growth,-0.015972304027677048
median_contrib_momentum,-0.00947368318590549
median_contrib_news_event,0.0
median_contrib_employee_efficiency,0.0
median_contrib_forensic,-4.231324085999613e-05
ranked_contrib_corr::contrib_shareholder_yield__contrib_gross_profitability,-0.015085648922173294
ranked_contrib_corr::contrib_shareholder_yield__contrib_adjusted_book_to_market,0.11115308118690856
ranked_contrib_corr::contrib_shareholder_yield__contrib_earnings,-0.05389120351980787
ranked_contrib_corr::contrib_shareholder_yield__contrib_revision_impulse,-0.14786255079642682
ranked_contrib_corr::contrib_shareholder_yield__contrib_growth,-0.1406079310963605
ranked_contrib_corr::contrib_shareholder_yield__contrib_momentum,-0.19309265874815432
ranked_contrib_corr::contrib_shareholder_yield__contrib_news_event,0.11957619027068196
ranked_contrib_corr::contrib_shareholder_yield__contrib_forensic,0.16552252707260165
ranked_contrib_corr::contrib_gross_profitability__contrib_adjusted_book_to_market,-0.3275244290671487
ranked_contrib_corr::contrib_gross_profitability__contrib_earnings,0.1487995069225501
ranked_contrib_corr::contrib_gross_profitability__contrib_revision_impulse,0.06868139152270611
ranked_contrib_corr::contrib_gross_profitability__contrib_growth,0.09348400903662206
ranked_contrib_corr::contrib_gross_profitability__contrib_momentum,-0.10174711329311065
ranked_contrib_corr::contrib_gross_profitability__contrib_news_event,0.13933166202799288
ranked_contrib_corr::contrib_gross_profitability__contrib_forensic,-0.046011102769895
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_earnings,-0.16535122731338414
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_revision_impulse,-0.1711204085816783
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_growth,-0.20163048612251647
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_momentum,-0.2019714204722235
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_news_event,-0.0589714007187479
ranked_contrib_corr::contrib_adjusted_book_to_market__contrib_forensic,0.0008949367913849697
ranked_contrib_corr::contrib_earnings__contrib_revision_impulse,0.1589226386385825
ranked_contrib_corr::contrib_earnings__contrib_growth,0.1289964031332659
ranked_contrib_corr::contrib_earnings__contrib_momentum,0.14629969992462652
ranked_contrib_corr::contrib_earnings__contrib_news_event,0.11270874918791063
ranked_contrib_corr::contrib_earnings__contrib_forensic,-0.036475029458763235
ranked_contrib_corr::contrib_revision_impulse__contrib_growth,0.02086083702345419
ranked_contrib_corr::contrib_revision_impulse__contrib_momentum,0.22422672642488947
ranked_contrib_corr::contrib_revision_impulse__contrib_news_event,0.059011269086024914
ranked_contrib_corr::contrib_revision_impulse__contrib_forensic,-0.07845972582280437
ranked_contrib_corr::contrib_growth__contrib_momentum,0.025603729207742117
ranked_contrib_corr::contrib_growth__contrib_news_event,0.10614060257383298
ranked_contrib_corr::contrib_growth__contrib_forensic,-0.07711235495813731
ranked_contrib_corr::contrib_momentum__contrib_news_event,-0.07028603962936754
ranked_contrib_corr::contrib_momentum__contrib_forensic,-0.06283411235613108
ranked_contrib_corr::contrib_news_event__contrib_forensic,0.03193629412652784
final_life_cycle_share::mature,0.46474358974358976
final_life_cycle_share::growth,0.3141025641025641
final_life_cycle_share::recovery,0.22115384615384615
sector_share::Industrials,0.20512820512820512
sector_share::Technology,0.1891025641025641
sector_share::Healthcare,0.15705128205128205
sector_share::Consumer Cyclical,0.15064102564102563
sector_share::Utilities,0.0673076923076923
sector_share::Energy,0.0641025641025641
sector_share::Consumer Defensive,0.060897435897435896
sector_share::Communication Services,0.05448717948717949
sector_share::Basic Materials,0.05128205128205128
